MEASURE_WHILE_DRILLING_PK,DATE_TIME,DRILL_PATTERN,PATTERN_HOLE_NUMBER,X,Y,Z,BOTTOM_Z,TOP_Z,CURRENT_DEPTH,TOTAL_DEPTH,MINE_HOLE_NUMBER,MWD_DRILL_NUMBER,MWD_DIAMETER,MWD_PEN,MWD_RPM,MWD_TORQUE,MWD_WOB,ACTUAL_MAST_ANGLE,ACTUAL_DRILL_HEADING,AUDIT_JOB_SK,AUDIT_ETL_SK,ODW_INSERT_DATE,ODW_UPDATE_DATE,GUID_HOLE_BY_HOLE,GUID_HOLE_DATA
43853550,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,406.6779,406.6779,420.1819,13.5039978027,13.5039978027,5100001338484,1,251.0,2.1614768505,97.1560897827,2356.8913574219,11.0303087234,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,518EB199-ABF4-EE11-8D94-0030646254DD
43853551,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,406.858,406.6779,420.1819,13.3238830566,13.5039978027,5100001338484,1,251.0,1.0315941572,78.9534988403,2538.4497070313,11.078212738,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,22D5566F-ABF4-EE11-8D94-0030646254DD
43853552,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,407.1674,406.6779,420.1819,13.0144348145,13.5039978027,5100001338484,1,251.0,0.4468773305,85.4110488892,2377.1853027344,11.3913917542,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,5AD2E164-ABF4-EE11-8D94-0030646254DD
43853553,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,407.4727,406.6779,420.1819,12.7091369629,13.5039978027,5100001338484,1,251.0,0.7645653486,89.0003967285,2449.4106445313,11.4168214798,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,C25D404C-ABF4-EE11-8D94-0030646254DD
43853554,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,407.7785,406.6779,420.1819,12.4033508301,13.5039978027,5100001338484,1,251.0,0.9308251143,89.3346939087,2372.6079101563,11.3463506699,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,D3024B3E-ABF4-EE11-8D94-0030646254DD
43853555,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,408.0888,406.6779,420.1819,12.0931091309,13.5039978027,5100001338484,1,251.0,0.8350609541,88.130065918,2455.16796875,11.4065752029,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,9B477632-ABF4-EE11-8D94-0030646254DD
43853556,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,408.3949,406.6779,420.1819,11.7869567871,13.5039978027,5100001338484,1,251.0,0.6783362627,88.0741043091,2315.5856933594,11.4443445206,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,12D34725-ABF4-EE11-8D94-0030646254DD
43853557,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,408.7001,406.6779,420.1819,11.4817504883,13.5039978027,5100001338484,1,251.0,0.7974049449,87.8096313477,2217.6525878906,11.2677640915,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,04AF2815-ABF4-EE11-8D94-0030646254DD
43853558,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,409.0058,406.6779,420.1819,11.1761169434,13.5039978027,5100001338484,1,251.0,1.6646951437,90.8842315674,2208.169921875,10.9849758148,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,3FC47B07-ABF4-EE11-8D94-0030646254DD
43853559,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,409.3109,406.6779,420.1819,10.8709411621,13.5039978027,5100001338484,1,251.0,1.410012126,91.9801254272,2105.302734375,10.2517547607,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,4030A900-ABF4-EE11-8D94-0030646254DD
