pattern_number,hole_number,hole_id,actual_x,actual_y,actual_toe_rl,actual_collar_rl
GB-120-001,1001,PRD1001,357000.0,6593000.0,118.9,130
GB-120-001,1002,PRD1002,357005.196,6593003.037,118.9,130
GB-120-001,1003,PRD1003,357010.392,6593006.437,118.9,130
GB-120-001,1004,PRD1004,357015.588,6593009.0,120.116,130
GB-120-001,1005,PRD1005,357020.785,6593012.056,118.9,130
GB-120-001,1006,PRD1006,357025.981,6593015.373,118.9,130
GB-120-001,1007,PRD1007,357031.177,6593018.477,117.238,130
GB-120-001,1008,PRD1008,357036.373,6593021.107,116.896,130
GB-120-001,1009,PRD1009,357041.569,6593024.355,118.695,130
GB-120-001,1010,PRD1010,357046.765,6593027.219,117.574,130
GB-120-001,1011,PRD1011,357051.962,6593030.357,121.477,130
GB-120-001,1012,PRD1012,357057.158,6593033.0,118.157,130
GB-120-001,1013,PRD1013,357062.354,6593036.269,118.895,130
GB-120-001,1014,PRD1014,357067.55,6593039.462,121.477,130
GB-120-001,1015,PRD1015,357072.746,6593042.38,118.01,130
GB-120-001,1016,PRD1016,357077.942,6593045.221,119.003,130
GB-120-001,1017,PRD1017,357083.138,6593048.0,120.435,130
GB-120-001,1018,PRD1018,357088.335,6593051.474,118.9,130
GB-120-001,1019,PRD1019,357093.531,6593054.44,116.73,130
GB-120-001,1020,PRD1020,357098.727,6593057.329,118.9,130
GB-120-001,1021,PRD1021,357097.325,6593065.659,117.61,130
GB-120-001,1022,PRD1022,357092.129,6593062.616,116.714,130
GB-120-001,1023,PRD1023,357086.933,6593059.428,120.355,130
GB-120-001,1024,PRD1024,357081.737,6593056.889,116.764,130
GB-120-001,1025,PRD1025,357076.54,6593053.658,118.9,130
GB-120-001,1026,PRD1026,357071.344,6593050.684,120.665,130
GB-120-001,1027,PRD1027,357066.148,6593047.428,120.517,130
GB-120-001,1028,PRD1028,357060.952,6593044.428,116.836,130
GB-120-001,1029,PRD1029,357055.756,6593041.514,121.422,130
GB-120-001,1030,PRD1030,357051.356,6593039.091,118.184,130
GB-120-001,1031,PRD1031,357045.363,6593035.428,119.66,130
GB-120-001,1032,PRD1032,357040.167,6593032.446,120.989,130
GB-120-001,1033,PRD1033,357034.971,6593029.734,117.439,130
GB-120-001,1034,PRD1034,357029.775,6593026.875,118.9,130
GB-120-001,1035,PRD1035,357024.579,6593023.58,121.318,130
GB-120-001,1036,PRD1036,357019.383,6593020.719,118.9,130
GB-120-001,1037,PRD1037,357014.187,6593017.724,117.901,130
GB-120-001,1038,PRD1038,357008.99,6593014.428,117.727,130
GB-120-001,1039,PRD1039,357003.794,6593011.755,121.171,130
GB-120-001,1040,PRD1040,356998.598,6593008.782,117.291,130
GB-120-001,1041,PRD1041,356992.0,6593013.856,118.9,130
GB-120-001,1042,PRD1042,356997.196,6593016.994,118.9,130
GB-120-001,1043,PRD1043,357002.392,6593020.14,118.9,130
GB-120-001,1044,PRD1044,357007.588,6593022.856,117.125,130
GB-120-001,1045,PRD1045,357012.785,6593026.042,118.462,130
GB-120-001,1046,PRD1046,357017.981,6593029.096,119.975,130
GB-120-001,1047,PRD1047,357023.177,6593031.943,119.637,130
GB-120-001,1048,PRD1048,357028.373,6593035.195,120.344,130
GB-120-001,1049,PRD1049,357033.569,6593037.971,120.965,130
GB-120-001,1050,PRD1050,357039.451,6593041.833,117.343,130
GB-120-001,1051,PRD1051,357043.962,6593044.104,117.645,130
GB-120-001,1052,PRD1052,357049.158,6593046.88,118.9,130
GB-120-001,1053,PRD1053,357054.354,6593049.929,117.051,130
GB-120-001,1054,PRD1054,357059.55,6593053.219,116.918,130
GB-120-001,1055,PRD1055,357064.746,6593055.856,119.629,130
GB-120-001,1056,PRD1056,357069.942,6593059.065,118.9,130
GB-120-001,1057,PRD1057,357075.138,6593061.9,119.485,130
GB-120-001,1058,PRD1058,357080.335,6593065.11,118.517,130
GB-120-001,1059,PRD1059,357085.531,6593067.994,118.9,130
GB-120-001,1060,PRD1060,357090.727,6593070.856,118.181,130
GB-120-001,1061,PRD1061,357089.325,6593079.29,116.749,130
GB-120-001,1062,PRD1062,357084.129,6593076.619,116.983,130
GB-120-001,1063,PRD1063,357078.933,6593073.487,119.176,130
GB-120-001,1064,PRD1064,357073.737,6593070.335,118.9,130
GB-120-001,1065,PRD1065,357068.54,6593067.719,118.9,130
GB-120-001,1066,PRD1066,357063.344,6593064.681,116.259,130
GB-120-001,1067,PRD1067,357058.148,6593061.738,116.645,130
GB-120-001,1068,PRD1068,357052.952,6593058.744,116.951,130
GB-120-001,1069,PRD1069,357047.756,6593055.304,119.592,130
GB-120-001,1070,PRD1070,357042.56,6593052.758,121.044,130
GB-120-001,1071,PRD1071,357037.363,6593049.502,119.732,130
GB-120-001,1072,PRD1072,357032.167,6593046.285,118.829,130
GB-120-001,1073,PRD1073,357026.971,6593043.285,119.232,130
GB-120-001,1074,PRD1074,357021.775,6593040.402,120.244,130
GB-120-001,1075,PRD1075,357016.579,6593037.285,119.118,130
GB-120-001,1076,PRD1076,357011.383,6593034.285,120.706,130
GB-120-001,1077,PRD1077,357006.187,6593031.593,121.038,130
GB-120-001,1078,PRD1078,357000.99,6593028.392,120.351,130
GB-120-001,1079,PRD1079,356995.794,6593025.751,119.149,130
GB-120-001,1080,PRD1080,356990.598,6593022.403,118.116,130
GB-120-001,1081,PRD1081,356984.0,6593028.177,120.393,130
GB-120-001,1082,PRD1082,356989.196,6593030.713,118.903,130
GB-120-001,1083,PRD1083,356994.228,6593034.766,120.923,130
GB-120-001,1084,PRD1084,356999.588,6593037.148,116.383,130
GB-120-001,1085,PRD1085,357004.785,6593040.139,120.513,130
GB-120-001,1086,PRD1086,357009.981,6593043.128,119.074,130
GB-120-001,1087,PRD1087,357015.177,6593045.87,118.789,130
GB-120-001,1088,PRD1088,357020.373,6593048.713,118.9,130
GB-120-001,1089,PRD1089,357025.569,6593051.801,121.106,130
GB-120-001,1090,PRD1090,357030.765,6593054.741,117.71,130
GB-120-001,1091,PRD1091,357035.962,6593057.747,120.462,130
GB-120-001,1092,PRD1092,357041.158,6593061.025,120.473,130
GB-120-001,1093,PRD1093,357046.354,6593063.99,118.107,130
GB-120-001,1094,PRD1094,357052.161,6593067.553,116.523,130
