pattern_number,hole_number,hole_id,actual_x,actual_y,actual_toe_rl,actual_collar_rl,actual_hole_length,dropped,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,design_equivalent_explosive_kg_actual_hole,actual_stemming_m,actual_explosive_column_m,actual_explosive_kg,actual_explosive_delta_kg,explosive_load_changed
GB-120-001,1001,PRD1001,357000.0,6593000.0,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,3.871,7.229,123.651,2.199,True
GB-120-001,1002,PRD1002,357005.196,6593003.037,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,4.392,6.708,114.755,-6.697,True
GB-120-001,1003,PRD1003,357010.392,6593006.437,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,4.0,7.1,121.452,0.0,False
GB-120-001,1004,PRD1004,357015.588,6593009.0,120.116,130,9.884,False,ANFO,0.8,165.0,4.0,100.652,4.12,5.764,98.593,-2.059,True
GB-120-001,1005,PRD1005,357020.785,6593012.056,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,4.416,6.684,114.336,-7.116,True
GB-120-001,1006,PRD1006,357025.981,6593015.373,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,4.245,6.855,117.266,-4.186,True
GB-120-001,1007,PRD1007,357031.177,6593018.477,117.238,130,12.762,False,ANFO,0.8,165.0,4.0,149.883,4.763,7.999,136.838,-13.044,True
GB-120-001,1008,PRD1008,357036.373,6593021.107,116.896,130,13.104,False,ANFO,0.8,165.0,4.0,155.733,3.127,9.977,170.66,14.927,True
GB-120-001,1009,PRD1009,357041.569,6593024.355,118.695,130,11.305,False,ANFO,0.8,165.0,4.0,124.959,4.0,7.305,124.959,0.0,False
GB-120-001,1010,PRD1010,357046.765,6593027.219,117.574,130,12.426,False,ANFO,0.8,165.0,4.0,144.135,4.0,8.426,144.135,0.0,False
GB-120-001,1011,PRD1011,357051.962,6593030.357,121.477,130,8.523,False,ANFO,0.8,165.0,4.0,77.37,4.533,3.99,68.251,-9.119,True
GB-120-001,1012,PRD1012,357057.158,6593033.0,118.157,130,11.843,False,ANFO,0.8,165.0,4.0,134.162,4.193,7.65,130.853,-3.31,True
GB-120-001,1013,PRD1013,357062.354,6593036.269,118.895,130,11.105,False,ANFO,0.8,165.0,4.0,121.538,4.55,6.555,112.123,-9.415,True
GB-120-001,1014,PRD1014,357067.55,6593039.462,121.477,130,8.523,False,ANFO,0.8,165.0,4.0,77.37,4.533,3.99,68.255,-9.116,True
GB-120-001,1015,PRD1015,357072.746,6593042.38,118.01,130,11.99,False,ANFO,0.8,165.0,4.0,136.677,3.223,8.767,149.969,13.293,True
GB-120-001,1016,PRD1016,357077.942,6593045.221,119.003,130,10.997,False,ANFO,0.8,165.0,4.0,119.69,3.688,7.309,125.031,5.34,True
GB-120-001,1017,PRD1017,357083.138,6593048.0,120.435,130,9.565,False,ANFO,0.8,165.0,4.0,95.195,3.342,6.223,106.45,11.256,True
GB-120-001,1018,PRD1018,357088.335,6593051.474,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,4.0,7.1,121.452,0.0,False
GB-120-001,1019,PRD1019,357093.531,6593054.44,116.73,130,13.27,False,ANFO,0.8,165.0,4.0,158.572,3.846,9.424,161.2,2.628,True
GB-120-001,1020,PRD1020,357098.727,6593057.329,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,4.346,6.754,115.535,-5.918,True
GB-120-001,1021,PRD1021,357097.325,6593065.659,117.61,130,12.39,False,ANFO,0.8,165.0,4.0,143.519,4.561,7.829,133.926,-9.593,True
GB-120-001,1022,PRD1022,357092.129,6593062.616,116.714,130,13.286,False,ANFO,0.8,165.0,4.0,158.846,3.657,9.629,164.713,5.867,True
GB-120-001,1023,PRD1023,357086.933,6593059.428,120.355,130,9.645,False,ANFO,0.8,165.0,4.0,96.563,3.975,5.67,96.99,0.427,True
GB-120-001,1024,PRD1024,357081.737,6593056.889,116.764,130,13.236,False,ANFO,0.8,165.0,4.0,157.991,3.223,10.013,171.281,13.29,True
GB-120-001,1025,PRD1025,357076.54,6593053.658,118.9,130,11.1,False,ANFO,0.8,165.0,4.0,121.452,3.315,7.785,133.171,11.718,True
GB-120-001,1026,PRD1026,357071.344,6593050.684,120.665,130,9.335,False,ANFO,0.8,165.0,4.0,91.26,4.363,4.972,85.058,-6.203,True
GB-120-001,1027,PRD1027,357066.148,6593047.428,120.517,130,9.483,False,ANFO,0.8,165.0,4.0,93.792,4.443,5.04,86.218,-7.574,True
GB-120-001,1028,PRD1028,357060.952,6593044.428,116.836,130,13.164,False,ANFO,0.8,165.0,4.0,156.759,3.921,9.243,158.105,1.346,True
GB-120-001,1029,PRD1029,357055.756,6593041.514,121.422,130,8.578,False,ANFO,0.8,165.0,4.0,78.311,4.143,4.435,75.862,-2.449,True
GB-120-001,1030,PRD1030,357051.356,6593039.091,118.184,130,11.816,False,ANFO,0.8,165.0,4.0,133.7,4.389,7.427,127.054,-6.646,True
GB-120-001,1031,PRD1031,357045.363,6593035.428,119.66,130,10.34,False,ANFO,0.8,165.0,4.0,108.452,3.241,7.099,121.435,12.983,True
GB-120-001,1032,PRD1032,357040.167,6593032.446,120.989,130,9.011,False,ANFO,0.8,165.0,4.0,85.718,4.0,5.011,85.718,-0.0,True
