pattern_number,hole_number,hole_id,actual_x,actual_y,actual_toe_rl,actual_collar_rl,actual_hole_length,dropped,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,design_equivalent_explosive_kg_actual_hole,actual_stemming_m,actual_explosive_column_m,actual_explosive_kg,actual_explosive_delta_kg,explosive_load_changed
1505708,1,{8311f49d-9ba3-4ccb-8e62-ee665b6e884a},229410.2,2729053.2,1512.9,1520.9,8.0,False,ANFO,0.8,165.0,4.0,68.424,3.928,4.072,69.663,1.239,True
1505708,2,{98ff027f-9b97-4ae7-91d5-a33ff4e9c079},229379.2,2729018.837,1512.9,1520.9,8.0,False,ANFO,0.8,165.0,4.0,68.424,4.221,3.779,64.651,-3.773,True
1505708,3,{ea75c675-851f-4325-8c4b-2e9c82318eda},229353.7,2729007.137,1512.7,1520.7,8.0,False,ANFO,0.8,165.0,4.0,68.424,4.0,4.0,68.424,0.0,False
1505708,21,{770dce16-5430-4ad1-a5a9-c0a01290fdad},229438.1,2729087.3,1505.275,1519.7,14.425,False,ANFO,0.8,165.0,4.0,178.33,4.213,10.212,174.682,-3.648,True
1505708,22,{1273cd2f-0561-483d-9140-5da03f7754e1},229433.4,2729084.256,1503.5,1519.6,16.1,False,ANFO,0.8,165.0,4.0,206.982,4.709,11.391,194.855,-12.127,True
1505708,23,{2b7f910d-e8b4-473d-ba16-1ef70ad655e2},229428.7,2729081.573,1503.5,1519.9,16.4,False,ANFO,0.8,165.0,4.0,212.114,4.427,11.973,204.803,-7.311,True
1505708,24,{f5a41286-54e0-4c21-b304-badf883df8bb},229424.0,2729078.577,1501.014,1520.1,19.086,False,ANFO,0.8,165.0,4.0,258.061,5.313,13.773,235.602,-22.459,True
1505708,25,{674e262d-dc62-4067-9fc6-66bde9b7fffd},229436.0,2729080.407,1500.593,1519.6,19.007,False,ANFO,0.8,165.0,4.0,256.709,2.562,16.445,281.315,24.606,True
1505708,26,{0e9e3c85-67bc-4231-88a3-0a2f59d0b6e5},229440.6,2729082.255,1503.204,1519.5,16.296,False,ANFO,0.8,165.0,4.0,210.335,4.0,12.296,210.335,0.0,False
1505708,27,{a957bb8e-1715-420f-9175-1736ed0a3330},229443.2,2729076.819,1501.6,1519.4,17.8,False,ANFO,0.8,165.0,4.0,236.062,4.0,13.8,236.062,0.0,False
1505708,28,{c57e9fd5-db15-4ef9-b23e-9923b84b5a56},229437.6,2729076.657,1507.26,1519.7,12.44,False,ANFO,0.8,165.0,4.0,144.374,4.995,7.445,127.358,-17.016,True
