pattern_number,hole_number,hole_id,x,y,collar_rl,design_toe_rl,design_bench_height,design_hole_length,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,design_explosive_column_m,design_explosive_kg
GB-120-001,1001,PRD1001,357000.0,6593000.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1002,PRD1002,357005.196,6593003.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1003,PRD1003,357010.392,6593006.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1004,PRD1004,357015.588,6593009.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1005,PRD1005,357020.785,6593012.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1006,PRD1006,357025.981,6593015.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1007,PRD1007,357031.177,6593018.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1008,PRD1008,357036.373,6593021.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1009,PRD1009,357041.569,6593024.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1010,PRD1010,357046.765,6593027.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1011,PRD1011,357051.962,6593030.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1012,PRD1012,357057.158,6593033.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1013,PRD1013,357062.354,6593036.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1014,PRD1014,357067.55,6593039.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1015,PRD1015,357072.746,6593042.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1016,PRD1016,357077.942,6593045.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1017,PRD1017,357083.138,6593048.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1018,PRD1018,357088.335,6593051.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1019,PRD1019,357093.531,6593054.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1020,PRD1020,357098.727,6593057.0,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1021,PRD1021,357097.325,6593065.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1022,PRD1022,357092.129,6593062.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1023,PRD1023,357086.933,6593059.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1024,PRD1024,357081.737,6593056.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1025,PRD1025,357076.54,6593053.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1026,PRD1026,357071.344,6593050.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1027,PRD1027,357066.148,6593047.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
GB-120-001,1028,PRD1028,357060.952,6593044.428,130,118.9,10.0,11.1,ANFO,0.8,165.0,4.0,7.1,121.452
