pattern_number,hole_number,hole_id,deck,deck_type,actual_x,actual_y,actual_collar_rl,actual_toe_rl,actual_hole_length_m,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,actual_stemming_m,design_explosive_column_m,actual_explosive_column_m,design_explosive_kg,actual_explosive_kg,charge_factor_kg_per_m,charge_variance_pct,charge_status
5,1,5-H-001,1,charge,363490.591,6591705.432,199.907,183.482,16.425,ANFO,0.8,229,3.2,4.0,12,12.43,395.4,409.446,24.928,3.55,As charged
5,2,5-H-002,1,charge,363482.979,6591708.121,199.977,184.279,15.698,ANFO,0.8,229,3.2,4.42,12,11.28,395.4,371.633,23.674,-6.01,Minor variance
5,3,5-H-003,1,charge,363475.158,6591710.932,200.013,183.333,16.68,ANFO,0.8,229,3.2,5.52,12,11.16,395.4,367.738,22.047,-7,Minor variance
5,4,5-H-004,1,charge,363467.037,6591713.335,199.88,183.258,16.622,ANFO,0.8,229,3.2,4.6,12,12.02,395.4,396.104,23.83,0.18,As charged
5,5,5-H-005,1,charge,363459.5,6591716.062,199.969,183.286,16.683,ANFO,0.8,229,3.2,6.07,12,10.61,395.4,349.736,20.964,-11.55,Undercharged - review
5,6,5-H-006,1,charge,363451.947,6591718.16,199.932,183.622,16.31,ANFO,0.8,229,3.2,4.77,12,11.54,395.4,380.243,23.313,-3.83,As charged
5,7,5-H-007,1,charge,363489.072,6591713.724,200.008,183.683,16.325,ANFO,0.8,229,3.2,4.77,12,11.56,395.4,380.826,23.328,-3.69,As charged
5,8,5-H-008,1,charge,363481.223,6591716.577,200.03,183.379,16.651,ANFO,0.8,229,3.2,3.14,12,13.51,395.4,445.142,26.734,12.58,Overcharged - review
5,9,5-H-009,1,charge,363473.426,6591718.859,199.982,183.559,16.423,ANFO,0.8,229,3.2,5.5,12,10.92,395.4,359.825,21.91,-9,Minor variance
5,10,5-H-010,1,charge,363466.381,6591720.674,200.037,183.549,16.488,ANFO,0.8,229,3.2,4.87,12,11.62,395.4,382.858,23.22,-3.17,As charged
5,11,5-H-011,1,charge,363458.387,6591723.588,199.988,183.907,16.081,ANFO,0.8,229,3.2,4.19,12,11.89,395.4,391.865,24.368,-0.89,As charged
5,12,5-H-012,1,charge,363450.688,6591725.965,200.046,184.508,15.538,ANFO,0.8,229,3.2,4.85,12,10.68,395.4,352.015,22.655,-10.97,Undercharged - review
5,13,5-H-013,1,charge,363494.67,6591719.111,200.046,183.61,16.436,ANFO,0.8,229,3.2,4.47,12,11.97,395.4,394.404,23.996,-0.25,As charged
5,14,5-H-014,1,charge,363487.332,6591721.866,199.98,183.316,16.664,ANFO,0.8,229,3.2,6.27,12,10.39,395.4,342.409,20.548,-13.4,Undercharged - review
5,15,5-H-015,1,charge,363479.328,6591724.457,199.934,183.697,16.237,ANFO,0.8,229,3.2,4.9,12,11.34,395.4,373.615,23.01,-5.51,Minor variance
5,16,5-H-016,1,charge,363472.344,6591727.015,200.02,183.146,16.874,ANFO,0.8,229,3.2,3.68,12,13.19,395.4,434.646,25.758,9.93,Minor variance
5,17,5-H-017,1,charge,363464.655,6591729.518,199.955,183.718,16.237,ANFO,0.8,229,3.2,4.98,12,11.26,395.4,370.927,22.845,-6.19,Minor variance
5,18,5-H-018,1,charge,363456.701,6591732.3,199.966,185.48,14.486,ANFO,0.8,229,3.2,4.91,12,9.58,395.4,315.644,21.79,-20.17,Undercharged - review
5,19,5-H-019,1,charge,363493.125,6591726.965,199.98,184.37,15.61,ANFO,0.8,229,3.2,5.05,12,10.56,395.4,347.894,22.287,-12.01,Undercharged - review
5,21,5-H-021,1,charge,363477.903,6591732.38,200.06,183.642,16.418,ANFO,0.8,229,3.2,5.46,12,10.95,395.4,360.912,21.983,-8.72,Minor variance
5,22,5-H-022,1,charge,363470.763,6591734.165,199.973,183.954,16.019,ANFO,0.8,229,3.2,4.23,12,11.79,395.4,388.406,24.247,-1.77,As charged
5,23,5-H-023,1,charge,363462.91,6591737.314,200.014,184.3,15.714,ANFO,0.8,229,3.2,5.62,12,10.09,395.4,332.484,21.158,-15.91,Undercharged - review
5,24,5-H-024,1,charge,363455.205,6591739.367,200.007,183.495,16.512,ANFO,0.8,229,3.2,4.69,12,11.82,395.4,389.387,23.582,-1.52,As charged
5,25,5-H-025,1,charge,363491.656,6591734.823,199.984,184.485,15.499,ANFO,0.8,229,3.2,4.69,12,10.81,395.4,356.184,22.981,-9.92,Minor variance
5,26,5-H-026,1,charge,363483.776,6591737.599,200.001,184.04,15.961,ANFO,0.8,229,3.2,4.96,12,11.01,395.4,362.627,22.72,-8.29,Minor variance
5,27,5-H-027,1,charge,363476.356,6591739.938,199.92,183.638,16.282,ANFO,0.8,229,3.2,4.49,12,11.79,395.4,388.583,23.866,-1.72,As charged
5,28,5-H-028,1,charge,363468.823,6591743.74,199.931,182.721,17.21,ANFO,0.8,229,3.2,4.98,12,12.23,395.4,402.844,23.408,1.88,As charged
5,29,5-H-029,1,charge,363461.472,6591744.94,200.017,183.421,16.596,ANFO,0.8,229,3.2,4.26,12,12.34,395.4,406.517,24.495,2.81,As charged
5,30,5-H-030,1,charge,363453.667,6591747.897,199.949,183.962,15.987,ANFO,0.8,229,3.2,5.7,12,10.29,395.4,338.979,21.203,-14.27,Undercharged - review
5,31,5-H-031,1,charge,363497.694,6591740.466,200.038,183.703,16.335,ANFO,0.8,229,3.2,4.72,12,11.62,395.4,382.788,23.434,-3.19,As charged
5,32,5-H-032,1,charge,363490.039,6591742.704,200.029,183.573,16.456,ANFO,0.8,229,3.2,4.09,12,12.37,395.4,407.553,24.766,3.07,As charged
5,33,5-H-033,1,charge,363482.456,6591745.555,199.957,183.251,16.706,ANFO,0.8,229,3.2,6.9,12,9.81,395.4,323.194,19.346,-18.26,Undercharged - review
5,34,5-H-034,1,charge,363474.447,6591748.116,199.927,184.154,15.773,ANFO,0.8,229,3.2,4.14,12,11.64,395.4,383.434,24.31,-3.03,As charged
5,35,5-H-035,1,charge,363467.051,6591750.883,199.976,183.661,16.315,ANFO,0.8,229,3.2,2.66,12,13.66,395.4,449.979,27.581,13.8,Overcharged - review
5,36,5-H-036,1,charge,363458.689,6591752.75,199.938,183.176,16.762,ANFO,0.8,229,3.2,3.52,12,13.24,395.4,436.232,26.025,10.33,Overcharged - review
5,38,5-H-038,1,charge,363495.807,6591748.517,200.101,184.111,15.99,ANFO,0.8,229,3.2,3.93,12,12.06,395.4,397.414,24.854,0.51,As charged
5,39,5-H-039,1,charge,363488.287,6591751.169,200.054,183.703,16.351,ANFO,0.8,229,3.2,4.81,12,11.55,395.4,380.415,23.266,-3.79,As charged
5,40,5-H-040,1,charge,363481.043,6591753.401,199.966,183.767,16.199,ANFO,0.8,229,3.2,4.89,12,11.31,395.4,372.591,23.001,-5.77,Minor variance
5,41,5-H-041,1,charge,363473.503,6591756.067,200.093,183.628,16.465,ANFO,0.8,229,3.2,4.96,12,11.51,395.4,379.108,23.025,-4.12,As charged
