hole_id,pattern_id,role,row,column,x,y,z,toe_x,toe_y,toe_z,length_m,burden_m,spacing_m,hole_diameter_mm,explosive_product_key,explosive_product_name,charge_length_m,stemming_length_m,boundary_clearance_m,matched_block_count,nearest_block_distance_m,cluster_basis,cluster_id,cluster_score,lithology,mineral_domain,structure_domain,digability,density_tpm3,hardness_index,grade_index,energy_requirement_index,pf_target_kg_m3,target_p80_mm,effective_volume_m3,required_explosive_mass_kg,required_charge_length_m,explosive_mass_kg,powder_factor_kg_m3,energy_intensity_mj_m3,predicted_p50_mm,predicted_p80_mm,predicted_p95_mm,coarse_risk,timing_system,timing_template,sequence,surface_delay_ms,in_hole_delay_ms,firing_time_ms,timing_window,movement_vector_x,movement_vector_y
20-H-001,20,primary,1,12,363787.720,6591840.953,200.000,363787.720,6591840.953,183.539,16.46,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,0.42,4,2.52,hardness,3,0.6035,propylitic_volcanics,stockwork_ore,secondary_fault,hard,2.785,0.6035,0.6429,0.6752,1.112,131.3,921.79,1025.0,31.11,395.4,0.429,1.58,136.1,219.4,340.1,bad,non_electric,face_row,3,11,450,461,57,1.0000,0.0000
20-H-002,20,primary,1,13,363786.469,6591848.777,200.000,363786.469,6591848.777,184.934,15.07,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,1.73,4,3.19,hardness,2,0.5858,propylitic_volcanics,stockwork_ore,secondary_fault,medium,2.772,0.5858,0.5549,0.6530,1.067,137.5,843.71,900.2,27.32,395.4,0.469,1.73,139.9,225.7,349.8,bad,non_electric,face_row,6,30,450,480,60,1.0000,0.0000
20-H-003,20,primary,1,14,363786.344,6591856.909,200.000,363786.344,6591856.909,183.839,16.16,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.14,4,4.79,hardness,1,0.5674,phyllic_volcanics,stockwork_ore,secondary_fault,medium,2.728,0.5674,0.4969,0.5877,0.922,152.5,905.04,834.4,25.33,395.4,0.437,1.61,147.1,237.3,367.9,bad,non_electric,face_row,9,49,450,499,62,1.0000,0.0000
20-H-004,20,primary,1,15,363785.666,6591864.931,200.000,363785.666,6591864.931,183.455,16.55,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,0.48,5,3.40,hardness,1,0.5557,fault_breccia_gouge,fault_damage_zone,secondary_fault,soft,2.682,0.5557,0.5228,0.5579,0.850,158.0,926.54,787.6,23.90,395.4,0.427,1.58,150.5,242.7,376.2,bad,non_electric,face_row,12,68,450,518,64,1.0000,0.0000
20-H-005,20,primary,2,6,363797.882,6591797.689,200.000,363797.882,6591797.689,184.504,15.50,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,0.81,4,4.82,hardness,5,0.6555,late_mafic_dyke,late_barren_intrusion,main_fault,soft,2.763,0.6555,0.0175,0.6554,1.020,148.8,867.79,885.1,26.86,395.4,0.456,1.68,162.0,261.3,405.0,bad,non_electric,face_row,4,82,450,532,66,1.0000,0.0000
20-H-006,20,primary,2,7,363797.215,6591805.103,200.000,363797.215,6591805.103,183.505,16.50,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,2.00,4,4.61,hardness,3,0.6211,late_mafic_dyke,late_barren_intrusion,main_fault,soft,2.747,0.6211,0.0289,0.6363,1.015,148.8,923.73,937.6,28.46,395.4,0.428,1.58,155.3,250.5,388.3,bad,non_electric,face_row,7,101,450,551,68,1.0000,0.0000
20-H-007,20,primary,2,8,363796.276,6591813.856,200.000,363796.276,6591813.856,183.839,16.16,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.18,5,2.57,hardness,4,0.6267,late_mafic_dyke,late_barren_intrusion,main_fault,medium,2.780,0.6267,0.2057,0.6718,1.104,138.0,905.01,999.1,30.33,395.4,0.437,1.61,144.5,233.1,361.3,bad,non_electric,face_row,10,120,450,570,71,1.0000,0.0000
20-H-008,20,primary,2,9,363796.010,6591821.844,200.000,363796.010,6591821.844,184.498,15.50,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,4.37,5,0.96,hardness,3,0.6142,late_mafic_dyke,late_barren_intrusion,main_fault,medium,2.804,0.6142,0.3027,0.6813,1.126,131.0,868.11,977.5,29.66,395.4,0.455,1.68,136.9,220.8,342.3,bad,non_electric,face_row,13,139,450,589,73,1.0000,0.0000
20-H-009,20,primary,2,10,363795.347,6591829.129,200.000,363795.347,6591829.129,184.568,15.43,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,5.56,4,2.05,hardness,4,0.6357,late_mafic_dyke,stockwork_ore,secondary_fault,hard,2.813,0.6357,0.3766,0.7043,1.165,125.0,864.22,1006.8,30.56,395.4,0.458,1.69,133.1,214.6,332.7,bad,non_electric,face_row,15,152,450,602,75,1.0000,0.0000
20-H-010,20,primary,2,11,363794.458,6591837.363,200.000,363794.458,6591837.363,184.166,15.83,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,6.74,6,4.05,hardness,4,0.6266,propylitic_volcanics,stockwork_ore,secondary_fault,hard,2.803,0.6266,0.4032,0.7025,1.165,127.5,886.72,1033.0,31.36,395.4,0.446,1.65,135.5,218.6,338.8,bad,non_electric,face_row,17,166,450,616,77,1.0000,0.0000
