pattern_id,block_name,haul_cycle_rec_ident,load_rec_ident,loading_unit_ident,load_desc,hauling_unit_ident,haul_desc,DrillPattern,bucket_tonnes,actual_tonnes,digging_time,dig_duration,total_time,spotting_time,loading_time,other_time,bucket_easting,bucket_northing,bucket_elevation,turnout,report_tonnes,calc_duration,date,start_time,end_time,tph,loader_type,truck_payload_t,bucket_nominal_t,passes,base_cycle_s,calc_total_time_s,digging_time_s,swing_time_s,loading_time_s,spotting_time_s,tph_recalc,digability
pattern_14,A1850814_200_WN_5,6208777,4208777,22264,R9800BH,DT012,CAT 793,A-185-08-14,47.14,207.32,101.334467,101.334467,242.569679,34.730079,65.756049,0,363405.02,6591859.56,198.88,STRAIGHT,207.3,466,19/10/2025,19:41:26,19:49:12,1882.259736,R9800BH,225,42.0,6.0,35,242.569679,101.334467,40.749086,65.756049,34.730079,3076.84252,6788.805346
pattern_14,A1850814_200_WN_5,6208778,4208778,22264,R9800BH,DT048,HIT EH5000,A-185-08-14,49.36,195.53,116.328803,116.328803,263.187844,40.159016,68.956585,0,363404.92,6591851.43,198.23,STRAIGHT,195.5,518,19/10/2025,19:49:12,19:57:50,1771.473668,R9800BH,250,42.0,6.0,35,263.187844,116.328803,37.743439,68.956585,40.159016,2674.542679,5729.875893
pattern_14,A1850814_200_WN_5,6208779,4208779,22264,R9800BH,DT062,HIT EH5000,A-185-08-14,48.06,215.32,117.156279,117.156279,277.696379,32.068028,79.918241,0,363403.75,6591859.35,199.86,STRAIGHT,215.3,394,19/10/2025,19:57:50,20:04:24,1752.638679,R9800BH,250,42.0,6.0,35,277.696379,117.156279,48.55383,79.918241,32.068028,2791.368765,6122.367264
pattern_14,A1850814_200_WN_5,6208780,4208780,22264,R9800BH,DT052,HIT EH5000,A-185-08-14,52.29,216.21,107.200394,107.200394,262.036736,40.74328,67.226758,0,363406.51,6591856.3,198.92,LEFT,216.2,527,19/10/2025,20:04:24,20:13:11,1879.799228,R9800BH,250,42.0,6.0,35,262.036736,107.200394,46.866304,67.226758,40.74328,2970.343227,6512.694788
pattern_14,A1850814_200_WN_5,6208781,4208781,22264,R9800BH,DT025,CAT 793,A-185-08-14,38.66,208.46,112.34353,112.34353,265.368867,38.58674,70.204549,0,363406.38,6591854.3,199.63,RIGHT,208.5,447,19/10/2025,20:13:11,20:20:38,1787.528317,R9800BH,225,42.0,6.0,35,265.368867,112.34353,44.234049,70.204549,38.58674,2827.934123,6153.985054
pattern_14,A1850814_200_WN_5,6208782,4208782,22264,R9800BH,DT057,HIT EH5000,A-185-08-14,51.35,226.48,106.193428,106.193428,246.205699,33.92725,63.212215,0,363406.28,6591854.64,198.88,STRAIGHT,226.5,414,19/10/2025,20:20:38,20:27:32,2133.714442,R9800BH,250,42.0,6.0,35,246.205699,106.193428,42.872805,63.212215,33.92725,3311.506166,6887.932824
pattern_14,A1850814_200_WN_5,6208783,4208783,22264,R9800BH,DT025,CAT 793,A-185-08-14,55.61,207.73,103.74136,103.74136,236.549553,35.223277,64.605748,0,363408.89,6591855.5,198.78,RIGHT,207.7,426,19/10/2025,20:27:32,20:34:38,1922.821924,R9800BH,225,42.0,6.0,35,236.549553,103.74136,32.979167,64.605748,35.223277,3161.371743,6638.970698
pattern_14,A1850814_200_WN_5,6208784,4208784,22264,R9800BH,DT084,HIT EH5000,A-185-08-14,49.64,203.77,113.576372,113.576372,238.322563,29.860571,57.834658,0,363405.87,6591855.56,199.34,LEFT,203.8,401,19/10/2025,20:34:38,20:41:19,1960.576404,R9800BH,250,42.0,6.0,35,238.322563,113.576372,37.050962,57.834658,29.860571,3078.113634,6776.081619
pattern_14,A1850814_200_WN_5,6208785,4208785,22264,R9800BH,DT070,HIT EH5000,A-185-08-14,40.57,200.08,114.78085,114.78085,245.548182,34.692532,53.094856,0,363404.63,6591858.43,199.31,LEFT,200.1,497,19/10/2025,20:41:19,20:49:36,1969.544386,R9800BH,250,42.0,6.0,35,245.548182,114.78085,42.979944,53.094856,34.692532,2933.338846,6505.930624
pattern_14,A1850814_200_WN_5,6208786,4208786,22264,R9800BH,DT031,CAT 793,A-185-08-14,46.48,221.51,126.844361,126.844361,268.507037,37.260143,68.10474,0,363400.67,6591854.8,199.0,STRAIGHT,221.5,372,19/10/2025,20:49:36,20:55:48,1872.701386,R9800BH,225,42.0,6.0,35,268.507037,126.844361,36.297792,68.10474,37.260143,2969.946371,6465.555737
