timestamp,date,shift,tph,power_kw,specific_energy_kwh_t,util,mill_fill_pct,mill_speed_pct,f80_mm,pattern,notes
2026-05-12T22:00:00,2026-05-12,N,3406.2,24948.9,7.325,85.3,23.5,74.9,104.0,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-12T23:00:00,2026-05-12,N,3436.0,24642.3,7.172,87.3,22.5,75.3,96.7,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T00:00:00,2026-05-13,N,3737.8,25702.1,6.876,94.7,23.3,76.0,112.5,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T01:00:00,2026-05-13,N,3266.1,24826.3,7.601,98.8,24.1,74.4,104.5,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T02:00:00,2026-05-13,N,3466.2,24985.6,7.208,90.2,23.2,75.2,103.4,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T03:00:00,2026-05-13,N,3767.1,25412.9,6.746,84.5,22.3,76.2,105.9,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T04:00:00,2026-05-13,N,3126.9,24029.1,7.685,69.5,22.8,74.3,90.0,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T05:00:00,2026-05-13,N,3671.1,25562.5,6.963,88.2,23.3,75.7,111.1,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T06:00:00,2026-05-13,D,3681.7,25451.0,6.913,91.0,23.0,75.9,108.5,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T07:00:00,2026-05-13,D,3583.8,25238.8,7.042,85.7,23.1,75.5,106.2,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T08:00:00,2026-05-13,D,3209.9,24816.6,7.731,96.3,24.4,74.2,105.6,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T09:00:00,2026-05-13,D,3639.4,25812.4,7.092,96.3,24.2,75.5,117.0,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T10:00:00,2026-05-13,D,3468.1,25163.1,7.256,90.4,23.6,75.1,107.2,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T11:00:00,2026-05-13,D,3161.5,24669.0,7.803,86.2,24.3,74.0,103.5,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T12:00:00,2026-05-13,D,3201.8,24775.3,7.738,87.5,24.4,74.1,104.9,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T13:00:00,2026-05-13,D,3391.8,25212.9,7.433,99.5,24.3,74.7,110.0,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T14:00:00,2026-05-13,D,3307.4,24760.4,7.486,92.2,23.6,74.6,102.1,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T15:00:00,2026-05-13,D,3309.3,25085.0,7.58,91.4,24.5,74.4,109.2,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T16:00:00,2026-05-13,D,3317.4,24894.5,7.504,92.4,23.9,74.6,104.8,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T17:00:00,2026-05-13,D,3420.6,25167.4,7.358,86.6,23.9,74.9,108.3,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T18:00:00,2026-05-13,N,3103.9,24216.2,7.802,85.9,23.5,74.1,94.7,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T19:00:00,2026-05-13,N,3108.7,23999.8,7.72,86.8,22.8,74.2,89.7,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T20:00:00,2026-05-13,N,3041.0,24606.4,8.092,92.4,25.0,73.5,105.1,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T21:00:00,2026-05-13,N,2875.9,24384.7,8.479,89.1,25.5,72.9,104.3,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T22:00:00,2026-05-13,N,3011.3,24738.8,8.215,89.9,25.6,73.3,108.9,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-13T23:00:00,2026-05-13,N,2723.8,23750.0,8.719,96.9,24.7,72.7,93.3,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T00:00:00,2026-05-14,N,3229.6,24574.0,7.609,94.1,23.6,74.4,99.8,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T01:00:00,2026-05-14,N,3192.7,24741.6,7.749,85.9,24.3,74.1,104.4,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T02:00:00,2026-05-14,N,3434.5,24817.7,7.226,85.7,22.9,75.1,100.5,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T03:00:00,2026-05-14,N,3079.4,24306.5,7.893,97.3,23.9,73.9,97.3,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T04:00:00,2026-05-14,N,2997.4,24081.7,8.034,67.7,23.8,73.7,94.2,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T05:00:00,2026-05-14,N,3066.9,24271.5,7.914,91.4,23.9,73.9,96.9,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T06:00:00,2026-05-14,D,3399.5,25214.5,7.417,85.8,24.2,74.8,109.9,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T07:00:00,2026-05-14,D,3447.0,25057.5,7.269,87.5,23.5,75.1,105.4,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T08:00:00,2026-05-14,D,3694.1,25234.7,6.831,90.0,22.4,76.0,103.7,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T09:00:00,2026-05-14,D,3561.7,25119.8,7.053,89.1,22.9,75.5,104.2,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T10:00:00,2026-05-14,D,3627.0,25432.9,7.012,89.0,23.3,75.6,109.3,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T11:00:00,2026-05-14,D,3652.9,25367.5,6.944,93.8,22.9,75.8,107.4,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T12:00:00,2026-05-14,D,3826.6,25391.8,6.636,91.2,21.9,76.5,104.3,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T13:00:00,2026-05-14,D,3831.9,25737.9,6.717,92.6,22.7,76.3,111.3,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T14:00:00,2026-05-14,D,3976.3,25915.6,6.518,92.5,22.3,76.9,111.9,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T15:00:00,2026-05-14,D,3860.7,25512.9,6.608,93.4,22.0,76.6,106.1,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T16:00:00,2026-05-14,D,3584.2,24991.9,6.973,85.3,22.4,75.7,101.0,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T17:00:00,2026-05-14,D,3094.8,24206.8,7.822,89.9,23.5,74.0,94.7,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T18:00:00,2026-05-14,N,3158.6,24532.1,7.767,81.1,24.0,74.1,100.5,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T19:00:00,2026-05-14,N,2914.3,24296.8,8.337,96.6,25.0,73.2,101.2,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T20:00:00,2026-05-14,N,3050.6,24509.6,8.034,93.1,24.7,73.6,102.7,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T21:00:00,2026-05-14,N,3057.3,24079.5,7.876,89.4,23.4,73.9,92.7,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T22:00:00,2026-05-14,N,3438.8,25204.9,7.33,88.2,23.9,74.9,108.7,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-14T23:00:00,2026-05-14,N,3178.7,24690.5,7.767,89.2,24.3,74.1,103.6,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-15T00:00:00,2026-05-15,N,3169.1,24854.1,7.843,93.1,24.8,74.0,107.5,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-15T01:00:00,2026-05-15,N,2993.5,24087.0,8.046,82.0,23.8,73.7,94.4,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-15T02:00:00,2026-05-15,N,3130.3,24430.5,7.805,92.1,23.9,74.0,98.9,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-15T03:00:00,2026-05-15,N,3231.1,24589.5,7.61,93.7,23.6,74.4,100.1,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-15T04:00:00,2026-05-15,N,3089.0,24306.8,7.869,92.5,23.8,73.9,97.1,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-15T05:00:00,2026-05-15,N,2978.6,24129.9,8.101,86.1,24.1,73.6,95.8,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-15T06:00:00,2026-05-15,D,3437.9,25200.4,7.33,94.3,23.9,74.9,108.7,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-15T07:00:00,2026-05-15,D,3222.4,24724.9,7.673,91.9,24.1,74.3,103.3,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-15T08:00:00,2026-05-15,D,3128.4,24794.5,7.926,93.9,24.9,73.8,107.2,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-15T09:00:00,2026-05-15,D,3337.6,25149.7,7.535,95.0,24.5,74.5,109.9,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-15T10:00:00,2026-05-15,D,2923.4,24150.5,8.261,90.0,24.5,73.3,97.6,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2026-05-15T11:00:00,2026-05-15,D,3117.8,24690.5,7.919,92.9,24.7,73.8,105.1,A-185-08-22,"A-185-08-22 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
