polygon_id,hole_id,x,y,rl_top_m,rl_floor_m,sample_index,depth_m,pen,torque,rpm,wob,mse
pattern_5,5-H-001,363490.591,6591705.432,199.907,199.157,0,0.75,0.882212,33.148794,71.767289,14.37375,0.464136
pattern_5,5-H-001,363490.591,6591705.432,199.157,198.407,1,1.5,0.860986,34.552061,71.182229,15.634201,0.491719
pattern_5,5-H-001,363490.591,6591705.432,198.407,197.657,2,2.25,0.836803,33.969538,69.865874,14.620097,0.488092
pattern_5,5-H-001,363490.591,6591705.432,197.657,196.907,3,3,0.839257,34.274646,70.699331,16.112394,0.497043
pattern_5,5-H-001,363490.591,6591705.432,196.907,196.157,4,3.75,0.854003,34.784835,70.555865,15.029999,0.494603
pattern_5,5-H-001,363490.591,6591705.432,196.157,195.407,5,4.5,0.841116,35.740218,71.438561,14.983262,0.52232
pattern_5,5-H-001,363490.591,6591705.432,195.407,194.657,6,5.25,0.869255,35.368989,70.875725,14.215759,0.49622
pattern_5,5-H-001,363490.591,6591705.432,194.657,193.907,7,6,0.863625,35.168026,70.158706,14.827138,0.491683
pattern_5,5-H-001,363490.591,6591705.432,193.907,193.157,8,6.75,0.850137,35.987223,71.736699,15.581343,0.522593
pattern_5,5-H-001,363490.591,6591705.432,193.157,192.407,9,7.5,0.850397,36.366714,70.001359,15.115738,0.515141
pattern_5,5-H-001,363490.591,6591705.432,192.407,191.657,10,8.25,0.779492,36.73102,70.48737,14.724689,0.571323
pattern_5,5-H-001,363490.591,6591705.432,191.657,190.907,11,9,0.836235,36.66934,70.753531,16.072683,0.53395
pattern_5,5-H-001,363490.591,6591705.432,190.907,190.157,12,9.75,0.83052,35.760214,71.013187,15.413099,0.526168
pattern_5,5-H-001,363490.591,6591705.432,190.157,189.407,13,10.5,0.800994,36.19438,70.602738,15.502089,0.548925
pattern_5,5-H-001,363490.591,6591705.432,189.407,188.657,14,11.25,0.816075,35.974087,70.80848,15.085504,0.537052
pattern_5,5-H-001,363490.591,6591705.432,188.657,187.907,15,12,0.817492,36.27703,71.09343,16.260153,0.542934
pattern_5,5-H-001,363490.591,6591705.432,187.907,187.157,16,12.75,0.802187,35.545338,70.301734,16.005138,0.53609
pattern_5,5-H-001,363490.591,6591705.432,187.157,186.407,17,13.5,0.803153,35.880957,70.524185,15.581281,0.542138
pattern_5,5-H-001,363490.591,6591705.432,186.407,185.657,18,14.25,0.829691,35.69463,71.719143,15.710266,0.530973
pattern_5,5-H-001,363490.591,6591705.432,185.657,184.907,19,15,0.804954,36.09233,71.560413,15.207868,0.552026
pattern_5,5-H-001,363490.591,6591705.432,184.907,184.157,20,15.75,0.808819,36.989151,70.06931,15.601522,0.551357
pattern_5,5-H-001,363490.591,6591705.432,184.157,183.482,21,16.425,0.787468,36.236717,71.093986,15.76321,0.56288
pattern_5,5-H-002,363482.979,6591708.121,199.977,199.227,0,0.75,0.894218,33.466014,71.645336,14.476993,0.461523
pattern_5,5-H-002,363482.979,6591708.121,199.227,198.477,1,1.5,0.901231,32.346735,73.079373,14.529624,0.45152
pattern_5,5-H-002,363482.979,6591708.121,198.477,197.727,2,2.25,0.923911,33.043688,72.241645,14.645354,0.444809
pattern_5,5-H-002,363482.979,6591708.121,197.727,196.977,3,3,0.881217,33.05537,69.998944,14.845612,0.452037
pattern_5,5-H-002,363482.979,6591708.121,196.977,196.227,4,3.75,0.859432,33.514605,71.726464,15.565496,0.481502
pattern_5,5-H-002,363482.979,6591708.121,196.227,195.477,5,4.5,0.865747,34.474809,71.705651,14.118133,0.491326
pattern_5,5-H-002,363482.979,6591708.121,195.477,194.727,6,5.25,0.871495,34.542743,71.9568,14.475229,0.490806
pattern_5,5-H-002,363482.979,6591708.121,194.727,193.977,7,6,0.875061,34.014788,71.651157,15.136288,0.479412
pattern_5,5-H-002,363482.979,6591708.121,193.977,193.227,8,6.75,0.866773,35.178973,71.393369,15.886091,0.498777
pattern_5,5-H-002,363482.979,6591708.121,193.227,192.477,9,7.5,0.829864,34.058602,70.465837,15.290627,0.497748
pattern_5,5-H-002,363482.979,6591708.121,192.477,191.727,10,8.25,0.823712,36.02808,71.296982,15.814174,0.536638
pattern_5,5-H-002,363482.979,6591708.121,191.727,190.977,11,9,0.841964,35.021469,71.78616,14.731729,0.513788
pattern_5,5-H-002,363482.979,6591708.121,190.977,190.227,12,9.75,0.865092,35.049651,71.376276,16.129269,0.497823
pattern_5,5-H-002,363482.979,6591708.121,190.227,189.477,13,10.5,0.815432,34.855318,71.630404,14.856002,0.526812
