Measurement ID,TimeStamp UTC,TimeStamp Site TZ,Hole Number,Hole ID,Parent Hole Easting (m),Parent Hole Northing (m),Measurement Easting (m),Measurement Northing (m),Measurement Offset Distance (m),Measurement Offset Angle (deg),Elevation (m),P20 RR (mm),P20 SWB (mm),P50 RR (mm),P50 SWB (mm),P80 RR (mm),P80 SWB (mm),Top Size RR (mm),Top Size SWB (mm),> 100 mm RR (%),> 100 mm SWB (%),< 10 mm RR (%),< 10 mm SWB (%),< 25 mm RR (%),< 25 mm SWB (%),25 mm to 100 mm RR (%),25 mm to 100 mm SWB (%),RR Xc (mm),RR n,SWB b,SWB x50 (mm),SWB xMax (mm),Instantaeous Mass (t/hr),Latitude,Longitude,Altitude (m),IsDay,IsGeoreferenced
603,2025-07-13T11:00:00Z,2025-07-13T19:00:00+08:00,1,10-H-001,363638.736,6591825.929,363640.042,6591821.359,4.75,285.9,183,35.3,35.8,113.5,118.8,265.4,279.8,824.8,893.0,85.0,85.0,1.0,1.0,4.0,4.0,11.0,11.0,172.1,1.182,2.006,118.8,893.0,1428,-19.9986955,118.0029711,200,False,True
604,2025-07-13T11:02:00Z,2025-07-13T19:02:00+08:00,2,10-H-002,363639.067,6591817.818,363635.582,6591818.153,3.5,174.5,183,30.4,30.0,81.9,80.7,218.4,207.5,689.2,678.4,85.0,85.0,1.0,1.0,12.2,10.6,2.8,4.4,145.1,1.153,2.025,80.7,678.4,1021,-19.9987243,118.0029285,200,False,True
605,2025-07-13T11:03:00Z,2025-07-13T19:03:00+08:00,2,10-H-002,363639.067,6591817.818,363638.747,6591816.489,1.37,256.5,183,31.0,29.3,101.8,99.6,243.2,239.4,668.7,627.4,85.0,85.0,1.0,1.0,4.6,7.7,10.4,7.3,161.6,1.095,1.98,99.6,627.4,1235,-19.9987392,118.0029588,200,False,True
606,2025-07-13T11:05:00Z,2025-07-13T19:05:00+08:00,3,10-H-003,363639.369,6591809.924,363639.27,6591810.535,0.62,99.2,186,50.3,44.7,147.2,144.1,301.6,294.9,820.3,882.9,85.0,85.0,1.0,1.0,4.0,4.0,11.0,11.0,205.7,0.997,1.889,144.1,882.9,984,-19.9987927,118.0029638,200,False,True
607,2025-07-13T11:13:00Z,2025-07-13T19:13:00+08:00,4,10-H-004,363639.204,6591802.147,363640.104,6591806.376,4.32,78.0,184,38.2,36.6,110.7,112.0,281.2,275.4,866.6,891.7,85.0,85.0,1.0,1.0,4.0,4.0,11.0,11.0,190.3,1.176,1.827,112.0,891.7,1054,-19.9988301,118.0029717,200,False,True
608,2025-07-13T11:14:00Z,2025-07-13T19:14:00+08:00,4,10-H-004,363639.204,6591802.147,363643.891,6591804.05,5.06,22.1,184,51.6,53.9,142.7,144.4,340.4,347.8,1107.7,1075.5,85.0,85.0,1.0,1.0,4.0,4.0,11.0,11.0,230.3,1.1,1.986,144.4,1075.5,1042,-19.998851,118.0030079,200,False,True
609,2025-07-13T11:20:00Z,2025-07-13T19:20:00+08:00,4,10-H-004,363639.204,6591802.147,363639.026,6591799.896,2.26,265.5,184,42.6,41.0,132.6,135.6,334.6,312.5,1109.1,1057.3,85.0,85.0,1.0,1.0,4.0,4.0,11.0,11.0,226.4,1.316,1.939,135.6,1057.3,1029,-19.9988883,118.0029614,200,False,True
610,2025-07-13T11:15:00Z,2025-07-13T19:15:00+08:00,5,10-H-005,363638.819,6591793.885,363641.765,6591794.29,2.97,7.8,182,37.9,39.9,114.9,107.5,251.9,245.4,566.6,606.5,85.0,85.0,1.0,1.0,4.0,7.4,11.0,7.6,168.9,1.194,1.836,107.5,606.5,1026,-19.9989386,118.0029876,200,False,True
611,2025-07-13T11:16:00Z,2025-07-13T19:16:00+08:00,6,10-H-006,363638.808,6591786.145,363636.233,6591782.77,4.24,232.7,184,52.2,49.4,134.3,142.1,276.9,275.1,1122.8,1212.8,85.0,85.0,1.0,1.0,4.0,4.0,11.0,11.0,182.5,1.199,1.881,142.1,1212.8,1284,-19.9990421,118.0029347,200,False,True
612,2025-07-13T11:31:00Z,2025-07-13T19:31:00+08:00,7,10-H-007,363638.812,6591777.846,363638.86,6591774.049,3.8,270.7,184,32.7,31.8,89.7,89.7,221.7,228.7,857.4,887.8,85.0,85.0,1.0,1.0,8.4,9.9,6.6,5.1,145.3,1.261,1.844,89.7,887.8,1200,-19.9991205,118.0029599,200,False,True
613,2025-07-13T11:15:00Z,2025-07-13T19:15:00+08:00,7,10-H-007,363638.812,6591777.846,363638.28,6591774.901,2.99,259.8,184,30.7,29.7,93.1,90.6,215.2,214.3,657.3,615.1,85.0,85.0,1.0,1.0,7.0,10.2,8.0,4.8,141.0,1.174,1.933,90.6,615.1,1203,-19.9991128,118.0029543,200,False,True
614,2025-07-13T11:31:00Z,2025-07-13T19:31:00+08:00,8,10-H-008,363632.402,6591821.824,363635.35,6591824.905,4.26,46.3,184,33.5,31.2,97.1,98.9,239.7,231.0,697.6,724.1,85.0,85.0,1.0,1.0,4.9,8.7,10.1,6.3,156.3,1.207,1.775,98.9,724.1,1164,-19.9986636,118.0029263,200,False,True
615,2025-07-13T11:26:00Z,2025-07-13T19:26:00+08:00,8,10-H-008,363632.402,6591821.824,363634.608,6591822.203,2.24,9.8,184,28.4,27.2,87.6,92.7,230.3,237.0,580.5,600.9,85.0,85.0,1.0,1.0,10.4,6.9,4.6,8.1,150.1,1.209,1.86,92.7,600.9,1307,-19.9986879,118.0029192,200,False,True
616,2025-07-13T11:25:00Z,2025-07-13T19:25:00+08:00,9,10-H-009,363632.189,6591813.772,363631.76,6591812.907,0.97,243.6,183,38.2,36.7,117.9,116.6,276.9,276.6,1305.6,1404.1,85.0,85.0,1.0,1.0,4.0,4.0,11.0,11.0,184.9,1.095,1.963,116.6,1404.1,1250,-19.9987714,118.002892,200,False,True
617,2025-07-13T11:39:00Z,2025-07-13T19:39:00+08:00,9,10-H-009,363632.189,6591813.772,363632.151,6591813.953,0.19,101.8,183,43.1,43.9,123.6,130.9,295.0,276.6,728.8,720.0,85.0,85.0,1.0,1.0,4.0,4.0,11.0,11.0,197.0,1.005,1.855,130.9,720.0,1099,-19.998762,118.0028957,200,False,True
