Measurement ID,TimeStamp UTC,TimeStamp Site TZ,Hole Number,Hole ID,Parent Hole Easting (m),Parent Hole Northing (m),Measurement Easting (m),Measurement Northing (m),Measurement Offset Distance (m),Measurement Offset Angle (deg),Elevation (m),P20 RR (mm),P20 SWB (mm),P50 RR (mm),P50 SWB (mm),P80 RR (mm),P80 SWB (mm),Top Size RR (mm),Top Size SWB (mm),> 100 mm RR (%),> 100 mm SWB (%),< 10 mm RR (%),< 10 mm SWB (%),< 25 mm RR (%),< 25 mm SWB (%),25 mm to 100 mm RR (%),25 mm to 100 mm SWB (%),RR Xc (mm),RR n,SWB b,SWB x50 (mm),SWB xMax (mm),Instantaeous Mass (t/hr),Latitude,Longitude,Altitude (m),IsDay,IsGeoreferenced
2818,2025-08-10T08:00:00Z,2025-08-10T16:00:00+08:00,1,24-H-001,363461.898,6591891.496,363457.718,6591894.859,5.36,141.2,185,12.2,11.9,34.8,34.6,78.0,75.7,154.0,159.3,29.4,26.3,8.2,8.5,23.1,28.3,47.5,45.4,51.6,1.24,1.954,34.6,159.3,1650,-19.9980352,118.0012282,200,True,True
2819,2025-08-10T08:02:00Z,2025-08-10T16:02:00+08:00,1,24-H-001,363461.898,6591891.496,363463.051,6591894.731,3.43,70.4,185,13.4,13.3,35.4,35.3,69.0,68.4,128.3,131.1,23.0,18.8,8.6,8.0,27.2,26.3,49.9,55.0,45.7,1.233,1.958,35.3,131.1,1728,-19.9980364,118.0012792,200,True,True
2820,2025-08-10T08:04:00Z,2025-08-10T16:04:00+08:00,1,24-H-001,363461.898,6591891.496,363458.89,6591892.387,3.14,163.5,185,12.5,13.2,34.9,34.2,68.8,68.0,109.7,103.9,24.3,23.2,6.9,9.4,31.4,33.9,44.3,42.8,45.5,1.286,1.906,34.2,103.9,1762,-19.9980574,118.0012394,200,True,True
2821,2025-08-10T08:09:00Z,2025-08-10T16:09:00+08:00,2,24-H-002,363459.473,6591898.943,363454.318,6591904.569,7.63,132.5,185,11.0,10.9,30.7,29.9,65.8,68.2,127.5,137.7,23.0,21.3,9.4,8.8,27.9,28.9,49.1,49.8,42.9,1.268,1.969,29.9,137.7,1887,-19.997948,118.0011957,200,True,True
2822,2025-08-10T08:06:00Z,2025-08-10T16:06:00+08:00,2,24-H-002,363459.473,6591898.943,363455.8,6591896.586,4.36,212.7,185,12.3,12.6,35.7,34.3,72.9,74.5,127.7,124.4,23.4,30.1,4.7,8.5,25.9,27.1,50.6,42.8,47.6,1.225,2.06,34.3,124.4,1681,-19.9980197,118.0012099,200,True,True
2823,2025-08-10T08:11:00Z,2025-08-10T16:11:00+08:00,3,24-H-003,363456.665,6591906.382,363452.998,6591904.988,3.92,200.8,185,10.5,10.3,30.9,30.8,73.1,81.1,130.4,127.9,25.4,28.9,10.3,9.4,28.1,28.9,46.5,42.2,48.1,1.201,1.893,30.8,127.9,1643,-19.9979442,118.0011831,200,True,True
2824,2025-08-10T08:11:00Z,2025-08-10T16:11:00+08:00,4,24-H-004,363453.849,6591913.497,363451.269,6591910.547,3.92,228.8,185,11.2,11.2,30.8,31.2,80.0,79.3,166.0,162.0,29.9,29.0,7.3,7.7,29.2,34.6,40.9,36.5,53.8,1.213,1.845,31.2,162.0,1603,-19.9978943,118.0011666,200,True,True
2825,2025-08-10T08:12:00Z,2025-08-10T16:12:00+08:00,4,24-H-004,363453.849,6591913.497,363449.344,6591917.91,6.31,135.6,185,12.5,12.1,36.1,34.2,77.4,73.4,115.2,108.0,27.0,26.0,8.5,7.4,29.4,27.8,43.6,46.2,52.0,1.1,1.87,34.2,108.0,1723,-19.9978281,118.0011482,200,True,True
2826,2025-08-10T08:22:00Z,2025-08-10T16:22:00+08:00,4,24-H-004,363453.849,6591913.497,363457.098,6591919.581,6.9,61.9,185,13.2,13.4,36.4,37.9,80.4,82.0,134.0,123.1,27.3,26.6,7.4,8.9,27.9,31.8,44.8,41.6,54.1,1.166,1.764,37.9,123.1,1626,-19.9978131,118.0012223,200,True,True
2827,2025-08-10T08:17:00Z,2025-08-10T16:17:00+08:00,5,24-H-005,363467.073,6591896.965,363460.13,6591897.443,6.96,176.1,185,11.6,11.9,30.7,31.9,72.3,70.7,115.2,105.1,26.7,17.1,7.5,9.8,31.9,28.9,41.4,53.9,47.7,1.114,1.871,31.9,105.1,1725,-19.998012,118.0012513,200,True,True
