pattern_id,hole_number,hole_id,deck,deck_type,actual_x,actual_y,actual_collar_rl,actual_toe_rl,actual_hole_length_m,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,actual_stemming_m,design_explosive_column_m,actual_explosive_column_m,design_explosive_kg,actual_explosive_kg,charge_factor_kg_per_m,charge_variance_pct,charge_status
A185-001-01,1,1-H-001,1,charge,363569.373,6591663.68,199.954,185.749,14.205,ANFO,0.8,229,3.2,4.58,12.0,9.2,395.4,303.049,21.334,-23.36,Undercharged - review
A185-001-01,2,1-H-002,1,charge,363561.705,6591664.907,199.93,185.052,14.878,ANFO,0.8,229,3.2,5.12,12.0,9.26,395.4,300.106,20.171,-24.1,Undercharged - review
A185-001-01,3,1-H-003,1,charge,363553.977,6591666.442,199.952,183.931,16.021,ANFO,0.8,229,3.2,5.57,12.0,9.98,395.4,326.395,20.373,-17.45,Undercharged - review
A185-001-01,4,1-H-004,1,charge,363630.21,6591661.923,199.911,191.844,8.067,ANFO,0.8,229,3.2,3.0,12.0,4.7,395.4,153.096,18.978,-61.28,Undercharged - review
A185-001-01,5,1-H-005,1,charge,363621.941,6591663.996,199.988,190.904,9.084,ANFO,0.8,229,3.2,2.25,12.0,6.27,395.4,209.04,23.012,-47.13,Undercharged - review
A185-001-01,6,1-H-006,1,charge,363614.272,6591664.825,199.986,190.171,9.815,ANFO,0.8,229,3.2,3.57,12.0,5.78,395.4,189.123,19.269,-52.17,Undercharged - review
A185-001-01,7,1-H-007,1,charge,363606.36,6591666.174,200.095,189.599,10.496,ANFO,0.8,229,3.2,3.58,12.0,6.43,395.4,214.254,20.413,-45.81,Undercharged - review
A185-001-01,8,1-H-008,1,charge,363598.409,6591666.929,200.123,188.573,11.55,ANFO,0.8,229,3.2,4.48,12.0,6.55,395.4,216.357,18.732,-45.28,Undercharged - review
A185-001-01,9,1-H-009,1,charge,363590.223,6591668.526,200.159,188.028,12.131,ANFO,0.8,229,3.2,4.2,12.0,7.39,395.4,238.325,19.646,-39.73,Undercharged - review
A185-001-01,10,1-H-010,1,charge,363582.65,6591669.068,200.068,187.271,12.797,ANFO,0.8,229,3.2,4.19,12.0,8.09,395.4,266.824,20.851,-32.52,Undercharged - review
