pattern_number,hole_number,hole_id,deck,deck_type,actual_x,actual_y,actual_collar_rl,actual_toe_rl,actual_hole_length_m,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,actual_stemming_m,design_explosive_column_m,actual_explosive_column_m,design_explosive_kg,actual_explosive_kg,charge_factor_kg_per_m,charge_variance_pct,charge_status
18,1,18-H-001,1,charge,363578.98,6591905.236,200.007,181.885,18.122,ANFO,0.8,229.0,5.53,6.19,12.59,11.93,414.818,393.035,21.688,-5.25,As charged
18,2,18-H-002,1,charge,363587.034,6591905.384,200.014,183.997,16.017,ANFO,0.8,229.0,5.02,5.06,11.0,10.96,362.416,361.075,22.543,-0.37,As charged
18,3,18-H-003,1,charge,363595.172,6591906.293,200.035,183.298,16.737,ANFO,0.8,229.0,5.6,5.23,11.14,11.51,366.96,379.296,22.662,3.36,As charged
18,4,18-H-004,1,charge,363603.556,6591907.037,199.983,183.62,16.363,ANFO,0.8,229.0,4.09,4.4,12.27,11.96,404.289,394.042,24.081,-2.53,As charged
18,5,18-H-005,1,charge,363610.922,6591907.509,199.953,184.344,15.609,ANFO,0.8,229.0,4.54,4.15,11.07,11.46,364.741,377.528,24.187,3.51,As charged
18,6,18-H-006,1,charge,363575.664,6591897.366,200.01,183.628,16.382,ANFO,0.8,229.0,5.02,4.3,11.36,12.08,374.265,398.123,24.302,6.37,Minor variance
18,7,18-H-007,1,charge,363583.771,6591897.557,199.938,183.749,16.189,ANFO,0.8,229.0,4.99,4.92,11.2,11.27,368.983,371.4,22.941,0.66,As charged
18,8,18-H-008,1,charge,363591.631,6591898.824,200.107,184.283,15.824,ANFO,0.8,229.0,4.64,5.33,11.19,10.49,368.562,345.732,21.849,-6.19,Minor variance
18,9,18-H-009,1,charge,363599.663,6591899.123,199.977,183.832,16.145,ANFO,0.8,229.0,4.4,4.04,11.74,12.1,386.912,398.761,24.699,3.06,As charged
18,10,18-H-010,1,charge,363607.789,6591900.0,200.08,183.616,16.464,ANFO,0.8,229.0,4.63,5.02,11.83,11.44,389.825,377.038,22.901,-3.28,As charged
18,11,18-H-011,1,charge,363615.618,6591900.546,200.024,183.946,16.078,ANFO,0.8,229.0,4.73,4.64,11.35,11.43,373.863,376.767,23.434,0.78,As charged
18,12,18-H-012,1,charge,363623.616,6591901.667,200.071,184.082,15.989,ANFO,0.8,229.0,4.66,4.05,11.32,11.94,373.148,393.376,24.603,5.42,As charged
18,13,18-H-013,1,charge,363631.499,6591901.719,200.127,183.738,16.389,ANFO,0.8,229.0,5.07,5.32,11.32,11.07,372.966,364.78,22.258,-2.19,As charged
18,14,18-H-014,1,charge,363639.621,6591902.658,200.048,184.099,15.949,ANFO,0.8,229.0,4.88,4.95,11.07,11.0,364.606,362.312,22.717,-0.63,As charged
18,15,18-H-015,1,charge,363647.536,6591903.176,199.958,183.48,16.478,ANFO,0.8,229.0,4.91,4.92,11.57,11.55,381.197,380.67,23.102,-0.14,As charged
18,16,18-H-016,1,charge,363655.795,6591903.838,200.144,184.249,15.895,ANFO,0.8,229.0,5.2,5.61,10.7,10.29,352.521,338.975,21.326,-3.84,As charged
18,17,18-H-017,1,charge,363571.689,6591889.614,200.073,183.672,16.401,ANFO,0.8,229.0,4.57,5.62,11.83,10.78,389.915,355.283,21.662,-8.88,Minor variance
18,18,18-H-018,1,charge,363580.515,6591890.823,200.053,182.519,17.534,ANFO,0.8,229.0,5.22,5.26,12.31,12.27,405.697,404.332,23.06,-0.34,As charged
18,19,18-H-019,1,charge,363588.506,6591891.041,200.14,183.558,16.582,ANFO,0.8,229.0,5.3,4.68,11.29,11.9,371.879,392.117,23.647,5.44,As charged
18,20,18-H-020,1,charge,363595.907,6591892.15,200.019,184.18,15.839,ANFO,0.8,229.0,4.54,4.78,11.3,11.06,372.429,364.536,23.015,-2.12,As charged
18,21,18-H-021,1,charge,363604.08,6591892.731,200.007,183.808,16.199,ANFO,0.8,229.0,4.67,4.2,11.53,12.0,379.963,395.301,24.403,4.04,As charged
18,22,18-H-022,1,charge,363612.013,6591893.007,200.01,182.457,17.553,ANFO,0.8,229.0,5.6,5.58,11.95,11.98,393.847,394.66,22.484,0.21,As charged
18,23,18-H-023,1,charge,363620.241,6591894.084,200.098,184.143,15.955,ANFO,0.8,229.0,4.77,4.85,11.18,11.11,368.396,366.052,22.943,-0.64,As charged
18,24,18-H-024,1,charge,363627.996,6591894.733,200.039,183.763,16.276,ANFO,0.8,229.0,4.85,4.67,11.43,11.6,376.552,382.311,23.489,1.53,As charged
18,25,18-H-025,1,charge,363635.988,6591895.11,199.909,184.129,15.78,ANFO,0.8,229.0,4.57,5.19,11.21,10.59,369.351,349.029,22.118,-5.5,As charged
18,26,18-H-026,1,charge,363644.067,6591895.721,199.937,183.516,16.421,ANFO,0.8,229.0,4.96,4.77,11.46,11.65,377.527,383.891,23.378,1.69,As charged
18,27,18-H-027,1,charge,363651.666,6591896.828,199.941,183.323,16.618,ANFO,0.8,229.0,5.09,5.17,11.52,11.44,379.702,377.098,22.692,-0.69,As charged
18,28,18-H-028,1,charge,363659.53,6591897.034,199.976,181.323,18.653,ANFO,0.8,229.0,5.6,5.06,13.05,13.59,430.092,447.866,24.01,4.13,As charged
18,29,18-H-029,1,charge,363667.754,6591897.539,199.999,183.583,16.416,ANFO,0.8,229.0,5.09,5.34,11.33,11.07,373.265,364.829,22.224,-2.26,As charged
18,30,18-H-030,1,charge,363675.754,6591898.566,200.033,183.578,16.455,ANFO,0.8,229.0,4.71,4.18,11.74,12.28,386.943,404.595,24.588,4.56,As charged
18,31,18-H-031,1,charge,363683.918,6591899.128,199.941,182.969,16.972,ANFO,0.8,229.0,5.22,4.55,11.75,12.42,387.082,409.221,24.112,5.72,As charged
18,32,18-H-032,1,charge,363691.835,6591899.437,200.048,183.83,16.218,ANFO,0.8,229.0,4.94,4.67,11.28,11.55,371.733,380.454,23.459,2.35,As charged
18,33,18-H-033,1,charge,363576.866,6591883.63,199.974,183.948,16.026,ANFO,0.8,229.0,4.95,5.36,11.08,10.67,364.955,351.427,21.929,-3.71,As charged
18,34,18-H-034,1,charge,363585.042,6591883.794,200.031,183.74,16.291,ANFO,0.8,229.0,5.17,3.64,11.12,12.65,366.533,416.752,25.582,13.7,Over design - review
18,35,18-H-035,1,charge,363592.786,6591885.126,200.004,183.988,16.016,ANFO,0.8,229.0,4.74,3.09,11.28,12.92,371.626,425.818,26.587,14.58,Over design - review
18,36,18-H-036,1,charge,363600.76,6591884.96,199.963,183.787,16.176,ANFO,0.8,229.0,5.12,4.66,11.05,11.52,364.143,379.593,23.466,4.24,As charged
18,37,18-H-037,1,charge,363608.747,6591886.229,200.025,182.709,17.316,ANFO,0.8,229.0,4.76,4.74,12.56,12.58,413.71,414.498,23.937,0.19,As charged
18,38,18-H-038,1,charge,363616.674,6591887.014,200.018,184.696,15.322,ANFO,0.8,229.0,4.5,3.91,10.82,11.42,356.419,376.132,24.548,5.53,As charged
18,39,18-H-039,1,charge,363625.104,6591887.721,199.988,184.217,15.771,ANFO,0.8,229.0,5.01,4.68,10.76,11.09,354.673,365.465,23.173,3.04,As charged
18,40,18-H-040,1,charge,363632.825,6591887.823,199.987,183.26,16.727,ANFO,0.8,229.0,5.38,5.58,11.35,11.15,373.859,367.356,21.962,-1.74,As charged
18,42,18-H-042,1,charge,363648.602,6591889.579,199.879,183.836,16.043,ANFO,0.8,229.0,4.74,5.38,11.3,10.67,372.316,351.446,21.907,-5.61,As charged
18,43,18-H-043,1,charge,363656.708,6591889.753,200.129,185.215,14.914,ANFO,0.8,229.0,4.48,3.62,10.44,11.3,343.895,372.246,24.959,8.24,Minor variance
18,44,18-H-044,1,charge,363664.801,6591890.628,200.068,184.485,15.583,ANFO,0.8,229.0,4.8,4.82,10.79,10.76,355.417,354.587,22.755,-0.23,As charged
18,45,18-H-045,1,charge,363672.181,6591890.914,199.991,183.495,16.496,ANFO,0.8,229.0,5.07,3.9,11.42,12.6,376.362,415.142,25.166,10.3,Over design - review
