hole_id,pattern_id,role,row,column,x,y,z,toe_x,toe_y,toe_z,length_m,burden_m,spacing_m,hole_diameter_mm,explosive_product_key,explosive_product_name,charge_length_m,stemming_length_m,boundary_clearance_m,matched_block_count,nearest_block_distance_m,cluster_basis,cluster_id,cluster_score,lithology,mineral_domain,structure_domain,digability,density_tpm3,hardness_index,grade_index,energy_requirement_index,pf_target_kg_m3,target_p80_mm,effective_volume_m3,required_explosive_mass_kg,required_charge_length_m,explosive_mass_kg,powder_factor_kg_m3,energy_intensity_mj_m3,predicted_p50_mm,predicted_p80_mm,predicted_p95_mm,coarse_risk,timing_system,timing_template,sequence,surface_delay_ms,in_hole_delay_ms,firing_time_ms,timing_window,movement_vector_x,movement_vector_y
21-H-001,A185-001-21,primary,1,1,363483.906,6591676.1,200.0,363483.906,6591676.1,182.351,17.65,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,1.22,5,4.67,hardness,3,0.4805,phyllic_volcanics,stockwork_ore,main_fault,soft,2.53,0.4805,0.6861,0.4384,0.71,169.0,988.35,701.7,21.3,395.4,0.4,1.48,147.8,238.4,369.5,bad,non_electric,face_row,1,0,450,450,56,1.0,0.0
21-H-003,A185-001-21,primary,1,3,363468.701,6591680.808,200.0,363468.701,6591680.808,183.637,16.36,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.46,6,3.81,hardness,2,0.4315,phyllic_volcanics,stockwork_ore,main_fault,soft,2.502,0.4315,0.5762,0.3766,0.573,180.8,916.32,525.0,15.94,395.4,0.432,1.59,144.4,232.9,361.0,bad,non_electric,face_row,3,16,450,466,58,1.0,0.0
21-H-004,A185-001-21,primary,1,4,363460.65,6591683.673,200.0,363460.65,6591683.673,183.422,16.58,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.57,4,4.45,hardness,1,0.4117,late_mafic_dyke,fault_damage_zone,main_fault,soft,2.485,0.4117,0.3358,0.3668,0.525,186.3,928.39,487.4,14.79,395.4,0.426,1.57,143.7,231.7,359.2,bad,non_electric,face_row,4,24,450,474,59,1.0,0.0
21-H-005,A185-001-21,primary,1,5,363453.704,6591686.525,200.0,363453.704,6591686.525,182.813,17.19,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.62,4,5.17,hardness,2,0.4409,late_mafic_dyke,late_barren_intrusion,main_fault,soft,2.465,0.4409,0.092,0.4065,0.605,181.3,962.45,582.3,17.67,395.4,0.411,1.52,149.3,240.8,373.2,bad,non_electric,face_row,5,32,450,482,60,1.0,0.0
21-H-006,A185-001-21,primary,1,6,363446.123,6591688.895,200.0,363446.123,6591688.895,183.043,16.96,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,2.56,5,2.64,hardness,2,0.4378,late_mafic_dyke,late_barren_intrusion,main_fault,soft,2.468,0.4378,0.1685,0.3986,0.59,183.0,949.61,560.3,17.0,395.4,0.416,1.54,149.3,240.8,373.2,bad,non_electric,face_row,6,40,450,490,61,1.0,0.0
21-H-007,A185-001-21,primary,1,7,363438.904,6591691.996,200.0,363438.904,6591691.996,183.086,16.91,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,1.4,5,3.57,hardness,2,0.4434,fault_breccia_gouge,fault_damage_zone,main_fault,soft,2.48,0.4434,0.2855,0.3913,0.582,186.0,947.17,551.3,16.73,395.4,0.417,1.54,151.4,244.1,378.4,bad,non_electric,face_row,7,48,450,498,62,1.0,0.0
21-H-008,A185-001-21,primary,1,8,363430.784,6591694.558,200.0,363430.784,6591694.558,184.651,15.35,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,1.26,4,4.91,hardness,2,0.4359,fault_breccia_gouge,fault_damage_zone,main_fault,soft,2.492,0.4359,0.6472,0.3842,0.578,185.0,859.53,496.8,15.08,395.4,0.46,1.7,149.2,240.7,373.1,bad,non_electric,face_row,9,61,450,511,63,1.0,0.0
21-H-009,A185-001-21,primary,1,9,363422.769,6591697.61,200.0,363422.769,6591697.61,183.451,16.55,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,1.27,4,4.81,hardness,2,0.4265,fault_breccia_gouge,fault_damage_zone,main_fault,soft,2.498,0.4265,0.7229,0.3832,0.585,182.5,926.76,542.2,16.46,395.4,0.427,1.58,146.9,236.9,367.2,bad,non_electric,face_row,11,75,450,525,65,1.0,0.0
21-H-010,A185-001-21,primary,1,10,363415.071,6591699.464,200.0,363415.071,6591699.464,183.739,16.26,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,1.03,5,2.13,hardness,3,0.4639,phyllic_volcanics,high_grade_core,main_fault,soft,2.52,0.4639,0.762,0.4073,0.65,180.0,910.6,591.9,17.97,395.4,0.434,1.6,152.3,245.6,380.7,bad,non_electric,face_row,13,88,450,538,67,1.0,0.0
21-H-011,A185-001-21,primary,1,11,363408.044,6591702.276,200.0,363408.044,6591702.276,183.183,16.82,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,0.14,5,3.38,hardness,3,0.4734,phyllic_volcanics,high_grade_core,main_fault,soft,2.534,0.4734,0.7692,0.412,0.66,177.0,941.74,621.5,18.86,395.4,0.42,1.55,150.8,243.2,377.0,bad,non_electric,face_row,15,102,450,552,69,1.0,0.0
21-H-012,A185-001-21,primary,2,1,363481.853,6591684.185,200.0,363481.853,6591684.185,182.751,17.25,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,6.57,4,3.56,hardness,2,0.4373,phyllic_volcanics,stockwork_ore,main_fault,soft,2.492,0.4373,0.657,0.3765,0.58,183.8,965.92,560.2,17.0,395.4,0.409,1.51,147.9,238.5,369.7,bad,non_electric,face_row,8,119,450,569,71,1.0,0.0
21-H-013,A185-001-21,primary,2,2,363474.954,6591686.888,200.0,363474.954,6591686.888,185.289,14.71,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,9.83,6,4.92,hardness,2,0.4232,phyllic_volcanics,stockwork_ore,main_fault,soft,2.497,0.4232,0.6058,0.3644,0.552,185.0,823.8,454.7,13.8,395.4,0.48,1.77,145.5,234.6,363.7,bad,non_electric,face_row,10,133,450,583,72,1.0,0.0
21-H-014,A185-001-21,primary,2,3,363467.568,6591689.284,200.0,363467.568,6591689.284,183.769,16.23,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,10.5,4,3.26,hardness,1,0.4086,phyllic_volcanics,stockwork_ore,main_fault,soft,2.495,0.4086,0.5589,0.3605,0.528,186.3,908.96,479.9,14.56,395.4,0.435,1.61,143.4,231.2,358.4,bad,non_electric,face_row,12,146,450,596,74,1.0,0.0
21-H-015,A185-001-21,primary,2,4,363459.718,6591691.503,200.0,363459.718,6591691.503,184.953,15.05,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,10.68,6,4.76,hardness,2,0.42,late_mafic_dyke,fault_damage_zone,main_fault,soft,2.497,0.42,0.3696,0.3739,0.558,186.7,842.63,470.2,14.27,395.4,0.469,1.73,147.9,238.6,369.8,bad,non_electric,face_row,14,160,450,610,76,1.0,0.0
21-H-016,A185-001-21,primary,2,5,363452.514,6591694.442,200.0,363452.514,6591694.442,184.823,15.18,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,10.07,4,4.06,hardness,2,0.4438,late_mafic_dyke,late_barren_intrusion,main_fault,soft,2.473,0.4438,0.0998,0.4022,0.603,185.0,849.94,512.5,15.56,395.4,0.465,1.72,152.6,246.1,381.4,bad,non_electric,face_row,16,173,450,623,77,1.0,0.0
21-H-017,A185-001-21,primary,2,6,363444.231,6591697.137,200.0,363444.231,6591697.137,183.646,16.35,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,8.91,6,4.48,hardness,2,0.4444,late_mafic_dyke,fault_damage_zone,main_fault,soft,2.48,0.4444,0.2536,0.3982,0.6,185.8,915.83,549.5,16.68,395.4,0.432,1.59,153.0,246.7,382.4,bad,non_electric,face_row,17,181,450,631,78,1.0,0.0
21-H-018,A185-001-21,primary,2,7,363436.703,6591699.459,200.0,363436.703,6591699.459,184.486,15.51,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,8.25,4,2.77,hardness,2,0.4537,fault_breccia_gouge,late_barren_intrusion,main_fault,soft,2.478,0.4537,0.2964,0.4012,0.6,185.0,868.78,521.3,15.82,395.4,0.455,1.68,152.9,246.6,382.2,bad,non_electric,face_row,19,194,450,644,80,1.0,0.0
21-H-019,A185-001-21,primary,2,8,363429.67,6591702.038,200.0,363429.67,6591702.038,183.422,16.58,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,8.27,5,4.57,hardness,3,0.4655,mineralised_porphyry,high_grade_core,main_fault,soft,2.524,0.4655,0.7431,0.4142,0.648,179.0,928.39,601.6,18.26,395.4,0.426,1.57,151.7,244.7,379.3,bad,non_electric,face_row,21,208,450,658,82,1.0,0.0
21-H-020,A185-001-21,primary,2,9,363421.954,6591705.004,200.0,363421.954,6591705.004,182.585,17.42,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,8.28,4,4.55,hardness,3,0.4862,mineralised_porphyry,high_grade_core,main_fault,soft,2.547,0.4862,0.8137,0.4313,0.693,175.0,975.24,675.8,20.52,395.4,0.405,1.5,152.6,246.2,381.6,bad,non_electric,face_row,23,221,450,671,83,1.0,0.0
21-H-021,A185-001-21,primary,2,10,363414.877,6591707.821,200.0,363414.877,6591707.821,183.992,16.01,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,7.72,5,4.06,hardness,4,0.4966,phyllic_volcanics,high_grade_core,main_fault,soft,2.55,0.4966,0.8034,0.4345,0.7,173.0,896.47,627.5,19.04,395.4,0.441,1.63,151.8,244.9,379.6,bad,non_electric,face_row,25,235,450,685,85,1.0,0.0
21-H-022,A185-001-21,primary,2,11,363406.668,6591710.043,200.0,363406.668,6591710.043,184.741,15.26,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,6.14,6,2.3,hardness,4,0.5013,phyllic_volcanics,high_grade_core,main_fault,soft,2.555,0.5013,0.7918,0.4437,0.723,169.2,854.5,617.8,18.75,395.4,0.463,1.71,150.1,242.1,375.2,bad,non_electric,face_row,27,248,450,698,87,1.0,0.0
