pattern_number,hole_number,hole_id,actual_x,actual_y,actual_collar_rl,actual_toe_rl,actual_hole_length_m,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,actual_stemming_m,design_explosive_column_m,actual_explosive_column_m,design_explosive_kg,actual_explosive_kg,charge_factor_kg_per_m,charge_variance_pct,charge_status
11,1,11-H-001,363743.238,6591788.616,199.999,183.9,16.099,ANFO,0.8,229.0,4.66,4.6,11.44,11.5,376.835,378.947,23.539,0.56,As charged
11,2,11-H-002,363744.955,6591781.182,199.949,183.576,16.373,ANFO,0.8,229.0,4.81,4.08,11.57,12.29,381.141,405.04,24.738,6.27,Minor variance
11,3,11-H-003,363747.455,6591773.365,199.953,185.4,14.553,ANFO,0.8,229.0,4.24,4.44,10.31,10.11,339.826,333.172,22.894,-1.96,As charged
11,4,11-H-004,363749.042,6591765.449,199.999,185.3,14.699,ANFO,0.8,229.0,4.18,4.19,10.52,10.51,346.539,346.387,23.565,-0.04,As charged
11,5,11-H-005,363751.2,6591757.712,200.052,184.102,15.95,ANFO,0.8,229.0,4.85,5.15,11.1,10.8,365.773,355.733,22.303,-2.74,As charged
11,6,11-H-006,363752.787,6591750.231,200.057,184.438,15.619,ANFO,0.8,229.0,4.69,4.51,10.93,11.11,360.234,365.951,23.43,1.59,As charged
11,8,11-H-008,363757.161,6591734.463,199.968,184.021,15.947,ANFO,0.8,229.0,4.68,5.61,11.27,10.34,371.374,340.603,21.358,-8.29,Minor variance
11,9,11-H-009,363759.144,6591726.972,200.026,184.754,15.272,ANFO,0.8,229.0,4.44,4.93,10.83,10.34,356.795,340.694,22.308,-4.51,As charged
11,10,11-H-010,363737.01,6591782.935,199.99,184.016,15.974,ANFO,0.8,229.0,4.97,5.06,11.0,10.91,362.46,359.474,22.504,-0.82,As charged
11,11,11-H-011,363738.171,6591775.696,199.932,183.722,16.21,ANFO,0.8,229.0,4.96,3.48,11.25,12.73,370.826,419.387,25.872,13.1,Over design - review
11,12,11-H-012,363741.353,6591767.766,199.952,183.158,16.794,ANFO,0.8,229.0,5.25,4.65,11.54,12.14,380.23,400.149,23.827,5.24,As charged
11,13,11-H-013,363742.761,6591759.666,200.032,184.011,16.021,ANFO,0.8,229.0,4.84,4.74,11.18,11.28,368.257,371.63,23.196,0.92,As charged
11,14,11-H-014,363745.531,6591752.035,200.136,183.755,16.381,ANFO,0.8,229.0,4.71,4.77,11.67,11.61,384.57,382.625,23.358,-0.51,As charged
11,15,11-H-015,363746.974,6591744.834,200.03,184.091,15.939,ANFO,0.8,229.0,4.93,6.16,11.0,9.78,362.589,322.365,20.225,-11.09,Minor variance
11,16,11-H-016,363750.561,6591737.293,200.03,183.839,16.191,ANFO,0.8,229.0,5.03,5.72,11.16,10.47,367.83,344.876,21.3,-6.24,Minor variance
11,17,11-H-017,363751.387,6591729.742,200.046,183.641,16.405,ANFO,0.8,229.0,4.8,4.86,11.6,11.55,382.358,380.417,23.189,-0.51,As charged
11,18,11-H-018,363753.703,6591721.249,200.042,184.327,15.715,ANFO,0.8,229.0,4.89,5.07,10.82,10.65,356.601,350.876,22.327,-1.61,As charged
11,19,11-H-019,363729.54,6591785.556,200.015,183.508,16.507,ANFO,0.8,229.0,4.96,4.08,11.54,12.43,380.398,409.45,24.805,7.64,Minor variance
11,20,11-H-020,363731.167,6591777.535,200.015,183.714,16.301,ANFO,0.8,229.0,4.7,4.3,11.6,12.0,382.34,395.403,24.256,3.42,As charged
11,21,11-H-021,363733.308,6591769.499,200.011,183.976,16.035,ANFO,0.8,229.0,4.67,4.22,11.37,11.82,374.535,389.357,24.282,3.96,As charged
11,22,11-H-022,363735.081,6591761.98,199.986,184.76,15.226,ANFO,0.8,229.0,4.67,4.94,10.55,10.28,347.708,338.843,22.254,-2.55,As charged
11,23,11-H-023,363737.124,6591754.063,200.008,183.879,16.129,ANFO,0.8,229.0,5.33,4.09,10.8,12.03,355.896,396.544,24.586,11.42,Over design - review
11,24,11-H-024,363739.63,6591746.353,199.898,183.385,16.513,ANFO,0.8,229.0,5.14,5.34,11.37,11.17,374.598,368.183,22.297,-1.71,As charged
11,25,11-H-025,363741.667,6591738.356,200.008,184.794,15.214,ANFO,0.8,229.0,4.46,4.76,10.75,10.45,354.21,344.388,22.636,-2.77,As charged
11,26,11-H-026,363744.017,6591730.986,199.916,183.947,15.969,ANFO,0.8,229.0,4.81,4.38,11.16,11.59,367.64,381.872,23.913,3.87,As charged
11,27,11-H-027,363744.384,6591722.809,200.071,183.992,16.079,ANFO,0.8,229.0,4.73,4.7,11.35,11.37,373.929,374.792,23.309,0.23,As charged
11,28,11-H-028,363723.431,6591779.421,199.969,183.924,16.045,ANFO,0.8,229.0,4.76,4.87,11.29,11.17,371.946,368.109,22.942,-1.03,As charged
11,29,11-H-029,363726.105,6591771.419,200.001,184.198,15.803,ANFO,0.8,229.0,4.85,4.63,10.95,11.18,360.78,368.243,23.302,2.07,As charged
11,30,11-H-030,363727.822,6591764.161,200.018,182.701,17.317,ANFO,0.8,229.0,5.25,5.99,12.07,11.33,397.556,373.314,21.558,-6.1,Minor variance
11,31,11-H-031,363729.862,6591756.19,200.023,183.663,16.36,ANFO,0.8,229.0,5.11,4.17,11.25,12.19,370.787,401.544,24.544,8.3,Minor variance
11,32,11-H-032,363732.233,6591749.022,200.044,183.83,16.214,ANFO,0.8,229.0,5.21,5.38,11.0,10.84,362.497,357.026,22.02,-1.51,As charged
11,33,11-H-033,363733.719,6591740.623,199.977,184.795,15.182,ANFO,0.8,229.0,4.36,3.63,10.82,11.55,356.566,380.66,25.073,6.76,Minor variance
11,34,11-H-034,363735.714,6591733.022,200.035,184.457,15.578,ANFO,0.8,229.0,4.65,4.46,10.93,11.12,360.065,366.47,23.525,1.78,As charged
11,35,11-H-035,363737.802,6591725.289,199.991,183.191,16.8,ANFO,0.8,229.0,4.93,4.71,11.87,12.09,391.025,398.488,23.72,1.91,As charged
11,36,11-H-036,363739.817,6591717.439,199.987,184.134,15.853,ANFO,0.8,229.0,4.84,5.41,11.02,10.44,362.946,344.096,21.705,-5.19,As charged
11,38,11-H-038,363717.91,6591774.13,200.034,184.108,15.926,ANFO,0.8,229.0,4.95,4.98,10.98,10.95,361.812,360.738,22.651,-0.3,As charged
11,39,11-H-039,363720.067,6591766.31,200.094,184.143,15.951,ANFO,0.8,229.0,4.64,3.73,11.31,12.22,372.58,402.641,25.242,8.07,Minor variance
11,40,11-H-040,363721.898,6591758.783,199.977,184.027,15.95,ANFO,0.8,229.0,4.67,4.87,11.28,11.08,371.771,364.982,22.883,-1.83,As charged
11,41,11-H-041,363724.5,6591751.039,199.966,183.837,16.129,ANFO,0.8,229.0,4.98,4.73,11.15,11.4,367.28,375.626,23.289,2.27,As charged
11,42,11-H-042,363726.247,6591743.081,200.015,183.723,16.292,ANFO,0.8,229.0,4.63,4.57,11.66,11.72,384.288,386.248,23.708,0.51,As charged
11,43,11-H-043,363727.973,6591734.852,199.944,184.387,15.557,ANFO,0.8,229.0,4.94,5.3,10.62,10.25,349.851,337.832,21.716,-3.44,As charged
11,44,11-H-044,363730.299,6591727.547,199.979,184.3,15.679,ANFO,0.8,229.0,4.64,4.87,11.04,10.81,363.734,356.164,22.716,-2.08,As charged
11,45,11-H-045,363732.142,6591719.661,200.033,183.591,16.442,ANFO,0.8,229.0,4.78,5.15,11.66,11.29,384.197,372.038,22.627,-3.16,As charged
11,46,11-H-046,363710.186,6591776.235,200.016,183.838,16.178,ANFO,0.8,229.0,4.59,4.15,11.58,12.03,381.664,396.225,24.492,3.82,As charged
11,47,11-H-047,363711.999,6591768.469,200.041,184.033,16.008,ANFO,0.8,229.0,4.83,5.42,11.18,10.59,368.358,348.933,21.797,-5.27,As charged
11,48,11-H-048,363714.087,6591760.822,200.038,183.517,16.521,ANFO,0.8,229.0,5.05,5.36,11.47,11.16,377.914,367.782,22.261,-2.68,As charged
11,49,11-H-049,363716.171,6591752.987,199.941,184.338,15.603,ANFO,0.8,229.0,4.19,3.49,11.41,12.11,375.898,399.158,25.582,6.19,Minor variance
11,50,11-H-050,363718.462,6591744.742,199.922,183.642,16.28,ANFO,0.8,229.0,4.37,3.81,11.91,12.47,392.339,410.773,25.232,4.7,As charged
11,51,11-H-051,363720.477,6591737.336,199.996,183.542,16.454,ANFO,0.8,229.0,4.93,4.65,11.53,11.8,379.856,388.938,23.638,2.39,As charged
11,52,11-H-052,363722.083,6591729.364,200.048,183.903,16.145,ANFO,0.8,229.0,4.33,7.12,11.82,9.02,389.428,297.339,18.417,-23.65,Undercharged - review
11,53,11-H-053,363724.109,6591721.687,199.994,184.502,15.492,ANFO,0.8,229.0,5.01,4.6,10.48,10.89,345.387,358.737,23.156,3.87,As charged
11,55,11-H-055,363702.633,6591777.846,200.077,183.826,16.251,ANFO,0.8,229.0,5.0,5.01,11.25,11.24,370.71,370.373,22.791,-0.09,As charged
11,56,11-H-056,363704.356,6591770.368,200.009,184.355,15.654,ANFO,0.8,229.0,4.72,3.51,10.94,12.15,360.333,400.204,25.566,11.06,Over design - review
11,57,11-H-057,363706.483,6591763.04,200.084,183.486,16.598,ANFO,0.8,229.0,5.18,4.64,11.41,11.96,376.06,394.172,23.748,4.82,As charged
11,58,11-H-058,363708.307,6591755.095,200.069,182.856,17.213,ANFO,0.8,229.0,5.51,5.74,11.7,11.47,385.486,377.999,21.96,-1.94,As charged
11,59,11-H-059,363710.495,6591747.374,199.916,183.501,16.415,ANFO,0.8,229.0,5.21,5.29,11.2,11.12,369.167,366.516,22.328,-0.72,As charged
11,60,11-H-060,363712.407,6591739.48,199.939,183.65,16.289,ANFO,0.8,229.0,4.56,5.35,11.73,10.94,386.591,360.424,22.127,-6.77,Minor variance
11,61,11-H-061,363714.553,6591731.598,200.008,184.364,15.644,ANFO,0.8,229.0,4.9,6.02,10.75,9.62,354.048,317.108,20.27,-10.43,Minor variance
11,62,11-H-062,363716.666,6591723.626,200.011,184.117,15.894,ANFO,0.8,229.0,4.84,5.7,11.06,10.19,364.311,335.787,21.127,-7.83,Minor variance
11,63,11-H-063,363718.562,6591715.909,200.021,183.028,16.993,ANFO,0.8,229.0,5.52,5.52,11.47,11.48,378.065,378.103,22.25,0.01,As charged
11,64,11-H-064,363698.252,6591764.214,199.927,184.287,15.64,ANFO,0.8,229.0,4.65,5.02,10.99,10.62,362.258,349.761,22.363,-3.45,As charged
11,65,11-H-065,363700.795,6591757.067,199.976,184.013,15.963,ANFO,0.8,229.0,4.83,5.0,11.14,10.97,366.894,361.385,22.639,-1.5,As charged
11,66,11-H-066,363702.755,6591749.22,200.049,184.528,15.521,ANFO,0.8,229.0,4.94,5.64,10.58,9.88,348.629,325.596,20.978,-6.61,Minor variance
