pattern_number,hole_number,hole_id,deck,deck_type,actual_x,actual_y,actual_collar_rl,actual_toe_rl,actual_hole_length_m,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,actual_stemming_m,design_explosive_column_m,actual_explosive_column_m,design_explosive_kg,actual_explosive_kg,charge_factor_kg_per_m,charge_variance_pct,charge_status
8,1,8-H-001,1,charge,363564.181,6591825.544,199.975,184.545,15.43,ANFO,0.8,229.0,4.52,5.27,10.91,10.16,359.642,334.829,21.7,-6.9,Minor variance
8,2,8-H-002,1,charge,363563.884,6591817.708,200.02,183.645,16.375,ANFO,0.8,229.0,5.45,5.83,10.93,10.55,360.03,347.616,21.228,-3.45,As charged
8,3,8-H-003,1,charge,363562.626,6591809.457,200.033,183.235,16.798,ANFO,0.8,229.0,4.88,4.49,11.92,12.31,392.837,405.672,24.15,3.27,As charged
8,4,8-H-004,1,charge,363561.078,6591801.611,200.031,183.429,16.602,ANFO,0.8,229.0,5.29,5.73,11.32,10.87,372.877,358.071,21.568,-3.97,As charged
8,5,8-H-005,1,charge,363560.681,6591793.385,199.972,183.293,16.679,ANFO,0.8,229.0,5.07,5.93,11.61,10.75,382.395,354.076,21.229,-7.41,Minor variance
8,6,8-H-006,1,charge,363559.384,6591785.785,200.033,183.63,16.403,ANFO,0.8,229.0,5.0,5.47,11.41,10.94,375.869,360.37,21.97,-4.12,As charged
8,7,8-H-007,1,charge,363558.502,6591778.401,200.056,184.375,15.681,ANFO,0.8,229.0,5.2,5.33,10.48,10.35,345.476,340.951,21.743,-1.31,As charged
8,8,8-H-008,1,charge,363556.927,6591822.46,200.034,184.134,15.9,ANFO,0.8,229.0,4.77,4.76,11.13,11.14,366.864,367.203,23.095,0.09,As charged
8,9,8-H-009,1,charge,363555.838,6591814.405,200.011,183.995,16.016,ANFO,0.8,229.0,4.97,5.1,11.04,10.92,363.824,359.652,22.456,-1.15,As charged
8,10,8-H-010,1,charge,363555.451,6591806.364,200.126,184.133,15.993,ANFO,0.8,229.0,4.61,5.21,11.38,10.78,375.08,355.183,22.209,-5.3,As charged
8,11,8-H-011,1,charge,363554.098,6591798.232,200.053,184.246,15.807,ANFO,0.8,229.0,5.06,5.6,10.75,10.21,354.091,336.454,21.285,-4.98,As charged
8,12,8-H-012,1,charge,363552.92,6591790.553,200.003,183.751,16.252,ANFO,0.8,229.0,4.91,4.91,11.35,11.34,373.841,373.791,23.0,-0.01,As charged
8,13,8-H-013,1,charge,363551.999,6591783.045,200.084,184.135,15.949,ANFO,0.8,229.0,4.41,4.96,11.54,10.99,380.271,361.959,22.695,-4.82,As charged
8,14,8-H-014,1,charge,363550.525,6591827.351,200.067,185.403,14.664,ANFO,0.8,229.0,4.03,4.34,10.63,10.32,350.231,340.016,23.187,-2.92,As charged
8,15,8-H-015,1,charge,363549.453,6591819.957,200.011,183.599,16.412,ANFO,0.8,229.0,5.19,5.35,11.22,11.06,369.792,364.413,22.204,-1.45,As charged
8,16,8-H-016,1,charge,363548.504,6591811.172,199.963,183.432,16.531,ANFO,0.8,229.0,5.0,5.36,11.53,11.17,379.882,368.14,22.27,-3.09,As charged
8,17,8-H-017,1,charge,363547.614,6591803.332,199.919,184.262,15.657,ANFO,0.8,229.0,5.0,5.27,10.66,10.39,351.113,342.284,21.861,-2.51,As charged
8,18,8-H-018,1,charge,363546.282,6591795.212,199.997,183.894,16.103,ANFO,0.8,229.0,3.95,4.84,12.15,11.26,400.428,371.118,23.047,-7.32,Minor variance
8,19,8-H-019,1,charge,363545.322,6591787.473,200.062,183.172,16.89,ANFO,0.8,229.0,5.04,5.58,11.85,11.31,390.613,372.729,22.068,-4.58,As charged
8,20,8-H-020,1,charge,363544.6,6591779.467,199.937,183.827,16.11,ANFO,0.8,229.0,4.56,3.79,11.55,12.32,380.553,405.813,25.19,6.64,Minor variance
8,21,8-H-021,1,charge,363543.706,6591824.051,199.996,184.168,15.828,ANFO,0.8,229.0,4.87,5.0,10.96,10.83,361.189,356.768,22.54,-1.22,As charged
