pattern_number,hole_number,hole_id,design_x,design_y,design_collar_rl,design_toe_rl,design_bench_height,design_hole_length,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,design_explosive_column_m,design_explosive_kg
15,1,15-H-001,363695.872,6591869.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.62,11.15,367.304
15,2,15-H-002,363695.872,6591861.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.89,12.03,396.512
15,3,15-H-003,363695.872,6591853.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.06,10.75,354.361
15,4,15-H-004,363695.872,6591845.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.35,10.62,350.068
15,5,15-H-005,363688.872,6591865.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.57,11.21,369.369
15,6,15-H-006,363688.872,6591857.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.22,10.9,359.099
15,7,15-H-007,363688.872,6591849.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.68,11.71,385.941
15,8,15-H-008,363688.872,6591841.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.91,10.85,357.524
15,9,15-H-009,363681.872,6591869.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.38,10.93,360.244
15,10,15-H-010,363681.872,6591861.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.55,11.21,369.398
15,11,15-H-011,363681.872,6591853.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.48,11.12,366.528
15,12,15-H-012,363681.872,6591845.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.31,11.59,381.76
15,13,15-H-013,363681.872,6591837.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.9,9.87,325.074
15,14,15-H-014,363674.872,6591865.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.2,11.67,384.375
15,15,15-H-015,363674.872,6591857.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.21,10.96,361.056
15,16,15-H-016,363674.872,6591849.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.61,11.31,372.792
15,17,15-H-017,363674.872,6591841.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.81,11.18,368.514
