pattern_number,hole_number,hole_id,deck,deck_type,design_x,design_y,design_collar_rl,design_toe_rl,design_bench_height,design_hole_length,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,design_explosive_column_m,design_explosive_kg
12,1,12-H-001,1,charge,363461.114,6591845.245,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.93,11.63,383.347
12,2,12-H-002,1,charge,363461.376,6591853.241,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.61,11.46,377.496
12,3,12-H-003,1,charge,363461.638,6591861.236,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.1,11.24,370.215
12,4,12-H-004,1,charge,363461.9,6591869.232,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.86,10.74,353.715
12,5,12-H-005,1,charge,363462.162,6591877.228,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.29,11.17,367.93
12,6,12-H-006,1,charge,363462.424,6591885.223,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.73,11.04,363.912
12,7,12-H-007,1,charge,363467.979,6591841.018,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.88,12.7,418.416
12,8,12-H-008,1,charge,363468.241,6591849.013,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.58,11.24,370.278
12,9,12-H-009,1,charge,363468.503,6591857.009,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.18,10.85,357.513
12,10,12-H-010,1,charge,363468.765,6591865.005,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.07,12.95,426.604
12,11,12-H-011,1,charge,363469.027,6591873.0,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.51,12.13,399.775
12,12,12-H-012,1,charge,363469.29,6591880.996,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.47,11.05,364.093
12,13,12-H-013,1,charge,363469.552,6591888.992,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.2,11.0,362.446
12,14,12-H-014,1,charge,363475.106,6591844.786,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.04,11.29,372.033
12,15,12-H-015,1,charge,363475.368,6591852.782,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.92,11.96,393.945
12,16,12-H-016,1,charge,363475.63,6591860.778,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.17,11.52,379.424
12,17,12-H-017,1,charge,363475.893,6591868.773,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.32,11.38,374.871
12,18,12-H-018,1,charge,363476.155,6591876.769,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.81,11.25,370.841
12,19,12-H-019,1,charge,363476.417,6591884.765,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.22,10.95,360.853
12,20,12-H-020,1,charge,363481.971,6591840.559,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.95,11.72,386.09
12,21,12-H-021,1,charge,363482.233,6591848.555,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.99,11.48,378.201
12,22,12-H-022,1,charge,363482.496,6591856.55,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.44,11.69,385.261
12,23,12-H-023,1,charge,363482.758,6591864.546,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.63,11.51,379.123
12,24,12-H-024,1,charge,363483.02,6591872.542,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.97,11.5,378.912
12,25,12-H-025,1,charge,363483.282,6591880.537,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.86,11.56,380.879
12,26,12-H-026,1,charge,363483.544,6591888.533,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.63,11.55,380.498
12,27,12-H-027,1,charge,363489.099,6591844.327,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.92,10.88,358.379
12,28,12-H-028,1,charge,363489.361,6591852.323,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.2,11.0,362.446
12,29,12-H-029,1,charge,363489.623,6591860.319,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.11,12.64,416.439
12,30,12-H-030,1,charge,363489.885,6591868.314,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.54,11.95,393.733
12,31,12-H-031,1,charge,363490.147,6591876.31,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.99,10.82,356.359
12,32,12-H-032,1,charge,363490.409,6591884.306,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.93,11.45,377.125
12,33,12-H-033,1,charge,363490.672,6591892.302,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.82,10.94,360.456
12,34,12-H-034,1,charge,363495.964,6591840.1,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.1,11.55,380.677
12,35,12-H-035,1,charge,363496.226,6591848.096,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.64,11.58,381.706
12,36,12-H-036,1,charge,363496.488,6591856.092,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.08,10.95,360.773
12,37,12-H-037,1,charge,363496.75,6591864.087,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.78,10.57,348.154
12,38,12-H-038,1,charge,363497.012,6591872.083,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.5,10.17,335.218
12,39,12-H-039,1,charge,363497.275,6591880.079,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.87,11.18,368.518
12,40,12-H-040,1,charge,363497.537,6591888.074,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.77,11.71,385.907
12,41,12-H-041,1,charge,363497.799,6591896.07,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.97,10.95,360.879
12,42,12-H-042,1,charge,363503.091,6591843.869,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.43,11.72,386.236
