pattern_id,block_name,haul_cycle_rec_ident,load_rec_ident,loading_unit_ident,load_desc,hauling_unit_ident,haul_desc,DrillPattern,bucket_tonnes,actual_tonnes,digging_time,dig_duration,total_time,spotting_time,loading_time,other_time,bucket_easting,bucket_northing,bucket_elevation,turnout,report_tonnes,calc_duration,date,start_time,end_time,tph,loader_type,truck_payload_t,bucket_nominal_t,passes,base_cycle_s,calc_total_time_s,digging_time_s,swing_time_s,loading_time_s,spotting_time_s,tph_recalc,digability
A185-001-25,A1850825_200_CN_2,6217525,4217525,EX012,EX3600BH,DT005,CAT 793,A-185-08-25,44.5,190.36,91.50014,91.50014,278.129967,42.999483,82.619414,0,363597.19,6591911.91,198.69,RIGHT,190.4,493,27/10/2025,19:00:27,19:08:40,2202.699499,EX3600,225,22.0,10.0,32,278.129967,91.50014,61.01093,82.619414,42.999483,2463.97668,6902.964542
A185-001-25,A1850825_200_CN_2,6217526,4217526,EX012,EX3600BH,DT036,CAT 793,A-185-08-25,31.71,165.25,106.592576,106.592576,304.884115,39.614872,87.108876,0,363595.34,6591907.22,199.7,STRAIGHT,165.3,421,27/10/2025,19:08:40,19:15:41,1739.251677,EX3600,225,22.0,10.0,32,304.884115,106.592576,71.567791,87.108876,39.614872,1951.269689,5033.816142
A185-001-25,A1850825_200_CN_2,6217527,4217527,EX012,EX3600BH,DT045,CAT 793,A-185-08-25,38.5,160.72,92.272757,92.272757,295.192036,41.52804,98.882096,0,363598.38,6591906.54,198.82,STRAIGHT,160.7,490,27/10/2025,19:15:41,19:23:51,1760.10647,EX3600,225,22.0,10.0,32,295.192036,92.272757,62.509143,98.882096,41.52804,1960.011914,5221.455828
A185-001-25,A1850825_200_CN_2,6217528,4217528,EX012,EX3600BH,DT018,CAT 793,A-185-08-25,40.7,168.34,99.804808,99.804808,293.351236,51.763598,72.675673,0,363599.49,6591912.73,199.51,STRAIGHT,168.3,648,27/10/2025,19:23:51,19:34:39,1785.751054,EX3600,225,22.0,10.0,32,293.351236,99.804808,69.107157,72.675673,51.763598,2065.837017,5763.224517
A185-001-25,A1850825_200_CN_2,6217529,4217529,EX012,EX3600BH,DT022,CAT 793,A-185-08-25,51.97,175.18,91.368748,91.368748,288.058862,45.428703,90.949127,0,363598.64,6591907.79,199.51,STRAIGHT,175.2,486,27/10/2025,19:34:39,19:42:45,1847.076262,EX3600,225,22.0,10.0,32,288.058862,91.368748,60.312284,90.949127,45.428703,2189.337399,5976.662706
A185-001-25,A1850825_200_CN_2,6217530,4217530,EX012,EX3600BH,DT019,CAT 793,A-185-08-25,36.84,166.71,120.766679,120.766679,314.959084,44.779517,84.932172,0,363594.37,6591909.28,199.66,STRAIGHT,166.7,492,27/10/2025,19:42:45,19:50:57,1499.173762,EX3600,225,22.0,10.0,32,314.959084,120.766679,64.480716,84.932172,44.779517,1905.490719,5266.919453
A185-001-25,A1850825_200_CN_2,6217531,4217531,EX012,EX3600BH,DT020,CAT 793,A-185-08-25,51.13,180.42,108.035604,108.035604,292.285885,46.057377,81.860419,0,363599.12,6591909.51,199.41,LEFT,180.4,422,27/10/2025,19:50:57,19:57:59,1782.776996,EX3600,225,22.0,10.0,32,292.285885,108.035604,56.332485,81.860419,46.057377,2222.234911,6266.70245
A185-001-25,A1850825_200_CN_2,6217532,4217532,EX012,EX3600BH,DT043,CAT 793,A-185-08-25,44.35,183.41,95.980926,95.980926,294.471777,37.91575,97.255483,0,363595.64,6591909.01,198.43,RIGHT,183.4,494,27/10/2025,19:57:59,20:06:13,1816.87538,EX3600,225,22.0,10.0,32,294.471777,95.980926,63.319617,97.255483,37.91575,2242.190206,6120.601369
A185-001-25,A1850825_200_CN_2,6217533,4217533,EX012,EX3600BH,DT044,CAT 793,A-185-08-25,38.31,168.95,104.847588,104.847588,300.610637,32.57362,98.83619,0,363601.33,6591904.94,199.38,LEFT,168.9,427,27/10/2025,20:06:13,20:13:20,1780.652204,EX3600,225,22.0,10.0,32,300.610637,104.847588,64.353239,98.83619,32.57362,2023.279461,5539.739088
A185-001-25,A1850825_200_CN_2,6217534,4217534,EX012,EX3600BH,DT006,CAT 793,A-185-08-25,40.12,164.51,96.668285,96.668285,298.553409,53.047688,86.613486,0,363597.97,6591905.4,198.86,STRAIGHT,164.5,433,27/10/2025,20:13:20,20:20:33,1621.132539,EX3600,225,22.0,10.0,32,298.553409,96.668285,62.223949,86.613486,53.047688,1983.658172,5357.476699
A185-001-25,A1850825_200_CN_2,6217535,4217535,EX012,EX3600BH,DT005,CAT 793,A-185-08-25,36.15,156.84,111.037115,111.037115,289.591336,44.136159,83.561753,0,363595.56,6591910.13,198.58,STRAIGHT,156.8,464,27/10/2025,20:20:33,20:28:17,1680.44929,EX3600,225,22.0,10.0,32,289.591336,111.037115,50.856309,83.561753,44.136159,1949.7868,5498.398777
A185-001-25,A1850825_200_CN_2,6217536,4217536,EX012,EX3600BH,DT037,CAT 793,A-185-08-25,40.88,157.03,111.189053,111.189053,295.522189,41.066119,86.564866,0,363595.29,6591910.67,199.89,STRAIGHT,157.0,410,27/10/2025,20:28:17,20:35:07,1632.941013,EX3600,225,22.0,10.0,32,295.522189,111.189053,56.70215,86.564866,41.066119,1912.966982,5189.813725
A185-001-25,A1850825_200_CN_2,6217537,4217537,EX012,EX3600BH,DT011,CAT 793,A-185-08-25,37.13,169.24,110.392992,110.392992,316.555272,45.857106,97.109901,0,363604.52,6591908.86,198.14,LEFT,169.2,463,27/10/2025,20:35:07,20:42:50,1488.226131,EX3600,225,22.0,10.0,32,316.555272,110.392992,63.195273,97.109901,45.857106,1924.668358,4936.06707
A185-001-25,A1850825_200_CN_2,6217538,4217538,EX012,EX3600BH,DT027,CAT 793,A-185-08-25,34.19,164.65,117.825035,117.825035,318.139025,50.210551,91.654812,0,363605.56,6591910.68,198.39,STRAIGHT,164.7,528,27/10/2025,20:42:50,20:51:38,1395.210019,EX3600,225,22.0,10.0,32,318.139025,117.825035,58.448627,91.654812,50.210551,1863.181299,4935.0726
A185-001-25,A1850825_200_CN_2,6217539,4217539,EX012,EX3600BH,DT011,CAT 793,A-185-08-25,40.84,169.75,95.85668,95.85668,284.522974,36.048244,90.024851,0,363605.28,6591909.71,199.03,STRAIGHT,169.8,509,27/10/2025,20:51:38,21:00:07,1850.215991,EX3600,225,22.0,10.0,32,284.522974,95.85668,62.593199,90.024851,36.048244,2147.838776,5781.405461
