timestamp,date,shift,tph,power_kw,specific_energy_kwh_t,util,mill_fill_pct,mill_speed_pct,f80_mm,pattern_id,notes
2025-11-04T00:00:00,2025-11-04,N,2873.1,24389.9,8.489,92.6,25.6,72.9,104.5,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T01:00:00,2025-11-04,N,3099.6,24504.4,7.906,99.8,24.3,73.9,101.3,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T02:00:00,2025-11-04,N,3031.4,24230.5,7.993,87.4,24.0,73.7,96.8,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T03:00:00,2025-11-04,N,3097.6,24378.6,7.87,93.3,24.0,73.9,98.5,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T04:00:00,2025-11-04,N,3309.8,25424.0,7.681,99.2,25.4,74.2,116.6,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T05:00:00,2025-11-04,N,2946.5,24080.7,8.173,83.3,24.1,73.5,95.4,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T06:00:00,2025-11-04,D,3017.0,24468.4,8.11,94.9,24.8,73.5,102.6,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T07:00:00,2025-11-04,D,3213.8,24318.6,7.567,93.6,23.0,74.5,94.5,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T08:00:00,2025-11-04,D,3107.2,24287.3,7.816,95.6,23.6,74.0,96.3,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T09:00:00,2025-11-04,D,3177.3,24728.7,7.783,93.0,24.4,74.1,104.5,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T10:00:00,2025-11-04,D,3014.6,24616.9,8.166,89.5,25.2,73.4,106.0,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T11:00:00,2025-11-04,D,3005.5,24225.8,8.06,88.7,24.2,73.6,97.3,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T12:00:00,2025-11-04,D,3137.5,24882.7,7.931,94.7,25.1,73.8,108.9,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T13:00:00,2025-11-04,D,2661.4,23237.8,8.731,87.4,23.6,72.7,82.6,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T14:00:00,2025-11-04,D,2893.7,23974.6,8.285,88.3,24.2,73.3,94.3,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T15:00:00,2025-11-04,D,3031.9,24320.9,8.022,90.8,24.2,73.7,98.8,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T16:00:00,2025-11-04,D,2599.0,23317.9,8.972,63.8,24.3,72.4,86.1,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T17:00:00,2025-11-04,D,2924.4,24333.2,8.321,93.0,25.0,73.2,101.8,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T18:00:00,2025-11-04,N,3135.1,24766.4,7.9,89.7,24.8,73.9,106.4,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T19:00:00,2025-11-04,N,3132.7,24811.4,7.92,85.1,24.9,73.8,107.4,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T20:00:00,2025-11-04,N,2900.9,23939.7,8.253,89.8,24.0,73.3,93.3,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T21:00:00,2025-11-04,N,3144.2,24249.6,7.712,98.9,23.3,74.2,94.5,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T22:00:00,2025-11-04,N,3181.1,24906.3,7.829,94.0,24.9,74.0,108.3,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-04T23:00:00,2025-11-04,N,2693.6,24023.1,8.919,90.2,25.8,72.4,100.6,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-05T00:00:00,2025-11-05,N,3188.8,24173.9,7.581,89.5,22.8,74.5,91.8,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-05T01:00:00,2025-11-05,N,2926.3,23796.0,8.132,86.8,23.5,73.5,89.3,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-05T02:00:00,2025-11-05,N,3428.8,25467.8,7.428,92.4,24.7,74.7,114.6,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-05T03:00:00,2025-11-05,N,3066.5,24150.3,7.876,85.9,23.5,73.9,94.1,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-05T04:00:00,2025-11-05,N,3496.9,24378.0,6.971,85.3,21.4,75.7,89.7,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-05T05:00:00,2025-11-05,N,3294.4,25104.9,7.62,87.8,24.6,74.4,110.0,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-05T06:00:00,2025-11-05,D,3033.3,24866.1,8.198,100.0,25.8,73.3,111.2,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-05T07:00:00,2025-11-05,D,3029.5,24515.0,8.092,92.8,24.8,73.5,103.3,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-05T08:00:00,2025-11-05,D,3209.9,24810.5,7.729,100.0,24.4,74.2,105.5,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
2025-11-05T09:00:00,2025-11-05,D,3166.7,24359.9,7.693,91.3,23.4,74.2,96.5,A185-001-07,"A-185-08-07 hourly synthetic SAG Mill dataset; Bozshakol avg 3000-3300tph, ~25MW operating draw"
