pattern_id,hole_id,x,y,rl_top_m,rl_floor_m,sample_index,depth_m,pen,torque,rpm,wob,mse
A185-001-14,14-H-001,363404.732,6591856.696,200.073,199.323,0,0.75,0.714308,41.792321,69.146174,17.231013,0.695784
A185-001-14,14-H-001,363404.732,6591856.696,199.323,198.573,1,1.5,0.637879,43.546916,68.810861,19.124787,0.807819
A185-001-14,14-H-001,363404.732,6591856.696,198.573,197.823,2,2.25,0.623663,44.269895,67.49906,19.978123,0.823995
A185-001-14,14-H-001,363404.732,6591856.696,197.823,197.073,3,3.0,0.614782,44.997563,67.159091,19.613786,0.845252
A185-001-14,14-H-001,363404.732,6591856.696,197.073,196.323,4,3.75,0.646498,45.009254,68.012242,20.195808,0.814365
A185-001-14,14-H-001,363404.732,6591856.696,196.323,195.573,5,4.5,0.614443,44.873808,66.106889,18.76496,0.830117
A185-001-14,14-H-001,363404.732,6591856.696,195.573,194.823,6,5.25,0.626856,46.446043,67.247251,20.390617,0.856841
A185-001-14,14-H-001,363404.732,6591856.696,194.823,194.073,7,6.0,0.600217,48.640044,67.411961,19.89672,0.939138
A185-001-14,14-H-001,363404.732,6591856.696,194.073,193.323,8,6.75,0.598308,45.674363,66.403844,20.254283,0.871677
A185-001-14,14-H-001,363404.732,6591856.696,193.323,192.573,9,7.5,0.602048,46.490093,66.483002,19.802366,0.882698
A185-001-14,14-H-001,363404.732,6591856.696,192.573,191.823,10,8.25,0.540535,47.775022,66.233664,20.24351,1.006249
A185-001-14,14-H-001,363404.732,6591856.696,191.823,191.073,11,9.0,0.546679,47.64539,67.253952,20.667833,1.007575
A185-001-14,14-H-001,363404.732,6591856.696,191.073,190.323,12,9.75,0.548288,47.297332,67.625912,20.499587,1.002786
A185-001-14,14-H-001,363404.732,6591856.696,190.323,189.573,13,10.5,0.531558,44.82675,66.650907,21.37209,0.966381
A185-001-14,14-H-001,363404.732,6591856.696,189.573,188.823,14,11.25,0.567328,47.296002,66.913329,19.679371,0.958903
A185-001-14,14-H-001,363404.732,6591856.696,188.823,188.073,15,12.0,0.584395,47.219778,67.114109,20.749397,0.932383
A185-001-14,14-H-001,363404.732,6591856.696,188.073,187.323,16,12.75,0.570692,44.898313,65.876515,20.431517,0.891164
A185-001-14,14-H-001,363404.732,6591856.696,187.323,186.573,17,13.5,0.593883,45.429916,66.160936,20.371446,0.870296
A185-001-14,14-H-001,363404.732,6591856.696,186.573,185.823,18,14.25,0.599445,46.515759,67.738273,19.586366,0.903686
A185-001-14,14-H-001,363404.732,6591856.696,185.823,185.073,19,15.0,0.60316,43.705948,68.684783,19.513461,0.855777
