Measurement ID,TimeStamp UTC,TimeStamp Site TZ,Hole Number,Hole ID,Parent Hole Easting (m),Parent Hole Northing (m),Measurement Easting (m),Measurement Northing (m),Measurement Offset Distance (m),Measurement Offset Angle (deg),Elevation (m),P20 RR (mm),P20 SWB (mm),P50 RR (mm),P50 SWB (mm),P80 RR (mm),P80 SWB (mm),Top Size RR (mm),Top Size SWB (mm),> 100 mm RR (%),> 100 mm SWB (%),< 10 mm RR (%),< 10 mm SWB (%),< 25 mm RR (%),< 25 mm SWB (%),25 mm to 100 mm RR (%),25 mm to 100 mm SWB (%),RR Xc (mm),RR n,SWB b,SWB x50 (mm),SWB xMax (mm),Instantaeous Mass (t/hr),Latitude,Longitude,Altitude (m),IsDay,IsGeoreferenced
1824,2025-08-04T08:00:00Z,2025-08-04T16:00:00+08:00,1,21-H-001,363483.444,6591676.146,363481.392,6591675.103,2.3,207.0,184,27.7,28.4,86.3,84.3,194.1,202.7,477.1,526.6,85.0,85.0,1.0,1.0,7.7,9.6,7.3,5.4,124.9,1.38,2.009,84.3,526.6,1185,-20.0000093,118.0014545,200,True,True
1825,2025-08-04T08:01:00Z,2025-08-04T16:01:00+08:00,2,21-H-002,363476.244,6591679.064,363475.398,6591676.578,2.63,251.2,184,39.8,39.0,95.4,93.3,205.1,212.9,614.9,650.7,85.0,85.0,1.0,1.0,8.8,4.0,6.2,11.0,131.0,1.212,2.008,93.3,650.7,1451,-19.9999961,118.0013972,200,True,True
1826,2025-08-04T08:06:00Z,2025-08-04T16:06:00+08:00,3,21-H-003,363468.415,6591681.633,363463.113,6591680.778,5.37,189.2,183,26.4,26.5,75.3,72.1,190.5,204.0,660.9,649.0,85.0,85.0,1.0,1.0,12.8,17.4,2.2,0.0,123.1,1.146,2.04,72.1,649.0,1193,-19.9999583,118.0012798,200,True,True
1827,2025-08-04T08:06:00Z,2025-08-04T16:06:00+08:00,4,21-H-004,363461.299,6591684.248,363459.827,6591686.646,2.81,121.5,184,36.1,36.9,106.0,109.6,231.2,235.2,768.5,720.3,85.0,85.0,1.0,1.0,7.3,4.0,7.7,11.0,149.3,1.142,2.008,109.6,720.3,1279,-19.9999056,118.0012484,200,True,True
1828,2025-08-04T08:07:00Z,2025-08-04T16:07:00+08:00,4,21-H-004,363461.299,6591684.248,363461.805,6591683.395,0.99,300.7,184,39.7,38.0,117.2,119.5,260.2,261.6,762.2,722.5,85.0,85.0,1.0,1.0,4.0,4.0,11.0,11.0,168.0,1.275,2.042,119.5,722.5,1332,-19.9999348,118.0012673,200,True,True
1829,2025-08-04T08:12:00Z,2025-08-04T16:12:00+08:00,5,21-H-005,363454.043,6591686.591,363454.614,6591686.909,0.65,29.1,184,41.2,44.0,119.3,119.1,258.0,251.2,720.0,755.7,85.0,85.0,1.0,1.0,4.0,4.0,11.0,11.0,166.6,1.079,1.92,119.1,755.7,1256,-19.9999033,118.0011985,200,True,True
1830,2025-08-04T08:14:00Z,2025-08-04T16:14:00+08:00,5,21-H-005,363454.043,6591686.591,363454.593,6591687.85,1.37,66.4,184,29.6,31.1,83.3,79.6,203.5,193.4,576.5,592.8,85.0,85.0,1.0,1.0,12.6,13.8,2.4,1.2,131.4,1.268,1.921,79.6,592.8,1303,-19.9998948,118.0011983,200,True,True
1831,2025-08-04T08:11:00Z,2025-08-04T16:11:00+08:00,6,21-H-006,363446.106,6591689.005,363447.069,6591686.596,2.59,291.8,184,34.9,34.0,111.1,116.8,231.1,222.6,659.8,637.4,85.0,85.0,1.0,1.0,4.0,4.0,11.0,11.0,149.7,1.258,1.916,116.8,637.4,1315,-19.9999061,118.0011264,200,True,True
1832,2025-08-04T08:13:00Z,2025-08-04T16:13:00+08:00,7,21-H-007,363438.584,6591691.26,363438.359,6591686.798,4.47,267.1,184,39.9,40.5,116.8,117.6,257.2,252.9,656.7,640.5,85.0,85.0,1.0,1.0,4.0,4.0,11.0,11.0,167.2,1.233,1.779,117.6,640.5,1274,-19.9999043,118.0010432,200,True,True
1833,2025-08-04T08:27:00Z,2025-08-04T16:27:00+08:00,7,21-H-007,363438.584,6591691.26,363438.55,6591691.19,0.08,243.9,184,35.0,34.7,114.0,120.2,256.7,282.4,830.6,844.0,85.0,85.0,1.0,1.0,4.0,4.0,11.0,11.0,166.9,1.094,2.073,120.2,844.0,1373,-19.9998648,118.001045,200,True,True
