Measurement ID,TimeStamp UTC,TimeStamp Site TZ,Hole Number,Hole ID,Parent Hole Easting (m),Parent Hole Northing (m),Measurement Easting (m),Measurement Northing (m),Measurement Offset Distance (m),Measurement Offset Angle (deg),Elevation (m),P20 RR (mm),P20 SWB (mm),P50 RR (mm),P50 SWB (mm),P80 RR (mm),P80 SWB (mm),Top Size RR (mm),Top Size SWB (mm),> 100 mm RR (%),> 100 mm SWB (%),< 10 mm RR (%),< 10 mm SWB (%),< 25 mm RR (%),< 25 mm SWB (%),25 mm to 100 mm RR (%),25 mm to 100 mm SWB (%),RR Xc (mm),RR n,SWB b,SWB x50 (mm),SWB xMax (mm),Instantaeous Mass (t/hr),Latitude,Longitude,Altitude (m),IsDay,IsGeoreferenced
2205,2025-07-31T11:00:00Z,2025-07-31T19:00:00+08:00,1,19-H-001,363742.21,6591883.153,363737.973,6591881.438,4.57,202.0,185,13.5,13.8,37.0,39.2,86.5,83.5,145.8,153.6,30.1,26.2,7.0,6.1,31.2,31.5,38.7,42.3,59.7,1.14,1.877,39.2,153.6,1671,-19.9981558,118.0039073,200,False,True
2206,2025-07-31T11:03:00Z,2025-07-31T19:03:00+08:00,1,19-H-001,363742.21,6591883.153,363740.713,6591880.601,2.96,239.6,185,12.4,12.0,37.0,37.0,80.4,85.8,157.0,147.0,29.8,34.1,8.9,8.3,30.9,30.9,39.4,35.0,55.5,1.143,1.784,37.0,147.0,1434,-19.9981633,118.0039335,200,False,True
2207,2025-07-31T11:04:00Z,2025-07-31T19:04:00+08:00,2,19-H-002,363749.637,6591880.15,363749.724,6591882.964,2.81,88.2,185,13.3,13.0,35.9,33.5,79.3,80.9,120.3,114.6,26.9,29.6,9.1,11.0,29.2,32.0,43.9,38.3,53.2,1.152,1.993,33.5,114.6,1573,-19.9981421,118.0040196,200,False,True
2208,2025-07-31T11:05:00Z,2025-07-31T19:05:00+08:00,2,19-H-002,363749.637,6591880.15,363750.313,6591871.145,9.03,274.3,185,10.9,11.5,33.3,34.1,75.2,69.0,124.7,123.7,24.7,21.6,9.3,7.3,27.0,30.7,48.3,47.6,50.5,1.141,1.921,34.1,123.7,1437,-19.9982482,118.0040253,200,False,True
2209,2025-07-31T11:08:00Z,2025-07-31T19:08:00+08:00,2,19-H-002,363749.637,6591880.15,363752.905,6591877.5,4.21,321.0,185,12.8,11.7,37.5,38.4,74.9,80.7,129.1,141.2,26.4,26.5,7.9,6.1,27.6,25.6,46.0,47.9,50.2,1.184,2.034,38.4,141.2,1511,-19.9981912,118.0040501,200,False,True
2210,2025-07-31T11:11:00Z,2025-07-31T19:11:00+08:00,3,19-H-003,363756.781,6591877.367,363754.527,6591869.844,7.85,253.3,185,13.8,13.0,37.7,39.3,89.3,93.3,160.3,160.6,40.6,38.4,10.7,8.2,29.3,24.3,30.0,37.4,59.6,1.115,1.794,39.3,160.6,1539,-19.9982599,118.0040656,200,False,True
2211,2025-07-31T11:12:00Z,2025-07-31T19:12:00+08:00,3,19-H-003,363756.781,6591877.367,363760.878,6591871.938,6.8,307.0,185,11.4,11.6,32.6,31.7,74.4,70.5,128.5,135.0,21.9,19.9,9.0,8.8,32.8,30.1,45.3,50.1,49.7,1.003,1.871,31.7,135.0,1539,-19.9982411,118.0041263,200,False,True
2212,2025-07-31T11:14:00Z,2025-07-31T19:14:00+08:00,4,19-H-004,363764.106,6591873.36,363764.145,6591867.382,5.98,270.4,185,12.2,11.5,35.5,33.0,72.7,69.7,132.3,134.2,24.8,22.5,11.3,9.7,30.4,27.4,44.8,50.1,48.6,1.085,1.826,33.0,134.2,1728,-19.998282,118.0041575,200,False,True
2213,2025-07-31T11:18:00Z,2025-07-31T19:18:00+08:00,4,19-H-004,363764.106,6591873.36,363767.912,6591873.916,3.85,8.3,185,11.4,11.2,37.2,38.3,77.2,78.4,130.3,120.1,26.3,25.9,7.2,7.0,27.2,28.1,46.5,46.0,51.6,1.243,2.094,38.3,120.1,1545,-19.9982233,118.0041935,200,False,True
2214,2025-07-31T11:31:00Z,2025-07-31T19:31:00+08:00,5,19-H-005,363771.597,6591869.911,363774.203,6591872.615,3.76,46.1,185,11.2,10.8,32.9,32.1,68.3,66.8,130.5,127.1,22.8,18.3,8.2,5.7,30.6,33.0,46.6,48.6,45.8,1.083,1.845,32.1,127.1,1432,-19.998235,118.0042536,200,False,True
2215,2025-07-31T11:21:00Z,2025-07-31T19:21:00+08:00,5,19-H-005,363771.597,6591869.911,363772.293,6591873.343,3.5,78.5,185,10.0,10.7,31.2,34.3,73.2,67.0,114.5,106.3,26.6,20.8,8.0,9.3,25.5,29.1,47.8,50.0,49.1,1.232,2.006,34.3,106.3,1618,-19.9982285,118.0042354,200,False,True
2216,2025-07-31T11:19:00Z,2025-07-31T19:19:00+08:00,5,19-H-005,363771.597,6591869.911,363776.535,6591866.321,6.1,324.0,185,11.7,12.0,33.8,33.7,79.9,84.3,131.0,129.9,28.4,30.5,7.5,7.7,30.5,26.8,41.2,42.8,53.5,1.112,1.911,33.7,129.9,1711,-19.9982916,118.0042759,200,False,True
2217,2025-07-31T11:24:00Z,2025-07-31T19:24:00+08:00,6,19-H-006,363778.703,6591866.489,363772.221,6591866.358,6.48,181.2,185,12.0,11.4,35.9,38.0,77.9,71.0,132.8,124.1,29.9,22.4,8.5,8.4,28.7,28.5,41.4,49.1,51.9,1.165,1.978,38.0,124.1,1434,-19.9982912,118.0042347,200,False,True
2218,2025-07-31T11:38:00Z,2025-07-31T19:38:00+08:00,6,19-H-006,363778.703,6591866.489,363775.588,6591866.736,3.13,175.5,185,12.5,13.3,35.8,35.8,80.5,76.6,118.6,121.2,30.9,25.2,5.7,6.9,28.7,32.1,40.3,42.7,53.6,0.973,1.976,35.8,121.2,1693,-19.9982878,118.0042669,200,False,True
2219,2025-07-31T11:45:00Z,2025-07-31T19:45:00+08:00,7,19-H-007,363706.939,6591892.369,363702.947,6591892.833,4.02,173.4,185,13.4,13.2,37.4,36.7,78.4,74.8,153.8,151.8,32.1,25.4,7.5,8.6,28.5,26.8,39.4,47.8,53.9,1.129,1.926,36.7,151.8,1534,-19.9980534,118.0035725,200,False,True
2220,2025-07-31T11:49:00Z,2025-07-31T19:49:00+08:00,7,19-H-007,363706.939,6591892.369,363704.044,6591890.954,3.22,206.0,185,12.6,12.1,38.9,38.4,86.9,93.1,185.0,182.0,34.2,46.0,7.4,8.6,25.6,27.5,40.1,26.5,59.7,1.217,1.729,38.4,182.0,1620,-19.9980703,118.003583,200,False,True
2221,2025-07-31T11:42:00Z,2025-07-31T19:42:00+08:00,7,19-H-007,363706.939,6591892.369,363703.533,6591896.516,5.37,129.4,185,14.7,14.1,42.7,43.5,86.7,92.5,151.2,147.3,37.6,39.7,7.4,7.4,29.6,27.6,32.8,32.6,59.6,1.083,1.777,43.5,147.3,1428,-19.9980203,118.0035781,200,False,True
2222,2025-07-31T11:56:00Z,2025-07-31T19:56:00+08:00,8,19-H-008,363714.014,6591888.694,363717.383,6591888.678,3.37,359.7,185,11.7,11.6,33.6,34.5,73.9,79.3,142.8,147.7,27.6,32.8,8.1,8.5,26.4,29.6,45.9,37.6,50.4,1.235,1.861,34.5,147.7,1565,-19.9980907,118.0037105,200,False,True
2223,2025-07-31T11:54:00Z,2025-07-31T19:54:00+08:00,8,19-H-008,363714.014,6591888.694,363708.323,6591892.528,6.86,146.0,185,13.5,13.7,34.1,32.6,77.4,78.8,158.1,167.9,26.9,27.0,10.0,7.0,30.8,28.1,42.3,44.9,52.8,1.036,2.006,32.6,167.9,1589,-19.9980561,118.0036239,200,False,True
