pattern_number,hole_number,hole_id,actual_x,actual_y,actual_toe_rl,actual_collar_rl
GB-120-001,1001,PRD1001,357000.0,6593000.211,118.9,130
GB-120-001,1002,PRD1002,357005.196,6593003.468,116.719,130
GB-120-001,1003,PRD1003,357010.392,6593006.445,121.183,130
GB-120-001,1004,PRD1004,357015.588,6593009.266,121.197,130
GB-120-001,1005,PRD1005,357020.785,6593012.466,118.9,130
GB-120-001,1006,PRD1006,357025.981,6593015.224,118.472,130
GB-120-001,1007,PRD1007,357031.177,6593018.464,119.928,130
GB-120-001,1008,PRD1008,357036.373,6593021.228,120.759,130
GB-120-001,1009,PRD1009,357041.569,6593024.0,118.033,130
GB-120-001,1010,PRD1010,357046.765,6593027.138,118.512,130
GB-120-001,1011,PRD1011,357051.962,6593030.378,120.857,130
GB-120-001,1012,PRD1012,357057.158,6593033.067,117.045,130
GB-120-001,1013,PRD1013,357062.354,6593036.367,120.436,130
GB-120-001,1014,PRD1014,357067.55,6593039.21,117.766,130
GB-120-001,1015,PRD1015,357072.746,6593042.028,119.715,130
GB-120-001,1016,PRD1016,357077.942,6593045.319,116.641,130
GB-120-001,1017,PRD1017,357083.138,6593048.043,117.618,130
GB-120-001,1018,PRD1018,357088.335,6593051.334,119.957,130
GB-120-001,1019,PRD1019,357093.531,6593054.174,119.227,130
GB-120-001,1020,PRD1020,357098.727,6593057.128,118.9,130
GB-120-001,1021,PRD1021,357097.325,6593065.644,118.633,130
GB-120-001,1022,PRD1022,357092.129,6593062.525,117.293,130
GB-120-001,1023,PRD1023,357086.933,6593059.773,120.641,130
GB-120-001,1024,PRD1024,357081.737,6593056.469,119.015,130
GB-120-001,1025,PRD1025,357076.54,6593053.478,119.373,130
GB-120-001,1026,PRD1026,357071.344,6593050.594,118.963,130
GB-120-001,1027,PRD1027,357066.148,6593047.468,117.538,130
GB-120-001,1028,PRD1028,357060.952,6593044.655,117.98,130
GB-120-001,1029,PRD1029,357055.756,6593041.825,118.9,130
GB-120-001,1030,PRD1030,357050.56,6593038.48,118.12,130
GB-120-001,1031,PRD1031,357046.148,6593036.416,116.358,130
GB-120-001,1032,PRD1032,357040.167,6593032.826,118.9,130
GB-120-001,1033,PRD1033,357034.971,6593029.428,120.329,130
GB-120-001,1034,PRD1034,357029.775,6593026.428,119.025,130
GB-120-001,1035,PRD1035,357024.579,6593023.428,121.372,130
GB-120-001,1036,PRD1036,357020.069,6593021.308,120.736,130
GB-120-001,1037,PRD1037,357014.187,6593017.878,119.241,130
GB-120-001,1038,PRD1038,357008.99,6593014.514,121.327,130
GB-120-001,1039,PRD1039,357004.098,6593012.847,119.299,130
GB-120-001,1040,PRD1040,356998.598,6593008.753,117.495,130
GB-120-001,1041,PRD1041,356992.0,6593014.242,116.849,130
GB-120-001,1042,PRD1042,356997.196,6593017.301,119.735,130
GB-120-001,1043,PRD1043,357002.512,6593020.849,121.466,130
GB-120-001,1044,PRD1044,357007.588,6593022.907,120.063,130
GB-120-001,1045,PRD1045,357012.785,6593025.856,118.9,130
GB-120-001,1046,PRD1046,357017.981,6593028.865,116.598,130
GB-120-001,1047,PRD1047,357023.177,6593032.111,116.492,130
GB-120-001,1048,PRD1048,357028.373,6593035.06,116.493,130
GB-120-001,1049,PRD1049,357034.231,6593038.719,116.634,130
GB-120-001,1050,PRD1050,357038.765,6593041.252,119.299,130
GB-120-001,1051,PRD1051,357044.669,6593044.7,118.58,130
GB-120-001,1052,PRD1052,357049.158,6593047.14,119.992,130
GB-120-001,1053,PRD1053,357055.088,6593050.955,118.9,130
GB-120-001,1054,PRD1054,357059.55,6593052.976,120.055,130
GB-120-001,1055,PRD1055,357065.503,6593056.558,118.9,130
GB-120-001,1056,PRD1056,357069.942,6593059.261,118.9,130
GB-120-001,1057,PRD1057,357075.138,6593061.856,120.683,130
GB-120-001,1058,PRD1058,357080.335,6593065.113,116.52,130
GB-120-001,1059,PRD1059,357085.531,6593067.984,120.226,130
GB-120-001,1060,PRD1060,357090.727,6593071.032,119.809,130
GB-120-001,1061,PRD1061,357089.325,6593079.74,118.9,130
GB-120-001,1062,PRD1062,357084.129,6593076.542,118.9,130
GB-120-001,1063,PRD1063,357078.933,6593073.285,120.656,130
GB-120-001,1064,PRD1064,357073.737,6593070.382,116.512,130
GB-120-001,1065,PRD1065,357068.54,6593067.633,121.497,130
GB-120-001,1066,PRD1066,357063.344,6593064.285,118.9,130
GB-120-001,1067,PRD1067,357058.148,6593061.667,118.9,130
GB-120-001,1068,PRD1068,357052.952,6593058.331,119.375,130
GB-120-001,1069,PRD1069,357047.756,6593055.536,116.682,130
GB-120-001,1070,PRD1070,357042.56,6593052.732,118.575,130
GB-120-001,1071,PRD1071,357037.363,6593049.657,119.826,130
GB-120-001,1072,PRD1072,357032.167,6593046.415,119.773,130
GB-120-001,1073,PRD1073,357026.971,6593043.285,119.964,130
GB-120-001,1074,PRD1074,357021.775,6593040.734,120.23,130
GB-120-001,1075,PRD1075,357016.579,6593037.742,121.26,130
GB-120-001,1076,PRD1076,357011.383,6593034.567,118.934,130
GB-120-001,1077,PRD1077,357006.187,6593031.505,119.738,130
GB-120-001,1078,PRD1078,357000.99,6593028.338,118.9,130
GB-120-001,1079,PRD1079,356995.794,6593025.687,121.673,130
GB-120-001,1080,PRD1080,356990.598,6593022.716,118.232,130
GB-120-001,1081,PRD1081,356984.0,6593027.808,118.9,130
GB-120-001,1082,PRD1082,356989.196,6593030.716,117.219,130
GB-120-001,1083,PRD1083,356994.392,6593033.713,116.677,130
GB-120-001,1084,PRD1084,356999.577,6593038.048,118.9,130
GB-120-001,1085,PRD1085,357004.785,6593039.955,120.648,130
GB-120-001,1086,PRD1086,357009.981,6593042.806,116.93,130
GB-120-001,1087,PRD1087,357015.177,6593045.739,119.018,130
GB-120-001,1088,PRD1088,357020.373,6593048.757,116.18,130
GB-120-001,1089,PRD1089,357025.569,6593052.018,119.303,130
GB-120-001,1090,PRD1090,357030.765,6593055.049,116.29,130
GB-120-001,1091,PRD1091,357035.962,6593057.907,118.569,130
GB-120-001,1092,PRD1092,357041.158,6593060.918,120.661,130
GB-120-001,1093,PRD1093,357046.354,6593063.817,118.02,130
GB-120-001,1094,PRD1094,357051.55,6593066.821,120.47,130
GB-120-001,1095,PRD1095,357056.746,6593070.026,121.085,130
GB-120-001,1096,PRD1096,357061.942,6593072.886,116.856,130
GB-120-001,1097,PRD1097,357067.138,6593075.713,120.344,130
GB-120-001,1098,PRD1098,357073.012,6593079.449,118.578,130
GB-120-001,1099,PRD1099,357077.531,6593081.848,118.42,130
GB-120-001,1100,PRD1100,357082.727,6593085.11,118.9,130
GB-120-001,1101,PRD1101,357081.325,6593093.429,119.913,130
GB-120-001,1102,PRD1102,357076.129,6593090.141,118.037,130
GB-120-001,1103,PRD1103,357070.933,6593087.449,118.32,130
GB-120-001,1104,PRD1104,357065.737,6593084.221,118.9,130
GB-120-001,1105,PRD1105,357060.54,6593081.544,118.9,130
GB-120-001,1106,PRD1106,357055.344,6593078.329,120.996,130
GB-120-001,1107,PRD1107,357050.703,6593076.06,118.9,130
GB-120-001,1108,PRD1108,357045.48,6593073.226,120.269,130
GB-120-001,1109,PRD1109,357039.756,6593069.141,120.701,130
GB-120-001,1110,PRD1110,357034.56,6593066.317,117.961,130
GB-120-001,1111,PRD1111,357029.363,6593063.51,118.9,130
GB-120-001,1112,PRD1112,357024.167,6593060.141,121.26,130
GB-120-001,1113,PRD1113,357018.971,6593057.191,121.446,130
GB-120-001,1114,PRD1114,357013.775,6593054.304,118.831,130
GB-120-001,1115,PRD1115,357008.579,6593051.428,118.128,130
GB-120-001,1116,PRD1116,357003.383,6593048.612,117.575,130
GB-120-001,1117,PRD1117,356998.187,6593045.603,116.495,130
GB-120-001,1118,PRD1118,356992.99,6593042.352,120.715,130
GB-120-001,1119,PRD1119,356987.794,6593039.493,117.938,130
GB-120-001,1120,PRD1120,356982.598,6593036.514,116.165,130
