Measurement ID,TimeStamp UTC,TimeStamp Site TZ,Hole Number,Hole ID,Parent Hole Easting (m),Parent Hole Northing (m),Measurement Easting (m),Measurement Northing (m),Measurement Offset Distance (m),Measurement Offset Angle (deg),Elevation (m),P20 RR (mm),P20 SWB (mm),P50 RR (mm),P50 SWB (mm),P80 RR (mm),P80 SWB (mm),Top Size RR (mm),Top Size SWB (mm),> 100 mm RR (%),> 100 mm SWB (%),< 10 mm RR (%),< 10 mm SWB (%),< 25 mm RR (%),< 25 mm SWB (%),25 mm to 100 mm RR (%),25 mm to 100 mm SWB (%),RR Xc (mm),RR n,SWB b,SWB x50 (mm),SWB xMax (mm),Instantaeous Mass (t/hr),Latitude,Longitude,Altitude (m),IsDay,IsGeoreferenced
1,2024-12-01T10:00:00Z,2024-12-01T10:00:00.000Z,1037,PRD1037,357014.187,6593017.878,357014.169,6593020.548,2.67,90.4,130,63.5,57.4,134.7,117.9,262.2,268.7,542.1,532.9,48.4,44.4,3.6,9.0,12.5,15.8,39.1,39.7,192.55,1.045,4.157,118.68,359.14,0,,,130,True,True
2,2024-12-01T10:00:24Z,2024-12-01T10:00:24.000Z,1019,PRD1019,357093.531,6593054.174,357097.236,6593052.027,4.283,329.9,130,56.2,56.6,141.7,152.2,333.4,371.4,749.9,768.5,58.7,70.7,4.7,6.8,10.6,13.4,30.7,15.9,197.48,1.404,6.268,153.23,545.85,0,,,130,True,True
3,2024-12-01T10:00:33Z,2024-12-01T10:00:33.000Z,1002,PRD1002,357005.196,6593003.468,357007.039,6593001.132,2.975,308.3,130,57.0,63.2,129.6,129.7,261.4,257.8,596.5,565.2,42.2,49.3,7.0,8.5,15.4,15.7,42.4,35.0,183.95,1.258,5.257,127.63,374.22,0,,,130,True,True
4,2024-12-01T10:00:42Z,2024-12-01T10:00:42.000Z,1075,PRD1075,357016.579,6593037.742,357014.732,6593041.194,3.915,118.1,130,71.4,73.4,150.4,154.9,261.1,280.2,531.1,577.2,44.6,47.4,7.4,6.9,15.2,13.8,40.3,38.8,177.16,1.306,5.018,155.49,485.58,0,,,130,False,True
5,2024-12-01T10:01:03Z,2024-12-01T10:01:03.000Z,1117,PRD1117,356998.187,6593045.603,356999.82,6593043.569,2.608,308.8,130,47.2,37.1,125.3,129.3,214.1,234.5,467.7,510.3,34.5,45.1,7.8,7.2,20.3,20.4,45.2,34.5,158.3,1.566,5.388,129.55,409.95,0,,,130,False,True
6,2024-12-01T10:01:20Z,2024-12-01T10:01:20.000Z,1073,PRD1073,357026.971,6593043.285,357028.441,6593045.629,2.766,57.9,130,68.5,57.9,128.2,135.1,255.7,228.0,562.1,523.2,42.7,38.3,8.4,7.0,13.1,16.8,44.3,44.9,149.22,1.069,6.369,135.21,290.52,0,,,130,True,True
7,2024-12-01T10:01:39Z,2024-12-01T10:01:39.000Z,1087,PRD1087,357015.177,6593045.739,357012.272,6593045.461,2.918,185.5,130,96.2,92.8,188.7,150.9,280.9,234.2,487.0,467.5,49.1,38.7,6.0,6.5,16.9,17.6,34.0,43.7,237.97,1.32,5.623,150.57,559.32,0,,,130,False,True
8,2024-12-01T10:01:59Z,2024-12-01T10:01:59.000Z,1019,PRD1019,357093.531,6593054.174,357092.597,6593054.472,0.98,162.3,130,48.3,53.8,134.8,140.5,270.3,291.7,568.1,580.9,47.4,55.7,5.9,6.0,14.9,15.2,37.8,29.2,172.63,1.264,5.507,141.48,498.64,0,,,130,False,True
9,2024-12-01T10:02:18Z,2024-12-01T10:02:18.000Z,1030,PRD1030,357050.56,6593038.48,357053.529,6593037.958,3.014,350.0,130,80.5,78.2,157.1,161.3,276.9,251.9,607.2,618.4,49.4,41.9,7.3,9.3,12.6,15.0,38.0,43.1,209.95,1.25,5.99,165.19,505.3,0,,,130,True,True
10,2024-12-01T10:02:36Z,2024-12-01T10:02:36.000Z,1120,PRD1120,356982.598,6593036.514,356975.507,6593037.092,7.114,175.3,130,57.7,53.1,136.1,124.8,207.7,219.8,493.6,483.9,36.7,39.6,6.2,8.7,18.2,18.5,45.1,41.9,174.92,1.31,5.137,123.89,420.21,0,,,130,False,True
11,2024-12-01T10:02:58Z,2024-12-01T10:02:58.000Z,1056,PRD1056,357069.942,6593059.261,357068.415,6593057.533,2.306,228.5,130,96.8,101.7,190.7,190.8,403.5,402.3,722.0,745.2,72.4,70.0,1.4,0.8,12.7,7.8,14.8,22.2,257.54,1.259,5.171,189.8,622.34,0,,,130,False,True
12,2024-12-01T10:03:05Z,2024-12-01T10:03:05.000Z,1077,PRD1077,357006.187,6593031.505,357007.849,6593030.391,2.001,326.2,130,60.7,58.2,161.3,167.6,269.5,250.0,533.9,533.9,48.9,45.8,7.8,8.4,13.3,16.2,37.8,38.0,201.67,1.095,4.855,168.93,434.15,0,,,130,False,True
13,2024-12-01T10:03:39Z,2024-12-01T10:03:39.000Z,1096,PRD1096,357061.942,6593072.886,357062.459,6593074.299,1.505,69.9,130,64.8,72.3,122.0,117.6,218.9,232.1,473.8,459.2,38.8,39.6,10.3,6.1,17.1,16.3,44.1,44.2,176.9,1.086,5.772,119.91,511.31,0,,,130,False,False
14,2024-12-01T10:04:01Z,2024-12-01T10:04:01.000Z,1002,PRD1002,357005.196,6593003.468,357003.504,6593005.171,2.401,134.8,130,58.4,55.7,135.4,135.4,223.8,244.9,505.6,544.7,38.4,44.8,10.4,9.3,18.0,18.5,43.6,36.7,172.91,1.358,6.124,133.22,441.66,0,,,130,False,True
15,2024-12-01T10:04:29Z,2024-12-01T10:04:29.000Z,1032,PRD1032,357040.167,6593032.826,357036.062,6593034.277,4.354,160.5,130,75.7,77.8,154.1,141.9,323.4,325.3,552.3,584.7,56.3,56.9,5.0,5.0,16.6,8.8,27.1,34.3,215.24,1.203,4.677,144.84,423.76,0,,,130,False,True
16,2024-12-01T10:04:49Z,2024-12-01T10:04:49.000Z,1056,PRD1056,357069.942,6593059.261,357067.431,6593062.644,4.213,126.6,130,96.1,93.2,187.6,202.8,414.6,436.4,797.0,804.1,72.1,77.5,4.0,4.6,9.6,4.6,18.3,17.9,226.5,1.036,5.064,202.07,469.14,0,,,130,False,True
17,2024-12-01T10:05:06Z,2024-12-01T10:05:06.000Z,1097,PRD1097,357067.138,6593075.713,357070.541,6593076.037,3.419,5.4,130,84.9,79.7,158.8,160.7,310.4,310.1,579.1,590.8,52.4,50.9,6.7,5.3,13.6,14.3,34.0,34.8,190.84,1.225,7.338,163.14,470.58,0,,,130,True,True
