date,cu_solution_ppm_avg,specific_nacn_kgpt,free_cn_ppm_avg,complexed_cn_gpl_avg,recovery_au_pct,cn_efficiency_index
2025-07-10,818.562,0.171,927.5,3.244,80.182,469.497
2025-07-09,916.406,0.243,928.5,3.647,77.152,317.087
2025-03-16,916.062,0.265,462.312,3.283,83.159,314.087
2025-02-19,696.219,0.298,708.938,2.691,79.192,265.348
2025-05-04,759.656,0.309,863.531,2.901,75.919,245.464
2025-05-28,873.438,0.322,869.562,3.441,72.77,226.033
2025-06-25,1522.083,0.419,361.042,4.907,76.713,183.051
2025-04-15,494.5,0.475,666.75,2.212,85.688,180.356
2025-08-06,537.562,0.428,394.438,2.234,76.221,177.964
2025-02-26,705.542,0.452,302.667,2.48,77.186,170.845
2025-03-20,817.406,0.497,928.062,3.236,83.278,167.567
2025-03-21,785.938,0.494,587.219,3.065,81.614,165.275
2025-02-21,601.969,0.513,646.344,2.435,82.896,161.746
2025-02-25,640.25,0.535,496.25,2.374,85.464,159.859
2025-05-05,761.667,0.55,709.167,2.904,84.903,154.381
