date,cu_solution_ppm_avg,specific_nacn_kgpt,free_cn_ppm_avg,complexed_cn_gpl_avg,recovery_au_pct,cn_efficiency_index
2025-02-07,720.5,99.694,811.0,2.844,99.591,0.999
2025-12-19,4290.0,11.372,17.375,10.14,65.054,5.721
2026-02-07,4189.0,8.25,319.286,12.386,61.009,7.395
2025-09-15,3068.65,9.728,728.9,9.477,72.722,7.476
2025-11-22,5090.25,8.64,101.333,13.61,69.027,7.989
2025-11-29,6570.0,8.256,32.0,16.268,68.135,8.252
2025-12-27,4149.25,8.371,220.406,12.045,70.971,8.479
2025-12-03,5559.0,6.676,31.917,13.735,58.453,8.756
2025-07-05,1225.85,4.638,313.8,4.195,41.343,8.914
2026-01-04,4333.281,6.087,186.594,12.183,56.613,9.301
2025-07-02,1137.0,8.078,239.0,3.601,75.447,9.34
2026-03-07,3813.188,6.569,228.344,11.056,62.202,9.469
2025-09-14,3010.281,7.077,354.938,8.888,68.139,9.628
2026-02-06,4648.594,6.256,429.75,13.702,60.797,9.718
2026-01-02,4148.25,6.453,264.906,12.06,63.238,9.8
