driver,target,lag_days,corr,abs_corr
wad_gpl_avg,complexed_cn_gpl_avg,0,0.9984750621946167,0.9984750621946167
cu_solution_ppm_avg,complexed_cn_gpl_avg,0,0.989496130444157,0.989496130444157
cu_feed_ppm,complexed_cn_gpl_avg,4,0.6455988707987155,0.6455988707987155
free_cn_ppm_avg,complexed_cn_gpl_avg,6,-0.4271277808031331,0.4271277808031331
ph_tk_8_s,complexed_cn_gpl_avg,7,-0.1567865410955228,0.1567865410955228
do_avg,complexed_cn_gpl_avg,2,-0.1523624578751644,0.1523624578751644
cu_solution_ppm_avg,nacn_consumption_tpd,0,0.6531192966580426,0.6531192966580426
wad_gpl_avg,nacn_consumption_tpd,0,0.6340812776672705,0.6340812776672705
cu_feed_ppm,nacn_consumption_tpd,2,0.5933621577157497,0.5933621577157497
free_cn_ppm_avg,nacn_consumption_tpd,1,-0.4184990413521139,0.4184990413521139
ph_tk_8_s,nacn_consumption_tpd,6,-0.13115377484942883,0.13115377484942883
do_avg,nacn_consumption_tpd,7,0.080170481015807,0.080170481015807
cu_solution_ppm_avg,specific_nacn_kgpt,0,0.7011673467849026,0.7011673467849026
wad_gpl_avg,specific_nacn_kgpt,0,0.6560349434236639,0.6560349434236639
free_cn_ppm_avg,specific_nacn_kgpt,1,-0.5210117280383548,0.5210117280383548
cu_feed_ppm,specific_nacn_kgpt,2,0.18357179226670223,0.18357179226670223
ph_tk_8_s,specific_nacn_kgpt,6,-0.15828969463841452,0.15828969463841452
do_avg,specific_nacn_kgpt,0,-0.12979874511983477,0.12979874511983477
