date,cu_regime,guidance_status,throughput_tpd,cu_feed_ppm,cu_solution_ppm_avg,free_cn_ppm_avg,wad_gpl_avg,complexed_cn_gpl_avg,specific_nacn_kgpt,nacn_consumption_tpd,recovery_au_pct,expected_nacn_tpd_band_regime,expected_specific_nacn_band_regime,expected_free_cn_band_regime,analogue_count,expected_nacn_tpd_band_analog,expected_specific_nacn_band_analog,expected_free_cn_band_analog,guidance_comment
2025-01-01,Medium Cu,Normal,13872.0414,324.0156719777839,1118.75,432.75,4.199375,3.766625,2.018448416683647,28.0,76.71389706313914,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.4 to 28.0,1.22 to 2.14,348 to 511,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-02,Medium Cu,Normal,12805.4052,396.8076174791777,1239.1785714285716,465.25,4.613214285714285,4.147964285714285,2.1865766496791528,28.0,80.62971691568066,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.8 to 27.8,1.25 to 2.14,356 to 511,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-03,Medium Cu,Normal,13264.1838,197.67810683982842,1266.8125,610.34375,4.9865625,4.37621875,2.7140757805240905,36.0,81.1526191616445,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.2 to 27.0,1.23 to 2.14,429 to 618,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-04,Medium Cu,Normal,11038.5786,279.64294629511215,1315.607142857143,645.8214285714286,5.213928571428571,4.5681071428571425,2.8989239610976725,32.0,83.48163250945768,12.8 to 29.4,1.29 to 2.81,347 to 597,30,13.7 to 28.0,1.22 to 2.21,437 to 618,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-05,Medium Cu,Normal,11847.4524,327.91265551095114,1385.0625,661.71875,5.4646875,4.80296875,2.025751966726619,24.0,82.35977864997088,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.8 to 25.1,1.37 to 2.24,360 to 594,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-06,Medium Cu,Normal,12205.242,926.1856456351634,1434.0,544.3125,5.421875,4.8775625,1.2453665400489395,15.2,79.06584499867073,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.2 to 27.0,1.23 to 2.14,412 to 594,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-07,Medium Cu,Normal,11263.639799999999,452.89439326376123,1445.5625,682.59375,5.6078125000000005,4.925218750000001,1.3672312212966895,15.399999999999999,76.60067356706939,12.8 to 29.4,1.29 to 2.81,347 to 597,30,12.1 to 23.5,0.96 to 1.81,480 to 676,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-08,Medium Cu,Normal,11768.5848,104.24421745815431,1275.21875,865.34375,5.3884375,4.52309375,1.3765461417247042,16.2,73.72530768996914,12.8 to 29.4,1.29 to 2.81,347 to 597,30,12.7 to 21.9,0.99 to 1.69,525 to 752,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-09,Medium Cu,Normal,12491.8584,564.7455690970718,1269.0714285714287,523.0,4.903928571428571,4.380928571428571,0.6724379776831284,8.4,77.47612339372272,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.6 to 28.0,1.23 to 2.14,387 to 530,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-10,Medium Cu,Normal,3274.929,160.5835936596089,1183.5,388.375,4.33,3.941625,2.4428010500380313,8.0,84.2169443479963,12.8 to 29.4,1.29 to 2.81,347 to 597,30,8.0 to 19.5,1.14 to 3.05,315 to 471,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-11,Medium Cu,Normal,4485.8351999999995,,1167.3333333333333,308.5,4.181666666666667,3.8731666666666666,0.0,0.0,61.77446626762414,12.8 to 29.4,1.29 to 2.81,347 to 597,30,8.3 to 22.0,1.13 to 3.05,310 to 448,Medium-Cu regime: operate near historical median band and monitor Cu trend closely. Recovery is in the lower historical range.
2025-01-12,Medium Cu,Normal,11272.296,767.805863122477,1073.5,356.34375,4.008125,3.6517812499999995,1.774261428195285,20.0,78.14596450746379,12.8 to 29.4,1.29 to 2.81,347 to 597,30,14.0 to 24.5,1.36 to 2.01,315 to 465,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-13,Medium Cu,Normal,13061.244,394.18811524715346,1115.25,303.46875,4.03125,3.72778125,1.2249981701589834,16.0,79.05487304287395,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.4 to 27.3,1.23 to 2.14,329 to 486,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-14,Medium Cu,Normal,12081.1698,425.08886486498346,1094.78125,284.0625,3.9387499999999998,3.6546874999999996,1.6554688271991675,20.0,79.934373717704,12.8 to 29.4,1.29 to 2.81,347 to 597,30,14.9 to 24.4,1.22 to 2.16,329 to 486,Medium-Cu regime: operate near historical median band and monitor Cu trend closely. Free CN is in the lower historical range.
2025-01-15,Medium Cu,Normal,9078.4302,372.28323455956314,1219.96875,355.875,4.4159375,4.0600625,2.7031105003153515,24.54,81.23141556427326,12.8 to 29.4,1.29 to 2.81,347 to 597,30,12.1 to 26.7,1.29 to 2.24,325 to 465,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-16,Medium Cu,Normal,6530.241570469501,200.37208872391992,1186.78125,451.65625,4.5218750000000005,4.07021875,4.440877062058671,29.0,82.75234621125969,12.8 to 29.4,1.29 to 2.81,347 to 597,30,8.3 to 22.1,1.13 to 2.87,323 to 484,Medium-Cu regime: operate near historical median band and monitor Cu trend closely. Specific NaCN is already in the upper historical range.
2025-01-17,Medium Cu,Normal,9656.380827523106,234.95531369639338,1165.09375,580.53125,4.748125,4.16759375,1.6983588668392084,16.4,78.8719431860514,12.8 to 29.4,1.29 to 2.81,347 to 597,30,12.1 to 21.2,0.99 to 2.28,436 to 608,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-18,Medium Cu,Normal,11827.843342491684,334.20108297662733,1253.78125,427.875,4.8975,4.469625,1.4372865371768389,17.0,82.53587865136848,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.4 to 28.8,1.23 to 2.44,366 to 521,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-19,Medium Cu,Normal,10851.085521338264,552.254755381753,1351.4375,406.53125,5.188437499999999,4.781906249999999,2.2117602845176068,24.0,80.23349053350091,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.4 to 28.8,1.23 to 2.65,357 to 521,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-20,Medium Cu,Normal,14634.465314931611,432.790955227524,1355.0625,466.75,5.314687500000001,4.8479375000000005,1.298305034801252,19.0,72.55624247292751,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.4 to 28.0,1.23 to 2.32,352 to 530,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-21,Medium Cu,Normal,13057.241620118302,172.4533652396672,1303.6875,532.21875,5.198125,4.66590625,1.225373663557513,16.0,72.60004029723375,12.8 to 29.4,1.29 to 2.81,347 to 597,30,13.7 to 28.0,1.22 to 2.16,387 to 541,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-22,Medium Cu,Normal,13459.378438654961,123.9056880437269,1197.875,885.40625,5.4690625,4.58365625,1.1516133579753156,15.5,80.37024957904451,12.8 to 29.4,1.29 to 2.81,347 to 597,30,13.9 to 26.0,1.11 to 2.05,583 to 752,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-01-23,Medium Cu,Normal,14803.328800000001,294.04683422631564,1154.90625,738.75,5.2234375,4.4846875,0.5404189900855272,8.0,78.37714501143867,12.8 to 29.4,1.29 to 2.81,347 to 597,30,14.8 to 23.6,1.01 to 1.75,502 to 676,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
