date,cu_regime,free_cn_status,support_position,throughput_tpd,cu_solution_ppm_avg,free_cn_ppm_avg,wad_gpl_avg,complexed_cn_gpl_avg,specific_nacn_kgpt,nacn_consumption_tpd,recovery_au_pct,regime_free_cn_band,support_analogue_count,support_specific_nacn_band,support_nacn_tpd_band,support_free_cn_p50,support_recovery_p50,support_comment
2025-11-28,High Cu,Low Free CN,High dose / high complexation risk,12375.184500000001,6099.4375,168.3125,16.866875,16.6985625,5.7780956720281615,71.505,80.5879314132482,186 to 422,20,2.78 to 5.26,37.5 to 63.9,412.359375,79.03062304370931,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated.
2025-11-29,High Cu,Low Free CN,High dose / high complexation risk,3711.6765,6570.0,32.0,16.299999999999997,16.267999999999997,8.256376869050953,30.645,68.13461035509305,186 to 422,20,3.27 to 5.51,35.2 to 63.9,397.484375,79.71554754380918,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated. Recovery is currently in the lower historical range.
2025-11-25,High Cu,Normal Free CN,High dose / high complexation risk,14910.1785,5182.75,318.6875,15.462499999999999,15.1438125,5.521396004749372,82.32499999999999,72.07836457203084,186 to 422,20,2.77 to 4.60,37.5 to 62.5,412.359375,79.3776324877339,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated.
2025-11-27,High Cu,Low Free CN,High dose / high complexation risk,14773.4685,5724.5625,114.8125,15.2540625,15.13925,6.914422296971087,102.15,77.93121643432994,186 to 422,20,2.78 to 4.78,37.5 to 63.9,412.359375,79.3776324877339,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated.
2025-11-23,High Cu,Normal Free CN,High dose / high complexation risk,15021.4995,5168.375,193.96875,14.539955357142858,14.345986607142859,4.611057637754473,69.265,63.648346751077554,186 to 422,20,2.77 to 4.60,37.5 to 62.5,412.359375,79.3776324877339,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated. Recovery is currently in the lower historical range.
2025-12-03,High Cu,Low Free CN,High dose / high complexation risk,8805.1005,5559.0,31.916666666666668,13.767083333333332,13.735166666666665,6.675676217437836,58.78,58.45295978440057,186 to 422,20,2.78 to 5.26,37.5 to 63.9,412.359375,79.03062304370931,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated. Recovery is currently in the lower historical range.
2026-02-06,High Cu,High Free CN,High dose / high complexation risk,13650.5068,4648.59375,429.75,14.1321875,13.7024375,6.256177975751054,45.4,60.797324222589346,186 to 422,20,3.12 to 4.33,30.7 to 57.6,308.71875,77.85646338743865,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated. Recovery is currently in the lower historical range.
2025-11-22,High Cu,Low Free CN,High dose / high complexation risk,7050.33,5090.25,101.33333333333334,13.710833333333333,13.6095,8.640021105395066,60.915,69.02724493947271,186 to 422,20,2.78 to 5.26,35.2 to 62.5,412.359375,79.71554754380918,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated. Recovery is currently in the lower historical range.
2025-11-21,High Cu,Low Free CN,High dose / high complexation risk,16024.365,4911.6875,130.375,13.31375,13.183375,6.091661042418843,97.61500000000001,74.82696835970319,186 to 422,20,2.77 to 4.60,37.5 to 62.5,412.359375,79.3776324877339,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated.
2026-02-05,High Cu,Low Free CN,High dose / high complexation risk,13702.2984,4634.285714285714,150.89285714285714,12.814999999999998,12.66410714285714,6.626625501018136,45.4,65.46646772435525,186 to 422,20,3.13 to 4.42,30.7 to 60.9,296.53125,77.61002140517411,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated. Recovery is currently in the lower historical range.
