date,cu_regime,free_cn_status,support_position,throughput_tpd,cu_solution_ppm_avg,free_cn_ppm_avg,wad_gpl_avg,complexed_cn_gpl_avg,specific_nacn_kgpt,nacn_consumption_tpd,recovery_au_pct,regime_free_cn_band,support_analogue_count,support_specific_nacn_band,support_nacn_tpd_band,support_free_cn_p50,support_recovery_p50,support_comment
2025-11-26,High Cu,Low Free CN,Potentially under-dosed,17137.575,5407.75,153.3125,14.7678125,14.6145,2.516692122426889,43.129999999999995,74.3311127595373,186 to 422,20,2.77 to 4.78,37.5 to 63.9,403.0625,79.03062304370931,High-Cu regime: maintaining free CN is likely to be difficult. Current specific NaCN is below the historical supported range while free CN is low. Complexed/WAD cyanide is elevated.
2026-02-12,High Cu,Low Free CN,Potentially under-dosed,5963.782,3211.25,165.5,9.225,9.0595,2.4741011660050614,3.405,46.42165797053686,186 to 422,20,2.85 to 4.78,30.2 to 58.7,393.5625,77.18486777647709,High-Cu regime: maintaining free CN is likely to be difficult. Current specific NaCN is below the historical supported range while free CN is low. Recovery is currently in the lower historical range.
2025-06-28,Medium Cu,Low Free CN,Potentially under-dosed,10015.583999999999,1475.7500000000002,343.375,5.075833333333334,4.732458333333334,1.0982884273148725,11.0,86.13763640417437,347 to 597,20,1.22 to 2.71,16.8 to 29.7,480.515625,79.34363618866152,Medium-Cu regime: free CN support should be monitored closely. Current specific NaCN is below the historical supported range while free CN is low.
2025-01-11,Medium Cu,Low Free CN,Potentially under-dosed,4485.8351999999995,1167.3333333333333,308.5,4.181666666666667,3.8731666666666666,0.0,0.0,61.77446626762414,347 to 597,20,1.17 to 3.00,8.0 to 24.1,464.46875,80.67989209589898,Medium-Cu regime: free CN support should be monitored closely. Current specific NaCN is below the historical supported range while free CN is low. Recovery is currently in the lower historical range.
2025-07-25,Medium Cu,Low Free CN,Potentially under-dosed,3121.075,1078.6666666666667,224.16666666666666,3.560833333333333,3.3366666666666664,0.0,0.0,80.1242886950973,347 to 597,20,1.36 to 2.83,9.7 to 25.7,464.46875,80.67989209589898,Medium-Cu regime: free CN support should be monitored closely. Current specific NaCN is below the historical supported range while free CN is low.
2025-04-29,Medium Cu,Low Free CN,Potentially under-dosed,5328.1866,943.6666666666667,321.6666666666667,3.586666666666667,3.265,1.065090325477715,5.675,77.50422303709004,347 to 597,20,1.22 to 2.38,14.4 to 24.1,485.046875,79.21184656357337,Medium-Cu regime: free CN support should be monitored closely. Current specific NaCN is below the historical supported range while free CN is low.
2025-05-30,Low Cu,Low Free CN,Potentially under-dosed,2310.9506,842.75,275.75,3.45,3.1742500000000002,0.9822797596798477,2.27,80.46470525710274,427 to 693,20,1.00 to 2.08,5.3 to 14.2,682.609375,80.86408749515323,Low-Cu regime: free CN is generally easier to support. Current specific NaCN is below the historical supported range while free CN is low.
2025-05-31,Low Cu,Low Free CN,Potentially under-dosed,1989.3774,822.0,215.75,3.22875,3.013,0.0,0.0,64.16127627182887,427 to 693,20,1.00 to 2.04,7.4 to 16.0,641.234375,80.86408749515323,Low-Cu regime: free CN is generally easier to support. Current specific NaCN is below the historical supported range while free CN is low. Recovery is currently in the lower historical range.
2025-06-03,Low Cu,Low Free CN,Potentially under-dosed,5447.7164,778.8125,316.9375,3.19625,2.8793125,1.028871473559086,5.605,87.41950163124159,427 to 693,20,1.12 to 2.04,11.6 to 16.0,570.84375,80.62391829642382,Low-Cu regime: free CN is generally easier to support. Current specific NaCN is below the historical supported range while free CN is low.
2025-06-01,Low Cu,Low Free CN,Potentially under-dosed,11750.7414,759.78125,240.625,3.105625,2.8649999999999998,0.5650707282180509,6.64,71.13944316550285,427 to 693,20,1.05 to 1.54,12.3 to 19.5,538.71875,80.05879452919488,Low-Cu regime: free CN is generally easier to support. Current specific NaCN is below the historical supported range while free CN is low.
2025-06-02,Low Cu,Low Free CN,Potentially under-dosed,11515.7456,745.5,257.25,3.0293750000000004,2.7721250000000004,0.5852855936657718,6.74,79.06604429243185,427 to 693,20,1.05 to 1.55,12.3 to 19.5,538.71875,79.7031181041555,Low-Cu regime: free CN is generally easier to support. Current specific NaCN is below the historical supported range while free CN is low.
2025-07-16,Low Cu,Low Free CN,Potentially under-dosed,13469.5145,719.59375,426.34375,3.0406250000000004,2.6142812500000003,0.8025530541579653,10.809999999999999,76.92372391657317,427 to 693,20,0.85 to 1.46,12.4 to 21.2,545.75,79.26138934789853,Low-Cu regime: free CN is generally easier to support. Current specific NaCN is below the historical supported range while free CN is low.
2025-02-13,Low Cu,Low Free CN,Potentially under-dosed,11121.6026,706.6785714285714,405.17857142857144,3.0285714285714285,2.623392857142857,1.0789811892757255,12.0,76.22733651839343,427 to 693,20,1.12 to 2.19,14.5 to 24.1,556.375,79.30543860294182,Low-Cu regime: free CN is generally easier to support. Current specific NaCN is below the historical supported range while free CN is low.
2025-02-26,Low Cu,Low Free CN,Potentially under-dosed,8853.7204,705.5416666666666,302.66666666666663,2.7824999999999998,2.479833333333333,0.45178747682160825,4.0,77.18585120230938,427 to 693,20,0.93 to 1.89,11.0 to 18.5,538.7395833333334,80.17255269528522,Low-Cu regime: free CN is generally easier to support. Current specific NaCN is below the historical supported range while free CN is low.
2025-06-17,Low Cu,Low Free CN,Potentially under-dosed,5145.389999999999,679.75,229.4375,2.82625,2.5968125,0.8687388128013621,4.47,84.78864031343831,427 to 693,20,1.05 to 2.04,8.0 to 16.0,570.84375,80.86408749515323,Low-Cu regime: free CN is generally easier to support. Current specific NaCN is below the historical supported range while free CN is low.
2025-06-16,Low Cu,Low Free CN,Potentially under-dosed,13798.56,662.21875,360.5625,2.99125,2.6306875,0.3239468466274742,4.47,,427 to 693,20,0.92 to 1.36,12.5 to 19.7,622.9375,79.62352382120218,Low-Cu regime: free CN is generally easier to support. Current specific NaCN is below the historical supported range while free CN is low.
2025-08-07,Low Cu,Low Free CN,Potentially under-dosed,7454.366,554.8333333333334,377.25,2.682916666666667,2.3056666666666668,0.6090390517449774,4.54,82.55852663145956,427 to 693,20,0.96 to 1.89,8.8 to 16.0,545.546875,80.53021436786076,Low-Cu regime: free CN is generally easier to support. Current specific NaCN is below the historical supported range while free CN is low.
2025-08-06,Low Cu,Low Free CN,Potentially under-dosed,11674.25,537.5625,394.4375,2.628125,2.2336875,0.42829303809666575,5.0,76.22080411720702,427 to 693,20,0.94 to 1.54,12.4 to 18.6,535.09375,79.44642134228127,Low-Cu regime: free CN is generally easier to support. Current specific NaCN is below the historical supported range while free CN is low.
