date,cu_regime,free_cn_status,support_position,throughput_tpd,cu_solution_ppm_avg,free_cn_ppm_avg,wad_gpl_avg,complexed_cn_gpl_avg,specific_nacn_kgpt,nacn_consumption_tpd,recovery_au_pct,regime_free_cn_band,support_analogue_count,support_specific_nacn_band,support_nacn_tpd_band,support_free_cn_p50,support_recovery_p50,support_comment
2025-01-01,Medium Cu,Normal Free CN,Within historical support range,13872.0414,1118.75,432.75,4.199375,3.766625,2.018448416683647,28.0,76.71389706313914,347 to 597,20,1.22 to 2.25,15.8 to 28.9,484.92261904761904,78.39865258950469,Medium-Cu regime: free CN support should be monitored closely. Current dosing and free CN sit within the normal historical support envelope.
2025-01-02,Medium Cu,Normal Free CN,Within historical support range,12805.4052,1239.1785714285716,465.25,4.613214285714285,4.147964285714285,2.1865766496791528,28.0,80.62971691568066,347 to 597,20,1.24 to 2.00,15.3 to 27.4,506.52604166666663,78.2755967172595,Medium-Cu regime: free CN support should be monitored closely. Current dosing and free CN sit within the normal historical support envelope.
2025-01-03,Medium Cu,High Free CN,Possibly over-supported,13264.1838,1266.8125,610.34375,4.9865625,4.37621875,2.7140757805240905,36.0,81.1526191616445,347 to 597,20,1.22 to 2.25,15.8 to 28.9,484.92261904761904,78.39865258950469,Medium-Cu regime: free CN support should be monitored closely. Free CN is strong relative to regime history and dosing may be above what was typically required.
2025-01-04,Medium Cu,High Free CN,Possibly over-supported,11038.5786,1315.607142857143,645.8214285714286,5.213928571428571,4.5681071428571425,2.8989239610976725,32.0,83.48163250945768,347 to 597,20,1.22 to 2.25,14.7 to 28.9,490.221875,78.39865258950469,Medium-Cu regime: free CN support should be monitored closely. Free CN is strong relative to regime history and dosing may be above what was typically required.
2025-01-05,Medium Cu,High Free CN,Possibly over-supported,11847.4524,1385.0625,661.71875,5.4646875,4.80296875,2.025751966726619,24.0,82.35977864997088,347 to 597,20,1.36 to 2.22,16.1 to 27.4,510.296875,79.35849774138418,Medium-Cu regime: free CN support should be monitored closely. Free CN is strong relative to regime history and dosing may be above what was typically required.
2025-01-06,Medium Cu,Normal Free CN,Within historical support range,12205.242,1434.0,544.3125,5.421875,4.8775625,1.2453665400489395,15.2,79.06584499867073,347 to 597,20,1.24 to 2.19,15.8 to 28.0,491.96875,77.1107529822321,Medium-Cu regime: free CN support should be monitored closely. Current dosing and free CN sit within the normal historical support envelope.
2025-01-07,Medium Cu,High Free CN,Possibly over-supported,11263.639799999999,1445.5625,682.59375,5.6078125000000005,4.925218750000001,1.3672312212966895,15.399999999999999,76.60067356706939,347 to 597,20,0.86 to 1.60,11.1 to 17.1,629.5982142857142,78.54854959360469,Medium-Cu regime: free CN support should be monitored closely. Free CN is strong relative to regime history and dosing may be above what was typically required.
2025-01-08,Medium Cu,High Free CN,Possibly over-supported,11768.5848,1275.21875,865.34375,5.3884375,4.52309375,1.3765461417247042,16.2,73.72530768996914,347 to 597,20,0.86 to 1.37,11.1 to 16.4,648.9575892857142,77.8039406648376,Medium-Cu regime: free CN support should be monitored closely. Free CN is strong relative to regime history and dosing may be above what was typically required.
2025-01-09,Medium Cu,Normal Free CN,Within historical support range,12491.8584,1269.0714285714287,523.0,4.903928571428571,4.380928571428571,0.6724379776831284,8.4,77.47612339372272,347 to 597,20,1.04 to 1.70,14.1 to 22.8,611.859375,77.92663420258069,Medium-Cu regime: free CN support should be monitored closely. Current dosing and free CN sit within the normal historical support envelope.
2025-01-10,Medium Cu,Normal Free CN,Within historical support range,3274.929,1183.5,388.375,4.33,3.941625,2.4428010500380313,8.0,84.2169443479963,347 to 597,20,1.17 to 3.00,8.0 to 24.1,468.87574404761904,80.67989209589898,Medium-Cu regime: free CN support should be monitored closely. Current dosing and free CN sit within the normal historical support envelope.
2025-01-11,Medium Cu,Low Free CN,Potentially under-dosed,4485.8351999999995,1167.3333333333333,308.5,4.181666666666667,3.8731666666666666,0.0,0.0,61.77446626762414,347 to 597,20,1.17 to 3.00,8.0 to 24.1,464.46875,80.67989209589898,Medium-Cu regime: free CN support should be monitored closely. Current specific NaCN is below the historical supported range while free CN is low. Recovery is currently in the lower historical range.
2025-01-12,Medium Cu,Normal Free CN,Within historical support range,11272.296,1073.5,356.34375,4.008125,3.6517812499999995,1.774261428195285,20.0,78.14596450746379,347 to 597,20,1.34 to 2.03,13.3 to 25.2,463.78125,78.64712801522056,Medium-Cu regime: free CN support should be monitored closely. Current dosing and free CN sit within the normal historical support envelope.
2025-01-13,Medium Cu,Low Free CN,Watch,13061.244,1115.25,303.46875,4.03125,3.72778125,1.2249981701589834,16.0,79.05487304287395,347 to 597,20,1.22 to 2.25,15.3 to 28.9,484.92261904761904,78.53194574393375,Medium-Cu regime: free CN support should be monitored closely. Conditions should be watched; the day is not a clean fit to the historical support envelope.
2025-01-14,Medium Cu,Low Free CN,Watch,12081.1698,1094.78125,284.0625,3.9387499999999998,3.6546874999999996,1.6554688271991675,20.0,79.934373717704,347 to 597,20,1.22 to 2.44,15.3 to 28.2,480.515625,78.53194574393375,Medium-Cu regime: free CN support should be monitored closely. Conditions should be watched; the day is not a clean fit to the historical support envelope.
2025-01-15,Medium Cu,Normal Free CN,Within historical support range,9078.4302,1219.96875,355.875,4.4159375,4.0600625,2.7031105003153515,24.54,81.23141556427326,347 to 597,20,1.30 to 2.40,12.3 to 27.4,471.265625,79.21184656357337,Medium-Cu regime: free CN support should be monitored closely. Current dosing and free CN sit within the normal historical support envelope.
