cu_regime,support_position,n_days,mean_solution_cu_ppm,mean_specific_nacn,mean_free_cn,mean_complexed_cn,mean_recovery
Low Cu,High dose / high complexation risk,0,,,,,
Low Cu,Possibly over-supported,19,720.55,6.98,844.23,2.84,83.42
Low Cu,Potentially under-dosed,12,709.59,0.64,316.85,2.68,77.83
Low Cu,Watch,39,732.56,1.13,539.17,2.76,78.44
Low Cu,Within historical support range,70,692.11,1.11,551.0,2.68,79.96
Medium Cu,High dose / high complexation risk,0,,,,,
Medium Cu,Possibly over-supported,22,1674.16,2.14,720.33,5.67,74.98
Medium Cu,Potentially under-dosed,4,1166.35,0.54,299.43,3.8,76.39
Medium Cu,Watch,44,1557.61,2.2,448.3,5.02,75.26
Medium Cu,Within historical support range,70,1560.56,2.17,457.38,5.14,75.42
High Cu,High dose / high complexation risk,36,4392.54,6.06,264.41,12.27,70.4
High Cu,Possibly over-supported,13,3378.56,3.95,704.6,10.44,76.41
High Cu,Potentially under-dosed,2,4309.5,2.5,159.41,11.84,60.38
High Cu,Watch,32,3818.24,2.99,381.45,11.03,70.8
High Cu,Within historical support range,57,3694.78,3.34,294.23,10.86,69.77
