date,throughput_tpd,rt_hours_est,nacn_input_tpd,wad_cn_accountability_pct,cu_solution_fraction_pct_est,flag_count,flag_high_cu_solution_fraction,flag_high_wad_accountability,flag_high_specific_nacn,flag_high_rt,flag_low_rt
2025-01-01,13872.041,30.169,28.0,198.977,349.79,2,True,True,False,False,False
2025-01-02,12805.405,32.682,28.0,209.329,316.31,2,True,True,False,False,False
2025-01-03,13264.184,31.551,36.0,182.751,654.094,2,True,True,False,False,False
2025-01-04,11038.579,37.913,32.0,181.25,487.203,2,True,True,False,False,False
2025-01-05,11847.452,35.324,24.0,270.332,412.534,2,True,True,False,False,False
2025-01-06,12205.242,34.289,15.2,439.328,156.043,2,True,True,False,False,False
2025-01-07,11263.64,37.155,15.4,410.593,333.632,2,True,True,False,False,False
2025-01-08,11768.585,35.561,16.2,423.887,1329.93,2,True,True,False,False,False
2025-01-09,12491.858,33.502,8.4,773.73,226.423,2,True,True,False,False,False
2025-01-10,3274.929,127.79,8.0,205.502,834.768,3,True,True,False,True,False
2025-01-11,4485.835,93.294,0.0,,,1,False,False,False,True,False
2025-01-12,11272.296,37.127,20.0,233.971,148.166,2,True,True,False,False,False
2025-01-13,13061.244,32.042,16.0,333.164,291.327,2,True,True,False,False,False
2025-01-14,12081.17,34.641,20.0,241.85,268.738,2,True,True,False,False,False
2025-01-15,9078.43,46.099,24.54,159.307,320.421,2,True,True,False,False,False
2025-01-16,6530.242,64.087,29.0,103.414,616.54,2,True,True,False,False,False
2025-01-17,9656.381,43.34,16.4,277.842,506.798,2,True,True,False,False,False
2025-01-18,11827.843,35.383,17.0,332.919,368.566,2,True,True,False,False,False
2025-01-19,10851.086,38.568,24.0,234.824,236.825,2,True,True,False,False,False
2025-01-20,14634.465,28.597,19.0,403.411,306.615,2,True,True,False,False,False
2025-01-21,13057.242,32.051,16.0,424.564,783.618,2,True,True,False,False,False
2025-01-22,13459.378,31.094,15.5,472.923,983.914,2,True,True,False,False,False
2025-01-23,14803.329,28.271,8.0,1017.498,410.649,2,True,True,False,False,False
2025-01-24,7972.934,52.49,16.0,244.483,104.914,2,True,True,False,False,False
2025-01-25,14648.57,28.57,20.0,342.136,379.03,2,True,True,False,False,False
2025-01-26,11894.44,35.185,12.0,466.981,173.756,2,True,True,False,False,False
2025-01-27,14927.518,28.036,20.0,357.701,308.547,2,True,True,False,False,False
2025-01-28,14361.98,29.14,24.0,283.2,133.549,2,True,True,False,False,False
2025-01-29,13638.818,30.685,24.0,250.187,942.279,2,True,True,False,False,False
2025-01-30,13598.696,30.775,32.0,200.634,434.776,2,True,True,False,False,False
2025-01-31,10475.82,39.949,8.0,625.93,138.261,2,True,True,False,False,False
2025-02-01,12038.691,34.763,16.0,366.898,1125.083,2,True,True,False,False,False
2025-02-02,12606.139,33.198,16.0,379.647,610.721,2,True,True,False,False,False
2025-02-03,13415.278,31.196,12.0,467.159,594.549,2,True,True,False,False,False
2025-02-04,10628.668,39.375,8.0,537.412,329.109,2,True,True,False,False,False
2025-02-05,8676.99,48.231,16.0,231.893,549.001,2,True,True,False,False,False
2025-02-06,7164.75,58.411,12.0,241.412,1070.95,2,True,True,False,False,False
2025-02-07,40.123,10430.603,4.0,3.932,897.06,3,True,False,True,True,False
2025-02-09,629.543,664.773,0.0,,904.151,2,True,False,False,True,False
2025-02-10,12256.499,34.145,12.0,347.906,403.069,2,True,True,False,False,False
2025-02-11,12047.288,34.738,12.0,328.54,344.987,2,True,True,False,False,False
2025-02-12,12244.08,34.18,16.0,251.004,207.086,2,True,True,False,False,False
2025-02-13,11121.603,37.63,12.0,302.004,752.495,2,True,True,False,False,False
2025-02-14,12449.47,33.616,20.0,201.37,301.63,2,True,True,False,False,False
2025-02-15,7895.554,53.005,16.0,171.164,425.217,2,True,True,False,False,False
2025-02-16,634.319,659.767,4.0,54.869,336.949,3,True,False,True,True,False
2025-02-17,546.432,765.883,0.0,,,1,False,False,False,True,False
2025-02-18,9461.291,44.233,20.0,169.154,226.065,2,True,True,False,False,False
2025-02-19,13402.859,31.225,4.0,1113.694,233.149,2,True,True,False,False,False
2025-02-20,15176.851,27.575,8.0,638.851,255.361,2,True,True,False,False,False
2025-02-21,15609.602,26.811,8.0,614.14,209.944,2,True,True,False,False,False
2025-02-22,12027.227,34.796,8.0,459.54,164.101,2,True,True,False,False,False
2025-02-23,12529.715,33.401,17.0,215.124,266.919,2,True,True,False,False,False
2025-02-24,14892.172,28.102,18.0,248.306,232.113,2,True,True,False,False,False
2025-02-25,7481.91,55.935,4.0,564.417,377.083,2,True,True,False,False,False
2025-02-26,8853.72,47.269,4.0,685.794,267.569,2,True,True,False,False,False
2025-02-27,5191.1,80.619,11.0,135.441,788.789,3,True,True,False,True,False
