date,throughput_tpd,solids_tpd_est,water_m3d_est,slurry_m3d_est,rt_hours_est,nacn_input_tpd,specific_nacn_kgpt,nacn_solution_tpd_30pct,cu_ppm_tk_8_s,cu_sol_tk8_gpd_est,cu_solution_fraction_pct_est,free_cn_out_kgd_est,wad_cn_out_kgd_est,complexed_cn_out_kgd_est,free_cn_accountability_pct,wad_cn_accountability_pct,complexed_cn_accountability_pct,free_cn_inventory_t_est,wad_cn_inventory_t_est,complexed_cn_inventory_t_est,au_feed_gpd,au_tail_gpd,au_extracted_gpd,au_recovery_calc_pct,ag_feed_gpd,ag_tail_gpd,ag_extracted_gpd,ag_recovery_calc_pct,cu_feed_gpd,flag_high_cu_solution_fraction,flag_high_wad_accountability,flag_high_specific_nacn,flag_high_rt,flag_low_rt,flag_count
2025-01-01,13872.041,13872.041,13872.041,19009.835,30.169,28.0,2.018,93.333,1133.375,15722224.922,349.79,3913.65,55713.586,51799.937,13.977,198.977,185.0,5.17,50.174,45.004,27719.056,6454.688,21264.368,76.714,962276.417,451195.769,511080.648,53.112,4494758.816,True,True,False,False,False,2
2025-01-02,12805.405,12805.405,12805.405,17548.148,32.682,28.0,2.187,93.333,1255.143,16072612.87,316.31,5312.414,58612.169,53299.755,18.973,209.329,190.356,5.559,55.119,49.56,28110.367,5445.058,22665.309,80.63,768523.957,282270.988,486252.969,63.271,5081282.328,True,True,False,False,False,2
2025-01-03,13264.184,13264.184,13264.184,18176.844,31.551,36.0,2.714,120.0,1293.0,17150589.653,654.094,6758.102,65790.352,59032.25,18.773,182.751,163.978,7.292,59.579,52.287,29314.533,5525.022,23789.511,81.153,723743.25,265736.684,458006.567,63.283,2622038.742,True,True,False,False,False,2
2025-01-04,11038.579,11038.579,11038.579,15126.941,37.913,32.0,2.899,106.667,1362.429,15039274.873,487.203,6187.912,57999.846,51811.934,19.337,181.25,161.912,7.716,62.296,54.58,29102.915,4807.326,24295.589,83.482,576689.975,177726.213,398963.762,69.182,3086860.643,True,True,False,False,False,2
2025-01-05,11847.452,11847.452,11847.452,16235.398,35.324,24.0,2.026,80.0,1352.75,16026641.234,412.534,8707.878,64879.611,56171.734,36.283,270.332,234.049,7.906,65.292,57.386,27688.37,4884.29,22804.08,82.36,511071.041,172868.161,338202.88,66.175,3884929.578,True,True,False,False,False,2
2025-01-06,12205.242,12205.242,12205.242,16725.702,34.289,15.2,1.245,50.667,1445.25,17639626.0,156.043,6343.675,66777.93,60434.256,41.735,439.328,397.594,6.503,64.781,58.277,22228.562,4653.362,17575.2,79.066,467397.106,184615.586,282781.52,60.501,11304319.942,True,True,False,False,False,2
2025-01-07,11263.64,11263.64,11263.64,15435.358,37.155,15.4,1.367,51.333,1511.0,17019359.738,333.632,5662.795,63231.258,57568.463,36.771,410.593,373.821,8.156,67.002,58.847,18229.265,4265.525,13963.74,76.601,460981.463,230721.393,230260.07,49.95,5101239.313,True,True,False,False,False,2
2025-01-08,11768.585,11768.585,11768.585,16127.32,35.561,16.2,1.377,54.0,1386.375,16315671.752,1329.93,10922.718,68669.692,57746.975,67.424,423.887,356.463,10.339,64.381,54.042,18480.357,4855.657,13624.7,73.725,371227.172,161706.472,209520.7,56.44,1226806.913,True,True,False,False,False,2
2025-01-09,12491.858,12491.858,12491.858,17118.473,33.502,8.4,0.672,28.0,1278.714,15973517.791,226.423,8417.728,64993.355,56575.627,100.211,773.73,673.519,6.249,58.592,52.343,22738.812,5121.662,17617.15,77.476,569753.393,287312.743,282440.65,49.572,7054721.681,True,True,False,False,False,2
2025-01-10,3274.929,3274.929,3274.929,4487.866,127.79,8.0,2.443,26.667,1340.5,4390042.324,834.768,1427.869,16440.144,15012.275,17.848,205.502,187.653,4.64,51.735,47.095,7469.874,1178.974,6290.9,84.217,153305.293,55673.793,97631.5,63.684,525899.868,True,True,False,True,False,3
2025-01-11,4485.835,4485.835,4485.835,6147.256,93.294,0.0,0.0,0.0,1324.667,5942236.362,,1131.926,20709.606,19577.68,,,,3.686,49.963,46.277,6806.404,2601.784,4204.62,61.774,144028.809,85230.869,58797.94,40.824,,False,False,False,True,False,1
