date,throughput_tpd,solids_tpd_est,water_m3d_est,slurry_m3d_est,rt_hours_est,nacn_input_tpd,specific_nacn_kgpt,nacn_solution_tpd_30pct,cu_ppm_tk_8_s,cu_sol_tk8_gpd_est,cu_solution_fraction_pct_est,free_cn_out_kgd_est,wad_cn_out_kgd_est,complexed_cn_out_kgd_est,free_cn_accountability_pct,wad_cn_accountability_pct,complexed_cn_accountability_pct,free_cn_inventory_t_est,wad_cn_inventory_t_est,complexed_cn_inventory_t_est,au_feed_gpd,au_tail_gpd,au_extracted_gpd,au_recovery_calc_pct,ag_feed_gpd,ag_tail_gpd,ag_extracted_gpd,ag_recovery_calc_pct,cu_feed_gpd
2025-01-31,11617.73,11617.73,11617.73,15920.593,40.495,19.117,1.696,63.725,1260.106,14610096.259,431.934,5659.881,56664.055,51004.175,36.575,343.421,306.846,6.098,56.96,50.862,23215.141,4949.537,18265.604,78.445,473007.551,221569.646,251437.905,52.793,4999946.934
2025-02-28,9753.507,9753.507,9753.507,13365.917,497.507,11.111,4.929,37.037,774.46,7775962.704,486.221,5961.293,35216.08,29254.787,61.249,356.371,295.122,7.359,40.578,33.219,22916.839,4656.08,18260.759,80.754,309620.841,134276.688,175344.153,58.301,2185143.724
2025-03-31,11976.544,11976.544,11976.544,16412.302,39.527,13.122,1.112,43.74,758.646,9094493.214,21250.965,6668.533,41334.605,34666.072,61.961,391.106,329.146,6.902,40.566,33.664,24464.23,4938.114,19526.116,79.599,386824.525,165964.133,220860.392,56.997,3100672.103
2025-04-30,10795.605,10795.605,10795.605,14793.977,67.128,11.624,1.146,38.747,669.429,7221480.185,247.965,6256.759,34797.181,28540.422,57.562,325.003,267.441,6.984,37.39,30.406,19183.549,3255.553,15927.995,79.934,310298.764,113060.974,197237.789,60.816,3551773.372
2025-05-31,10484.73,10484.73,10484.73,14367.963,52.454,14.157,1.371,47.189,882.656,9342653.357,369.891,6420.732,41107.262,34686.531,67.083,383.611,316.528,6.875,44.674,37.799,16132.607,3785.014,12347.593,76.314,238972.744,129556.238,109416.507,47.774,4257314.394
2025-06-30,10121.055,10121.055,10121.055,13869.594,46.572,12.291,1.226,40.97,961.792,9778922.37,250.779,4673.077,38999.118,34326.041,63.022,459.99,396.967,5.558,45.01,39.452,9547.551,2647.713,10919.859,80.325,241467.858,115971.538,227166.998,65.675,7156120.991
2025-07-31,8213.459,8213.459,8213.459,11255.481,74.899,11.82,1.808,39.4,954.18,7572768.47,616.21,4258.209,31620.829,27362.62,65.306,397.895,332.589,5.993,44.706,38.714,17755.342,4314.506,13440.836,75.772,372960.023,182843.855,190116.168,53.034,2572716.482
2025-08-31,10005.367,10005.367,10005.367,13711.058,46.777,16.907,1.67,56.356,1102.223,11222456.923,271.271,4030.867,41857.131,37826.265,37.805,307.068,269.263,5.104,48.401,43.297,24096.151,5239.584,18856.567,79.422,447038.371,176428.852,270609.519,61.922,6584747.279
2025-09-30,13065.271,13065.271,13065.271,17904.26,34.223,42.406,3.46,141.353,2577.958,33820551.354,278.96,6331.682,111965.026,105633.344,18.158,292.262,274.105,6.243,99.035,92.792,30506.317,8981.466,21524.851,71.084,621908.796,326917.547,294991.248,48.345,18114020.611
2025-10-31,13859.289,13859.289,13859.289,18992.359,33.973,33.105,2.44,110.35,2633.155,36558927.19,686.272,8168.199,124352.08,116183.88,40.071,520.018,479.948,7.353,103.684,96.331,29980.542,6490.095,23490.447,78.3,421706.074,214695.217,207010.857,48.682,10503115.467
2025-11-30,13858.534,13858.534,13858.534,18991.324,34.895,57.518,4.446,191.727,4481.117,61171159.132,343.899,4801.639,178112.596,173310.957,13.095,370.772,357.676,3.822,149.647,145.825,34504.003,7955.686,26548.317,76.563,504989.088,230159.125,274829.963,53.472,24084369.472
2025-12-31,13293.485,13293.485,13293.485,18216.998,35.176,48.584,3.897,161.948,4394.511,57302788.149,373.467,3568.914,163681.778,160112.864,9.73,441.317,431.587,3.538,144.943,141.405,27395.438,8418.511,18976.927,69.197,468684.771,301361.248,167323.523,35.37,22513177.301
2026-01-31,14888.114,14888.114,14888.114,20402.23,29.248,26.038,3.713,86.793,4250.906,63283924.704,559.66,4093.843,184923.755,180829.912,21.778,984.172,962.394,3.615,145.707,142.092,24705.766,6943.059,17762.707,70.403,543983.122,263525.555,280457.567,52.554,18915254.56
2026-02-28,12314.814,12314.814,12314.814,16875.857,37.194,22.454,3.898,74.846,3433.849,42754270.514,269.84,2794.221,124757.761,121963.541,23.817,792.092,768.275,3.316,119.143,115.827,19147.712,6801.163,12346.549,63.723,534390.92,309130.249,225260.67,41.184,18553304.081
2026-03-31,12431.594,12431.594,12431.594,17035.888,34.397,23.237,4.172,77.456,3614.628,45016490.318,242.303,3602.138,134359.615,130757.477,19.16,683.802,664.642,4.364,126.632,122.268,16273.202,6090.757,10182.445,62.789,501202.153,278287.462,222914.692,45.169,19357351.089
