target,term,coef,p_value,r2,n
recovery_au_pct,const,76.166,0.0,0.349,359
recovery_au_pct,free_cn_ppm_avg,0.223,0.545,0.349,359
recovery_au_pct,do_avg,-0.322,0.374,0.349,359
recovery_au_pct,free_cn_do_interaction_z,0.223,0.507,0.349,359
recovery_au_pct,cu_solution_ppm_avg,-2.182,0.0,0.349,359
recovery_au_pct,rt_hours,0.554,0.176,0.349,359
recovery_au_pct,throughput_tpd,0.364,0.424,0.349,359
recovery_au_pct,ph_tk_8_s,0.089,0.786,0.349,359
recovery_au_pct,year,-2.724,0.0,0.349,359
cu_solution_ppm_avg,const,1862.677,0.0,0.485,359
cu_solution_ppm_avg,free_cn_ppm_avg,-271.833,0.0,0.485,359
cu_solution_ppm_avg,do_avg,-26.228,0.638,0.485,359
cu_solution_ppm_avg,free_cn_do_interaction_z,48.445,0.35,0.485,359
cu_solution_ppm_avg,rt_hours,126.489,0.044,0.485,359
cu_solution_ppm_avg,throughput_tpd,474.513,0.0,0.485,359
cu_solution_ppm_avg,ph_tk_8_s,-51.399,0.309,0.485,359
cu_solution_ppm_avg,year,560.509,0.0,0.485,359
wad_cn_ppm_avg,const,6371.18,0.0,0.991,359
wad_cn_ppm_avg,free_cn_ppm_avg,421.163,0.0,0.991,359
wad_cn_ppm_avg,do_avg,-2.16,0.912,0.991,359
wad_cn_ppm_avg,free_cn_do_interaction_z,-1.711,0.925,0.991,359
wad_cn_ppm_avg,cu_solution_ppm_avg,3617.151,0.0,0.991,359
wad_cn_ppm_avg,rt_hours,-14.024,0.525,0.991,359
wad_cn_ppm_avg,throughput_tpd,8.592,0.726,0.991,359
wad_cn_ppm_avg,ph_tk_8_s,3.552,0.841,0.991,359
wad_cn_ppm_avg,year,-16.006,0.486,0.991,359
complexed_cn_ppm_avg,const,5895.081,0.0,0.992,359
complexed_cn_ppm_avg,free_cn_ppm_avg,214.476,0.0,0.992,359
complexed_cn_ppm_avg,do_avg,-2.16,0.912,0.992,359
complexed_cn_ppm_avg,free_cn_do_interaction_z,-1.711,0.925,0.992,359
complexed_cn_ppm_avg,cu_solution_ppm_avg,3617.151,0.0,0.992,359
complexed_cn_ppm_avg,rt_hours,-14.024,0.525,0.992,359
complexed_cn_ppm_avg,throughput_tpd,8.592,0.726,0.992,359
complexed_cn_ppm_avg,ph_tk_8_s,3.552,0.841,0.992,359
complexed_cn_ppm_avg,year,-16.006,0.486,0.992,359
nacn_consumption_tpd,const,21.358,0.0,0.545,359
nacn_consumption_tpd,free_cn_ppm_avg,-1.329,0.025,0.545,359
nacn_consumption_tpd,do_avg,0.43,0.459,0.545,359
nacn_consumption_tpd,free_cn_do_interaction_z,-1.138,0.036,0.545,359
nacn_consumption_tpd,cu_solution_ppm_avg,10.074,0.0,0.545,359
nacn_consumption_tpd,rt_hours,-0.128,0.846,0.545,359
nacn_consumption_tpd,throughput_tpd,4.144,0.0,0.545,359
nacn_consumption_tpd,ph_tk_8_s,0.149,0.778,0.545,359
nacn_consumption_tpd,year,-6.251,0.0,0.545,359
specific_nacn_kgpt,const,2.144,0.0,0.517,359
specific_nacn_kgpt,free_cn_ppm_avg,-0.108,0.062,0.517,359
specific_nacn_kgpt,do_avg,0.039,0.497,0.517,359
specific_nacn_kgpt,free_cn_do_interaction_z,-0.035,0.505,0.517,359
specific_nacn_kgpt,cu_solution_ppm_avg,0.823,0.0,0.517,359
specific_nacn_kgpt,rt_hours,0.069,0.283,0.517,359
specific_nacn_kgpt,throughput_tpd,-0.223,0.002,0.517,359
specific_nacn_kgpt,ph_tk_8_s,0.025,0.626,0.517,359
specific_nacn_kgpt,year,0.265,0.0,0.517,359
