lag_records,lagged_variable,target,correlation_r,abs_r,n
0,cu_solution_ppm_avg,nacn_consumption_tpd,0.583,0.583,359
0,cu_solution_ppm_avg,specific_nacn_kgpt,0.669,0.669,359
0,cu_solution_ppm_avg,recovery_au_pct,-0.51,0.51,359
0,cu_solution_ppm_avg,wad_cn_ppm_avg,0.989,0.989,359
0,wad_cn_ppm_avg,nacn_consumption_tpd,0.581,0.581,359
0,wad_cn_ppm_avg,specific_nacn_kgpt,0.641,0.641,359
0,wad_cn_ppm_avg,recovery_au_pct,-0.495,0.495,359
0,wad_cn_ppm_avg,cu_solution_ppm_avg,0.989,0.989,359
0,complexed_cn_ppm_avg,nacn_consumption_tpd,0.582,0.582,359
0,complexed_cn_ppm_avg,specific_nacn_kgpt,0.652,0.652,359
0,complexed_cn_ppm_avg,recovery_au_pct,-0.503,0.503,359
0,complexed_cn_ppm_avg,cu_solution_ppm_avg,0.994,0.994,359
0,complexed_cn_ppm_avg,wad_cn_ppm_avg,0.998,0.998,359
0,free_cn_ppm_avg,nacn_consumption_tpd,-0.193,0.193,359
0,free_cn_ppm_avg,specific_nacn_kgpt,-0.379,0.379,359
0,free_cn_ppm_avg,recovery_au_pct,0.286,0.286,359
0,free_cn_ppm_avg,cu_solution_ppm_avg,-0.393,0.393,359
0,free_cn_ppm_avg,wad_cn_ppm_avg,-0.286,0.286,359
1,cu_solution_ppm_avg,nacn_consumption_tpd,0.547,0.547,358
1,cu_solution_ppm_avg,specific_nacn_kgpt,0.64,0.64,358
1,cu_solution_ppm_avg,recovery_au_pct,-0.52,0.52,358
1,cu_solution_ppm_avg,cu_solution_ppm_avg,0.99,0.99,358
1,cu_solution_ppm_avg,wad_cn_ppm_avg,0.984,0.984,358
1,wad_cn_ppm_avg,nacn_consumption_tpd,0.526,0.526,358
1,wad_cn_ppm_avg,specific_nacn_kgpt,0.596,0.596,358
1,wad_cn_ppm_avg,recovery_au_pct,-0.501,0.501,358
1,wad_cn_ppm_avg,cu_solution_ppm_avg,0.976,0.976,358
1,wad_cn_ppm_avg,wad_cn_ppm_avg,0.979,0.979,358
1,complexed_cn_ppm_avg,nacn_consumption_tpd,0.536,0.536,358
1,complexed_cn_ppm_avg,specific_nacn_kgpt,0.614,0.614,358
1,complexed_cn_ppm_avg,recovery_au_pct,-0.509,0.509,358
1,complexed_cn_ppm_avg,cu_solution_ppm_avg,0.982,0.982,358
1,complexed_cn_ppm_avg,wad_cn_ppm_avg,0.981,0.981,358
1,free_cn_ppm_avg,nacn_consumption_tpd,-0.335,0.335,358
1,free_cn_ppm_avg,specific_nacn_kgpt,-0.487,0.487,358
1,free_cn_ppm_avg,recovery_au_pct,0.29,0.29,358
1,free_cn_ppm_avg,cu_solution_ppm_avg,-0.407,0.407,358
1,free_cn_ppm_avg,wad_cn_ppm_avg,-0.345,0.345,358
2,cu_solution_ppm_avg,nacn_consumption_tpd,0.514,0.514,357
2,cu_solution_ppm_avg,specific_nacn_kgpt,0.614,0.614,357
2,cu_solution_ppm_avg,recovery_au_pct,-0.53,0.53,357
2,cu_solution_ppm_avg,cu_solution_ppm_avg,0.978,0.978,357
2,cu_solution_ppm_avg,wad_cn_ppm_avg,0.971,0.971,357
2,wad_cn_ppm_avg,nacn_consumption_tpd,0.502,0.502,357
2,wad_cn_ppm_avg,specific_nacn_kgpt,0.586,0.586,357
2,wad_cn_ppm_avg,recovery_au_pct,-0.512,0.512,357
2,wad_cn_ppm_avg,cu_solution_ppm_avg,0.965,0.965,357
2,wad_cn_ppm_avg,wad_cn_ppm_avg,0.964,0.964,357
2,complexed_cn_ppm_avg,nacn_consumption_tpd,0.51,0.51,357
2,complexed_cn_ppm_avg,specific_nacn_kgpt,0.601,0.601,357
2,complexed_cn_ppm_avg,recovery_au_pct,-0.519,0.519,357
2,complexed_cn_ppm_avg,cu_solution_ppm_avg,0.971,0.971,357
2,complexed_cn_ppm_avg,wad_cn_ppm_avg,0.967,0.967,357
2,free_cn_ppm_avg,nacn_consumption_tpd,-0.29,0.29,357
2,free_cn_ppm_avg,specific_nacn_kgpt,-0.431,0.431,357
2,free_cn_ppm_avg,recovery_au_pct,0.278,0.278,357
2,free_cn_ppm_avg,cu_solution_ppm_avg,-0.403,0.403,357
2,free_cn_ppm_avg,wad_cn_ppm_avg,-0.364,0.364,357
3,cu_solution_ppm_avg,nacn_consumption_tpd,0.498,0.498,356
3,cu_solution_ppm_avg,specific_nacn_kgpt,0.605,0.605,356
3,cu_solution_ppm_avg,recovery_au_pct,-0.541,0.541,356
3,cu_solution_ppm_avg,cu_solution_ppm_avg,0.966,0.966,356
3,cu_solution_ppm_avg,wad_cn_ppm_avg,0.958,0.958,356
3,wad_cn_ppm_avg,nacn_consumption_tpd,0.492,0.492,356
3,wad_cn_ppm_avg,specific_nacn_kgpt,0.59,0.59,356
3,wad_cn_ppm_avg,recovery_au_pct,-0.534,0.534,356
3,wad_cn_ppm_avg,cu_solution_ppm_avg,0.952,0.952,356
3,wad_cn_ppm_avg,wad_cn_ppm_avg,0.949,0.949,356
3,complexed_cn_ppm_avg,nacn_consumption_tpd,0.497,0.497,356
3,complexed_cn_ppm_avg,specific_nacn_kgpt,0.602,0.602,356
3,complexed_cn_ppm_avg,recovery_au_pct,-0.539,0.539,356
3,complexed_cn_ppm_avg,cu_solution_ppm_avg,0.959,0.959,356
3,complexed_cn_ppm_avg,wad_cn_ppm_avg,0.954,0.954,356
3,free_cn_ppm_avg,nacn_consumption_tpd,-0.242,0.242,356
3,free_cn_ppm_avg,specific_nacn_kgpt,-0.382,0.382,356
3,free_cn_ppm_avg,recovery_au_pct,0.24,0.24,356
3,free_cn_ppm_avg,cu_solution_ppm_avg,-0.411,0.411,356
3,free_cn_ppm_avg,wad_cn_ppm_avg,-0.389,0.389,356
4,cu_solution_ppm_avg,nacn_consumption_tpd,0.485,0.485,355
4,cu_solution_ppm_avg,specific_nacn_kgpt,0.604,0.604,355
4,cu_solution_ppm_avg,recovery_au_pct,-0.559,0.559,355
4,cu_solution_ppm_avg,cu_solution_ppm_avg,0.955,0.955,355
4,cu_solution_ppm_avg,wad_cn_ppm_avg,0.945,0.945,355
4,wad_cn_ppm_avg,nacn_consumption_tpd,0.479,0.479,355
4,wad_cn_ppm_avg,specific_nacn_kgpt,0.58,0.58,355
4,wad_cn_ppm_avg,recovery_au_pct,-0.554,0.554,355
4,wad_cn_ppm_avg,cu_solution_ppm_avg,0.939,0.939,355
4,wad_cn_ppm_avg,wad_cn_ppm_avg,0.933,0.933,355
4,complexed_cn_ppm_avg,nacn_consumption_tpd,0.48,0.48,355
4,complexed_cn_ppm_avg,specific_nacn_kgpt,0.59,0.59,355
4,complexed_cn_ppm_avg,recovery_au_pct,-0.558,0.558,355
4,complexed_cn_ppm_avg,cu_solution_ppm_avg,0.946,0.946,355
4,complexed_cn_ppm_avg,wad_cn_ppm_avg,0.938,0.938,355
4,free_cn_ppm_avg,nacn_consumption_tpd,-0.18,0.18,355
4,free_cn_ppm_avg,specific_nacn_kgpt,-0.347,0.347,355
4,free_cn_ppm_avg,recovery_au_pct,0.23,0.23,355
4,free_cn_ppm_avg,cu_solution_ppm_avg,-0.408,0.408,355
4,free_cn_ppm_avg,wad_cn_ppm_avg,-0.389,0.389,355
7,cu_solution_ppm_avg,nacn_consumption_tpd,0.488,0.488,352
7,cu_solution_ppm_avg,specific_nacn_kgpt,0.617,0.617,352
7,cu_solution_ppm_avg,recovery_au_pct,-0.577,0.577,352
7,cu_solution_ppm_avg,cu_solution_ppm_avg,0.93,0.93,352
7,cu_solution_ppm_avg,wad_cn_ppm_avg,0.916,0.916,352
7,wad_cn_ppm_avg,nacn_consumption_tpd,0.497,0.497,352
7,wad_cn_ppm_avg,specific_nacn_kgpt,0.603,0.603,352
7,wad_cn_ppm_avg,recovery_au_pct,-0.553,0.553,352
7,wad_cn_ppm_avg,cu_solution_ppm_avg,0.912,0.912,352
