do_bin,free_cn_bin,n_days,au_recovery_median,solution_cu_median,wad_cn_ppm_median,complexed_cn_ppm_median,nacn_tpd_median,specific_nacn_kgpt_median,residence_h_median,throughput_tpd_median,ph_tk8_median,selectivity_score
"(-0.001, 0.887]","(63.642, 319.021]",23,71.139,1434.0,4681.25,4454.75,13.62,1.953,43.832,9547.879,11.5,0.059
"(-0.001, 0.887]","(319.021, 446.312]",20,78.219,1245.484,4513.854,4111.896,11.25,1.889,39.504,10593.952,11.54,0.615
"(-0.001, 0.887]","(446.312, 624.312]",22,79.503,1042.103,4294.152,3807.932,18.012,1.337,35.577,11764.85,11.747,0.78
"(-0.001, 0.887]","(624.312, 1082.344]",25,78.562,827.344,4140.625,3305.75,11.35,1.269,40.783,10261.784,11.629,0.742
"(0.887, 2.421]","(63.642, 319.021]",40,67.962,3719.578,10745.179,10504.44,25.788,3.727,30.59,13685.447,11.448,-0.75
"(0.887, 2.421]","(319.021, 446.312]",25,77.544,1367.812,4700.938,4377.656,23.84,2.472,30.32,13802.828,11.625,0.503
"(0.887, 2.421]","(446.312, 624.312]",13,78.372,1416.042,5116.667,4601.208,22.7,1.82,34.18,12244.08,11.675,0.594
"(0.887, 2.421]","(624.312, 1082.344]",12,78.784,986.734,4697.656,3864.531,13.7,1.701,35.443,11808.019,11.869,0.691
"(2.421, 3.637]","(63.642, 319.021]",16,77.574,2748.938,8308.75,8066.234,19.08,2.587,28.567,14650.113,11.375,0.232
"(2.421, 3.637]","(319.021, 446.312]",26,77.352,2068.672,6845.179,6490.335,22.7,1.693,31.436,13313.65,11.444,0.401
"(2.421, 3.637]","(446.312, 624.312]",26,81.407,776.812,3465.781,2949.875,13.052,1.028,32.408,12914.295,11.506,1.0
"(2.421, 3.637]","(624.312, 1082.344]",21,79.069,870.344,4164.375,3264.875,15.5,1.259,30.581,13684.95,11.538,0.775
"(3.637, 6.431]","(63.642, 319.021]",11,76.097,1611.781,5324.375,5027.062,25.35,1.872,32.965,12695.476,11.543,0.394
"(3.637, 6.431]","(319.021, 446.312]",19,78.146,1131.438,4166.562,3789.75,20.0,1.684,33.289,12571.806,11.343,0.649
"(3.637, 6.431]","(446.312, 624.312]",28,79.31,893.42,3646.562,3183.703,17.0,1.686,42.298,9896.852,11.425,0.777
"(3.637, 6.431]","(624.312, 1082.344]",32,78.885,1147.969,4761.875,4098.203,17.012,1.27,29.41,14232.521,11.45,0.712
