feature,importance
nacn_consumption_tpd_roll3,0.20348026425684743
cu_solution_ppm_avg_lag3,0.10273040714848258
day_of_year,0.09668131820001537
free_cn_ppm_avg_lag1,0.09226375155238835
nacn_consumption_tpd_lag1,0.07225380312880604
cu_solution_ppm_avg_lag1,0.06207912745018641
cu_feed_ppm_lag1,0.04302683400389267
throughput_tpd,0.03629687936505591
free_cn_ppm_avg_roll3,0.02669754421481872
cu_feed_ppm_lag2,0.02243356738817256
do_avg_lag1,0.014970097722903393
complexed_cn_gpl_avg_roll7,0.01412654229341018
cu_solution_ppm_avg_roll3,0.012728297192725243
complexed_cn_gpl_avg_lag1,0.011706654628132081
cu_solution_ppm_avg_roll7,0.011608001215685225
ph_tk_8_s_lag1,0.011293148995093249
nacn_consumption_tpd_roll7,0.010530134045785835
cu_feed_ppm,0.0103623354324905
wad_gpl_avg_roll3,0.009674321467012697
complexed_cn_gpl_avg_lag2,0.00965382715282067
specific_nacn_kgpt_lag1,0.009408222444462754
au_feed_gpt,0.0085493476319039
wad_gpl_avg_lag2,0.008386675871637585
ag_feed_gpt,0.008083541707777102
complexed_cn_gpl_avg_roll3,0.006925671742350745
free_cn_ppm_avg_roll7,0.006851683130645945
throughput_tpd_lag1,0.00622538487082132
ag_feed_gpt_lag1,0.006176194301283226
recovery_au_pct_lag1,0.005507995611952642
wad_gpl_avg_roll7,0.005442426976107281
specific_nacn_kgpt_roll3,0.004984144474977574
free_cn_ppm_avg_lag2,0.004975702449787235
month,0.004876025931213484
specific_nacn_kgpt_lag3,0.004820370448533602
au_feed_gpt_lag1,0.004768506670655291
cu_solution_ppm_avg_lag2,0.004598504650297059
specific_nacn_kgpt_lag2,0.004008104003541206
specific_nacn_kgpt_roll7,0.003993180252276201
tailings_moisture_pct,0.003981860917605993
day_of_week,0.0038563746303417437
nacn_consumption_tpd_lag2,0.0037314414862499442
nacn_consumption_tpd_lag3,0.0034810518542333292
wad_gpl_avg_lag1,0.0017707310866195785
