Date,Time,Date Time,Pre_Leach_Density_pct_w_w,Leach_Tank_01_Density_pct_w_w,Leach_Tank_01_pH,Leach_Tank_01_CN_ppm,Leach_Tank_01_DO_ppm,Leach_Tank_02_Density_pct_w_w,Leach_Tank_02_pH,Leach_Tank_02_CN_ppm,Leach_Tank_02_DO_ppm,CIL_Tank_01_Density_pct_w_w,CIL_Tank_01_pH,CIL_Tank_01_CN_ppm,CIL_Tank_01_DO_ppm,CIL_Tank_01_Carbon_gpl,CIL_Tank_02_Density_pct_w_w,CIL_Tank_02_pH,CIL_Tank_02_CN_ppm,CIL_Tank_02_DO_ppm,CIL_Tank_02_Carbon_gpl,CIL_Tank_03_Density_pct_w_w,CIL_Tank_03_pH,CIL_Tank_03_CN_ppm,CIL_Tank_03_DO_ppm,CIL_Tank_03_Carbon_gpl,CIL_Tank_04_Density_pct_w_w,CIL_Tank_04_pH,CIL_Tank_04_CN_ppm,CIL_Tank_04_DO_ppm,CIL_Tank_04_Carbon_gpl,CIL_Tank_05_Density_pct_w_w,CIL_Tank_05_pH,CIL_Tank_05_CN_ppm,CIL_Tank_05_DO_ppm,CIL_Tank_05_Carbon_gpl,CIL_Tank_06_Density_pct_w_w,CIL_Tank_06_pH,CIL_Tank_06_CN_ppm,CIL_Tank_06_DO_ppm,CIL_Tank_06_Carbon_gpl,Tailing_Density_pct_w_w,Tailing_CN_ppm,DO_Purity_pct_w_w,DO_Flow,Feed_Ton_Dry,Feed_Grade_Au_ppm,Feed_Grade_Ag_ppm,Feed_Grade_Cu_ppm,Tail_Ton_Dry,Tail_Solution_Volume_m3,Tail_Solid_Au_ppm,Tail_Solid_Ag_ppm,Tail_Solid_Cu_ppm,Tail_Solution_Au_ppm,Tail_Solution_Ag_ppm,Tail_Solution_Cu_ppm,Slurry_Volume_m3,Residence_Time_hr,Au_Input_g,Au_Tail_g,Recovery_pct,NaCN_Added_Est_kg,NaCN_in_Tails_Est_kg,NaCN_Loss_pct,NaCN_Utilisation_pct,NaCN_Difference_ppm,NaCN_Difference_kg,Avg_Tank_CN_ppm,Avg_Tank_DO_ppm,Avg_Tank_Carbon_gpl,Au_Recovery_pct,Au_Tail_to_Feed_Solid_Ratio,CN_to_Au_Ratio,DO_Carbon_Interaction,150um,75um,45um,38um,lt_38um,150um_au,150um_ag,150um_cu,75um_au,75um_ag,75um_cu,45um_au,45um_ag,45um_cu,38um_au,38um_ag,38um_cu
2025-01-02,1900-01-01 06:00:00,2025-01-02 06:00:00,35,35.0,11.0,300.0,0.0,35.0,10.7,300.0,0.0,34.0,10.6,0.0,0.0,16.0,34,10.4,0.0,0.0,14.0,34.0,10.4,0.0,0.0,11.0,33.0,10.4,0.0,0.0,9.0,33.0,10.4,0.0,0.0,15.0,33,10.4,210.0,0.0,19.0,21,150.0,63.3504219055176,352.1283030192057,1199.8416,0.53,10.0,71.0,1356.2,2439.7,0.03,11.1,62.8,0.01,0.872,1.81,850.3604648727273,7.582666723534785,635.916048,40.686,93.60198565078517,359.95248,365.955,101.6675867881227,-1.6675867881227049,150.0,-6.002520000000004,270.0,,14.0,94.33962264150944,0.0566037735849056,509.4339622641509,,,,,,,,,,,,,,,,,,
2025-01-03,1900-01-02 06:00:00,2025-01-03 06:00:00,40,40.0,10.9,350.0,0.0,42.0,10.8,350.0,0.0,40.0,10.8,0.0,0.0,15.0,40,10.7,0.0,0.0,15.2,39.0,10.7,0.0,0.0,15.2,38.0,10.7,0.0,0.0,14.8,38.0,10.6,0.0,0.0,14.0,38,10.7,280.0,0.0,12.0,25,160.0,60.75439453125,371.3124519348145,780.5872000000002,0.49,22.0,79.0,830.7,1462.1,0.04,10.6,63.3,0.01,0.681,1.42,553.2234373818184,11.655326879345102,382.48772800000006,33.228,91.31266245488536,273.20552000000004,233.936,85.62638119464057,14.373618805359428,190.0,39.26952000000003,326.6666666666667,,14.366666666666667,91.83673469387756,0.0816326530612245,666.6666666666667,,,,,,,,,,,,,,,,,,
2025-01-04,1900-01-03 06:00:00,2025-01-04 06:00:00,41,39.0,10.6,300.0,0.0,38.0,10.6,300.0,0.0,36.0,10.7,0.0,0.0,16.0,37,10.6,0.0,0.0,14.6,37.0,10.6,0.0,0.0,16.2,35.0,10.5,0.0,0.0,14.6,36.0,10.5,0.0,0.0,15.0,35,10.5,290.0,0.0,13.0,26,180.0,61.2955741882324,372.5651040395101,1121.3455,0.4,14.5,65.0,1013.5,2084.1,0.02,9.6,67.2,0.01,0.611,1.8,794.7281380000001,8.113466343631588,448.5382000000001,20.27,95.48087543045386,336.40365,375.138,111.51424783886856,-11.514247838868556,120.0,-38.73434999999995,296.6666666666667,,14.9,95.0,0.0499999999999999,741.6666666666666,,50.8,77.0,40.2,19.9,331.5,0.42,7.0,40.0,0.53,11.0,43.0,0.68,6.0,49.0,0.74,12.0,45.0
2025-01-05,1900-01-04 06:00:00,2025-01-05 06:00:00,42,41.0,10.9,250.0,0.0,40.0,10.9,350.0,0.0,40.0,10.8,0.0,0.0,15.8,39,10.8,0.0,0.0,13.0,38.0,10.7,0.0,0.0,18.0,37.0,10.7,0.0,0.0,15.0,37.0,10.7,0.0,0.0,15.0,38,10.8,150.0,0.0,17.0,23,140.0,60.5916328430176,372.8309454600016,223.8813,0.31,13.0,48.0,165.7,311.4,0.04,11.0,67.1,0.01,0.48,1.72,158.6707831636364,40.6376011477186,69.403203,6.628,90.45000848159702,55.97032500000001,43.596,77.89127542139515,22.10872457860485,110.0,12.374325000000011,250.0,,15.633333333333333,87.09677419354838,0.1290322580645161,806.4516129032259,,,,,,,,,,,,,,,,,,
2025-01-07,1900-01-06 06:00:00,2025-01-07 06:00:00,37,40.0,10.6,350.0,0.0,40.0,10.7,300.0,0.0,39.0,10.7,0.0,0.0,17.8,38,10.7,0.0,0.0,15.0,38.0,10.6,0.0,0.0,7.0,37.0,10.7,0.0,0.0,10.0,37.0,10.7,0.0,0.0,15.0,37,10.8,250.0,0.0,17.2,24,170.0,70.52001953125,292.5846353848775,1098.9388,0.37,12.5,48.0,882.0,1943.724049824337,0.04,12.4,50.1,0.01,0.511,1.71,778.847898618182,8.278895033856966,406.607356,35.28,91.323324706403,384.62858,330.43308847013725,85.90965561377088,14.09034438622912,180.0,54.19549152986275,300.0,,13.666666666666666,89.1891891891892,0.1081081081081081,810.8108108108108,,,,,,,,,,,,,,,,,,
2025-01-08,1900-01-07 06:00:00,2025-01-08 06:00:00,42,40.0,10.6,300.0,0.0,39.0,10.7,350.0,0.0,39.0,10.7,0.0,0.0,17.2,39,10.7,0.0,0.0,14.8,38.0,10.7,0.0,0.0,15.0,38.0,10.6,0.0,0.0,15.0,37.0,10.6,0.0,0.0,13.2,37,10.7,210.0,0.0,12.0,27,170.0,64.5100860595703,333.24194650650026,1103.224,0.49,19.0,48.0,1135.4,2231.6,0.03,12.3,53.7,0.01,0.431,1.75,781.8849367272728,8.246737719477398,540.57976,34.062000000000005,93.69898717628644,330.96719999999993,379.372,114.62525591659842,-14.62525591659842,130.0,-48.40480000000008,286.6666666666667,,14.533333333333331,93.87755102040816,0.0612244897959183,585.0340136054423,,,,,,,,,,,,,,,,,,
2025-01-09,1900-01-08 06:00:00,2025-01-09 06:00:00,38,41.0,10.9,350.0,0.0,41.0,10.8,350.0,0.0,40.0,10.8,0.0,0.0,18.0,39,10.8,0.0,0.0,13.4,38.0,10.8,0.0,0.0,15.0,37.0,10.7,0.0,0.0,15.4,38.0,10.8,0.0,0.0,13.0,40,10.8,210.0,0.0,19.0,25,190.0,64.9129180908203,333.99076455434164,933.8154,0.405,15.0,47.5,926.5588380186516,2018.2469739020137,0.0299578516359058,12.047977821443002,47.62592222212621,0.0099897964298744,0.3300787331409728,0.7095913132613969,661.8204416727274,9.742823874860848,378.1952370000001,27.75771220130012,92.66048075552573,326.83539,383.4669250413826,117.32723467962956,-17.32723467962957,160.0,-56.63153504138256,303.3333333333333,,15.633333333333333,92.60299959607262,0.0739700040392737,748.9711934156378,,,,,,,,,,,,,,,,,,
2025-01-10,1900-01-09 06:00:00,2025-01-10 06:00:00,39,40.0,10.9,300.0,0.0,39.0,10.8,300.0,0.0,40.0,10.8,0.0,0.0,18.0,39,10.7,0.0,0.0,13.0,37.0,10.7,0.0,0.0,17.0,37.0,10.7,0.0,0.0,16.0,38.0,10.7,0.0,0.0,13.0,37,10.7,220.0,0.0,18.0,25,180.0,64.3880157470703,335.4515084902445,987.9856,0.45,19.5,51.5,984.1,1891.3,0.04,14.6,46.0,0.01,0.51,0.56,700.2123397818182,9.208635200586665,444.59352,39.364,91.14606978527262,296.39568,340.434,114.85794934663016,-14.85794934663015,120.0,-44.03832,273.3333333333333,,15.833333333333334,91.11111111111111,0.0888888888888888,607.4074074074074,,,,,,,,,,,,,,,,,,
2025-01-11,1900-01-10 06:00:00,2025-01-11 06:00:00,39,36.0,10.9,300.0,0.0,37.0,10.8,250.0,0.0,35.0,10.9,0.0,0.0,18.6,36,10.9,0.0,0.0,13.8,37.0,10.9,0.0,0.0,17.0,37.0,10.9,0.0,0.0,15.0,37.0,11.0,0.0,0.0,14.2,36,11,270.0,0.0,18.8,25,180.0,65.6901092529297,335.71252899169923,750.0071999999999,0.52,43.0,55.0,926.1605421564316,2058.3196685443404,0.0499037096064233,14.105595460876756,49.79539628402591,0.0099914345364924,0.590416258289075,1.2366456613634913,531.5505573818181,12.130548845174737,390.003744,46.21884674470214,88.1491274235813,225.00216,370.49754033798126,164.66399270921724,-64.66399270921724,120.0,-145.4953803379813,273.3333333333333,,16.233333333333334,90.40313276799552,0.0959686723200448,525.6410256410256,,23.5,78.9,28.8,15.3,342.2,0.36,19.0,47.0,0.38,19.0,50.0,0.46,15.0,52.0,0.81,18.0,53.0
2025-01-13,1900-01-12 06:00:00,2025-01-13 06:00:00,40,38.0,11.0,300.0,0.0,37.0,11.0,300.0,0.0,37.0,11.0,0.0,0.0,19.0,35,10.9,0.0,0.0,14.0,36.0,10.9,0.0,0.0,18.0,37.0,10.9,0.0,0.0,16.6,36.0,10.9,0.0,0.0,14.0,34,10.7,240.0,0.0,19.0,22,140.0,63.0533866882324,355.34034945170083,1263.6536,0.53,20.0,67.0,1348.2,3114.7,0.04,18.7,53.7,0.01,0.833,2.4,895.5857696000002,7.199757096274433,669.7364080000001,53.928,91.94787690263958,379.09608,436.058,115.02572118392784,-15.025721183927844,160.0,-56.96192000000002,280.0,,16.766666666666666,92.45283018867924,0.0754716981132075,528.3018867924528,,,,,,,,,,,,,,,,,,
2025-01-14,1900-01-13 06:00:00,2025-01-14 06:00:00,41,40.0,10.6,350.0,0.0,41.0,10.5,350.0,0.0,38.0,10.8,0.0,0.0,17.2,36,10.6,0.0,0.0,16.0,35.0,10.6,0.0,0.0,8.0,37.0,10.5,0.0,0.0,16.0,36.0,10.6,0.0,0.0,14.0,36,10.6,290.0,290.0,19.0,25,300.0,61.5,338.78,936.0382,0.85,27.5,65.0,939.2,1887.9,0.05,19.3,54.2,0.01,0.779,1.5,663.3958006545455,9.719687694191045,795.6324699999999,46.96000000000001,94.09777733178738,327.61337,566.37,172.87755991155063,-72.87755991155063,50.0,-238.75663000000003,330.0,290.0,15.033333333333331,94.11764705882352,0.0588235294117647,388.2352941176471,4359.666666666667,,,,,,,,,,,,,,,,,
2025-01-15,1900-01-14 06:00:00,2025-01-15 06:00:00,41,41.0,10.5,350.0,0.0,40.0,10.4,300.0,0.0,39.0,10.5,0.0,0.0,17.4,40,10.5,0.0,0.0,15.0,39.0,10.4,0.0,0.0,15.6,36.0,10.4,0.0,0.0,14.6,37.0,10.5,0.0,0.0,15.2,35,10.5,270.0,0.0,13.0,0,160.0,58.8826484680176,383.10402221679686,799.94,0.38,10.5,41.0,746.0,1644.0,0.05,21.5,54.6,0.01,0.69,1.48,566.9392945454547,11.373351718669817,303.97720000000004,37.3,87.72934285860914,279.979,263.04,93.94990338561108,6.05009661438892,190.0,16.938999999999965,306.6666666666667,,15.133333333333333,86.8421052631579,0.131578947368421,807.0175438596492,,,,,,,,,,,,,,,,,,
2025-01-16,1900-01-15 06:00:00,2025-01-16 06:00:00,38,38.0,10.8,400.0,0.0,41.0,10.6,350.0,0.0,39.0,10.5,0.0,0.0,17.0,38,10.5,0.0,0.0,14.2,37.0,10.5,0.0,0.0,16.2,35.0,10.4,0.0,0.0,15.2,37.0,10.4,0.0,0.0,14.6,34,10.4,220.0,0.0,12.0,25,140.0,59.5906562805176,376.1779029846192,1063.3278,0.75,24.0,66.0,1011.4,2308.9,0.045,20.6,55.0,0.01,0.8,1.6,753.609411709091,8.5561564118165,797.49585,45.513,94.29301105454029,425.33112,323.246,75.99867134104835,24.00132865895165,260.0,102.08512000000002,323.3333333333333,,14.866666666666664,94.0,0.06,431.1111111111111,,,,,,,,,,,,,,,,,,
2025-01-17,1900-01-16 06:00:00,2025-01-17 06:00:00,39,40.0,10.9,300.0,0.0,39.0,10.9,300.0,0.0,39.0,0.9,0.0,0.0,17.4,38,10.9,0.0,0.0,14.2,38.0,10.9,0.0,0.0,18.2,37.0,10.8,0.0,0.0,14.0,35.0,10.8,0.0,0.0,15.4,38,10.7,270.0,0.0,12.4,20,150.0,59.5703125,375.3543355308333,992.9528,0.54,21.0,76.0,972.2,2246.0,0.05,18.2,58.8,0.01,0.801,0.739,703.7327298909091,9.162569433141972,536.194512,48.61000000000001,90.93426006568302,297.88584,336.9,113.0970173003188,-13.09701730031881,150.0,-39.01416,290.0,,15.266666666666667,90.74074074074076,0.0925925925925925,537.037037037037,,,,,,,,,,,,,,,,,,
