Avg_Tank_CN_ppm,Avg_Tank_DO_ppm,DO_to_CN_Ratio,Au_Cu_Interaction,CN_to_Au_Ratio,DO_Carbon_Interaction,Feed_Ton_Dry,Feed_Grade_Au_ppm,Pred_Tailings_CN
50.0,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
54.08163265306123,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
58.16326530612245,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
62.244897959183675,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
66.3265306122449,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
70.40816326530611,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
74.48979591836735,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
78.57142857142857,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
82.65306122448979,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
86.73469387755102,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
90.81632653061224,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
94.89795918367346,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
98.9795918367347,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
103.06122448979592,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
107.14285714285714,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
111.22448979591837,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
115.3061224489796,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
119.38775510204081,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
123.46938775510205,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
127.55102040816327,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
131.6326530612245,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
135.71428571428572,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
139.79591836734693,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
143.87755102040816,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
147.9591836734694,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
152.0408163265306,0.0,0.04,1.0,2.0,0.3,1400,3.2,114.291916
