Date,Leach_Feed_Throughput_M3Hr,Leach_Feed_Throughput_M3Day,Percentsolids,Leach_Feed_Grade_Au_Gt_Ds,Leach_Feed_Grade_Au_Gt_Ns,Au_Grade,Leach_Feed_Grade_Ag_Gt_Ds,Leach_Feed_Grade_Ag_Gt_Ns,Leach_Feed_Grade_Ag_Gt_Day,Cn_Added_Free_Cn_Ppm_Leach_Tank_1,Cn_Added_Free_Cn_Ppm_Leach_Tank_2,Daily_Nacn_Consumption_Kgt,Mtd_Nacn_Consumption_Kgt,Nacn_Used_T,Au_Feed_g,CN_Tailings_Concentration,Au_Tailings_g,Leach_Feed_Gt_150um_Day,Leach_Feed_Gt_75um_Day,Leach_Feed_Lt_75um_Day,Cyanide_Profile_Ppm_Leach_Tank_1,Cyanide_Profile_Ppm_Leach_Tank_2,Cyanide_Profile_Ppm_Cil_Tank_01,Cyanide_Profile_Ppm_Cil_Tank_02,Cyanide_Profile_Ppm_Cil_Tank_03,Cyanide_Profile_Ppm_Cil_Tank_04,Cyanide_Profile_Ppm_Cil_Tank_05,Cyanide_Profile_Ppm_Cil_Tank_06,Cyanide_Profile_Ppm_Cil_Tank_07,Cyanide_Profile_Ppm_Cil_Tank_08,Cyanide_Profile_Ppm_Cil_Tank_09,Dissolved_Oxygen_Profile_Ppm_Leach_Tank_01,Dissolved_Oxygen_Profile_Ppm_Leach_Tank_02,Dissolved_Oxygen_Profile_Ppm_Cil_Tank_01,Dissolved_Oxygen_Profile_Ppm_Cil_Tank_02,Dissolved_Oxygen_Profile_Ppm_Cil_Tank_03,Dissolved_Oxygen_Profile_Ppm_Cil_Tank_04,Dissolved_Oxygen_Profile_Ppm_Cil_Tank_05,Dissolved_Oxygen_Profile_Ppm_Cil_Tank_06,Dissolved_Oxygen_Profile_Ppm_Cil_Tank_07,Dissolved_Oxygen_Profile_Ppm_Cil_Tank_08,Dissolved_Oxygen_Profile_Ppm_Cil_Tank_09,Carbon_Concentration_Profile_Gl_Cil_Tank_01,Carbon_Concentration_Profile_Gl_Cil_Tank_02,Carbon_Concentration_Profile_Gl_Cil_Tank_03,Carbon_Concentration_Profile_Gl_Cil_Tank_04,Carbon_Concentration_Profile_Gl_Cil_Tank_05,Carbon_Concentration_Profile_Gl_Cil_Tank_06,Carbon_Concentration_Profile_Gl_Cil_Tank_07,Carbon_Concentration_Profile_Gl_Cil_Tank_08,Carbon_Concentration_Profile_Gl_Cil_Tank_09,Gold_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_01,Gold_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_02,Gold_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_03,Gold_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_04,Gold_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_05,Gold_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_06,Gold_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_07,Gold_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_08,Gold_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_09,Silver_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_01,Silver_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_02,Silver_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_03,Silver_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_04,Silver_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_05,Silver_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_06,Silver_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_07,Silver_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_08,Silver_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_09,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Leach_Tank_01,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Leach_Tank_02,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Cil_Tank_01,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Cil_Tank_02,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Cil_Tank_03,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Cil_Tank_04,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Cil_Tank_05,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Cil_Tank_06,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Cil_Tank_07,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Cil_Tank_08,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Cil_Tank_09,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Leach_Tank_01,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Leach_Tank_02,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Cil_Tank_01,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Cil_Tank_02,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Cil_Tank_03,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Cil_Tank_04,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Cil_Tank_05,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Cil_Tank_06,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Cil_Tank_07,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Cil_Tank_08,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Leach_Tank_01,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Leach_Tank_02,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Cil_Tank_01,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Cil_Tank_02,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Cil_Tank_03,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Cil_Tank_04,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Cil_Tank_05,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Cil_Tank_06,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Cil_Tank_07,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Cil_Tank_08,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Cil_Tank_09,Leach_Feed_Dry_t,Ph_Leach_Tank_01,Ph_Leach_Tank_02,Ph_Cil_Tank_01,Ph_Cil_Tank_02,Ph_Cil_Tank_03,Ph_Cil_Tank_04,Ph_Cil_Tank_05,Ph_Cil_Tank_06,Ph_Cil_Tank_07,Ph_Cil_Tank_08,Ph_Cil_Tank_09,Dissolved_Au_Metal_Profile_G_Leach_Tank_01,Dissolved_Au_Metal_Profile_G_Leach_Tank_02,Dissolved_Au_Metal_Profile_G_Cil_Tank_01,Dissolved_Au_Metal_Profile_G_Cil_Tank_02,Dissolved_Au_Metal_Profile_G_Cil_Tank_03,Dissolved_Au_Metal_Profile_G_Cil_Tank_04,Dissolved_Au_Metal_Profile_G_Cil_Tank_05,Dissolved_Au_Metal_Profile_G_Cil_Tank_06,Dissolved_Au_Metal_Profile_G_Cil_Tank_07,Dissolved_Au_Metal_Profile_G_Cil_Tank_08,Dissolved_Au_Metal_Profile_G_Cil_Tank_09,Au_on_Carbon_g,Undissolved_Au_g,Total_Au_Grams,Residence_Time,Tonnes_Processed,Leach_Cn_Adds_To_Tank_1,Leach_Cn_Adds_To_Tank_2,CN_Concentration_PL_01,Solids_Fraction,Liquid_Fraction,Slurry_Mass_Kg,Solution_Mass_Kg,NaCN_Used_Kg,CN_Kg_T,Dissolved_Oxygen_Profile_Ppm_Leach_Tank_01_Imputed,Dissolved_Oxygen_PL_01,Leach_Feed_Grade_Au_Gt,Fines_Fraction,Grade_x_Fines,Particle_Size,Au_Recovery_g,Au_Recovery_pct,Total_Au_in_Solution_g,Au_Residual_g,Au_Accounted_g,Au_Unaccounted_g,Au_Inventory_g
2024-06-01,140.38744529478458,3369.29868707483,51.04166666666666,2.08,2.13,2.1342551020408163,7.8,5.99,6.895,485.0,470.0,0.0,0.0,0.0,5408.537506622448,312.0,838.7025320204081,15.655,22.020000000000003,65.85869169510808,485.0,470,450,435,425,425,450,435.0,405,385,375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.375,10.125,8.25,9.1875,10.0,6.375,4.6875,5.625,13.1875,866.0,451.5,326.0,252.0,198.0,178.0,158.0,122.0,98.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,2.16,0.88,0.76,0.24,0.145,0.072,0.006,0.004,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.1415577032404,511.44968732234224,111.24030699260943,88.22507106310404,88.22507106310404,72.88158044343378,92.0609437180216,72.88158044343378,65.20983513359865,76.71745309835134,88.22507106310404,2499.4202801245,11.46,11.47,11.395,11.25,11.24,11.3,11.24,11.26,11.285,11.34,11.305,1471.722569641842,1558.294485503127,161.88948266060262,139.813644115975,44.15167708925526,26.674971574758384,13.245503126776578,1.1037919272313816,0.7358612848209211,0.1839653212052302,0.1839653212052302,1091.5918749921154,1846.2581580443436,6443.220468749999,30.273362344302797,4643.314753125,True,False,485.0,0.5104166666666666,0.4895833333333333,4896823.405958204,2397403.125833704,1162.7405160293465,0.4652040816326531,19.205,21.27388888888889,2.1342551020408163,0.6361087933486668,1.3576184376574192,82.19362649421966,4569.834974602039,84.49298852058502,3417.999917566799,-1990.5375890556488,7194.552482623667,-1786.014976001219,2266.164860531558
2024-06-02,139.86450500095663,3356.7481200229595,51.083333333333336,2.43,2.53,2.480957585644372,6.93,6.98,6.955,425.0,470.0,0.7912157643411318,0.3951075803858719,2.0,6271.254182379283,326.0,861.8574123792822,15.245,19.4,62.11766793168881,425.0,470,425,450,425,450,415,440.0,395,390,365,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,10.75,8.5625,7.0625,8.375,5.0625,5.625,7.375,13.875,987.0,521.5,387.5,245.5,182.5,184.0,138.0,97.0,79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,2.36,1.04,0.4,0.16,0.08,0.022,0.012,0.005,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.7170025933847,542.1866326948451,119.05514809590971,111.3741707993994,103.69319350288912,96.0122162063788,80.6502616133582,72.96928431684789,72.96928431684789,61.44781837208244,53.76684107557214,2526.7798515676013,10.3,11.12,11.29,11.305,11.345,11.29,11.305,11.32,11.335,11.34,11.395,1759.4776832430955,1701.7898903498792,191.23503344101184,73.55193593885072,29.420774375540287,14.710387187770143,4.0453564766367895,2.2065580781655214,0.919399199235634,0.1838798398471268,0.1838798398471268,1632.003712497136,1863.8418535875155,6838.1596875,30.386551612726407,4629.794844541667,False,True,470.0,0.5108333333333334,0.4891666666666666,4946387.963917,2419608.1123494,1137.215812804218,0.4500652528548124,21.56,21.27388888888889,2.480957585644372,0.6419590246885482,1.592673111973916,82.22446287034263,5409.39677,86.25701674154917,3777.72477796988,-2493.529404409403,8135.427756433814,-1864.173574054531,2146.052785939759
2024-06-03,140.6872290835901,3376.4934980061626,51.083333333333336,2.28,2.83,2.556436378466558,5.22,5.31,5.265,435.0,410.0,0.0,0.2630008901265126,0.0,6500.057768580342,278.0,905.0664782202284,15.13,19.18,64.55126237623762,435.0,410,440,395,425,415,390,380.0,395,380,375,21.56,10.7,8.89,8.41,8.32,8.55,8.9,7.96,8.69,8.72,8.67,9.9375,8.75,8.4375,6.4375,7.8125,7.0625,6.3125,6.875,13.1875,1135.0,632.0,397.0,286.0,190.0,165.0,164.5,146.0,151.0,1618.0,953.5,772.0,484.5,358.5,321.0,289.0,291.5,267.5,2.32,1.88,1.08,0.84,0.56,0.16,0.088,0.016,0.007,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.5955229992265,640.0814413758588,111.3741707993994,99.85270485463396,84.49075026161336,80.6502616133582,78.73001728923062,76.80977296510305,78.73001728923062,72.96928431684789,65.2883070203376,2541.195881978794,11.51,11.415,11.364999999999998,11.33,11.31,11.28,11.265,11.205,11.25,11.235,11.22,1672.945993903271,1355.6631329905815,198.5902270348969,154.45906547158648,102.972710314391,29.420774375540287,16.181425906547158,2.942077437554029,1.2871588789298876,0.1838798398471268,0.1838798398471268,2059.4507334045347,1908.57225078484,7314.172968750001,30.20885426263417,4657.028657125,True,False,435.0,0.5108333333333334,0.4891666666666666,4974608.5780987805,2433412.6961199865,1058.5345228121942,0.4165497553017943,21.56,21.27388888888889,2.556436378466558,0.652947988167236,1.6692199901972735,81.25592295433519,5594.991290360113,86.07602408404593,3534.8303259929926,-2965.2274425873493,8407.919788402596,-1907.8620198222543,1474.6693616258715
2024-06-04,140.64595687055134,3375.5029648932323,51.16666666666666,2.19,2.46,2.3273859934853425,5.57,7.01,6.29,500.0,435.0,0.7849305885880511,0.3939903470395023,2.0,5930.170201856678,208.0,920.9262611140064,16.13,21.575000000000003,62.57902272727273,500.0,435,430,400,405,425,410,375.0,400,365,375,21.86,11.41,8.87,9.17,8.68,8.06,8.66,9.04,9.29,9.04,8.49,12.875,10.125,9.25,9.6875,7.1875,9.125,6.1875,10.625,12.625,1363.5,694.163,382.0,276.0,191.0,164.5,141.0,117.0,88.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,2.28,0.96,0.76,0.6,0.107,0.051,0.02,0.006,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.3676350059192,573.6854566979328,134.7405973955013,119.3416719788726,92.39355249977233,76.99462708314361,80.84435843730078,73.14489572898643,73.14489572898643,69.29516437482924,65.44543302067207,2545.383841177314,11.7,11.515,11.425,11.4,11.395,11.405,11.385000000000002,11.415,11.36,11.28,11.35,1743.431381477097,1642.571714780075,176.36033148165012,139.61859575630635,110.22520717603132,19.65682861305892,9.369142609962664,3.674173572534378,1.1022520717603137,0.3674173572534377,0.1837086786267188,1161.1917636018106,2272.3982879519167,9408.853033125,30.217718977244708,4663.257345999999,True,False,500.0,0.5116666666666666,0.4883333333333334,4974691.546274882,2429307.705097568,1214.6538525487838,0.477198697068404,21.86,21.27388888888889,2.3273859934853425,0.6240178746863737,1.4523304612295578,83.55158088492753,5009.243940742672,84.47049191226125,3846.560753574356,-2083.6094482823223,8201.07706624209,-2270.9068643854107,2683.8775664060404
2024-06-05,141.22307870156382,3389.353888837532,51.083333333333336,2.07,1.55,1.811915171288744,5.15,4.97,5.0600000000000005,380.0,335.0,0.7836042256406391,0.4722608963448058,2.0,4624.567127129527,175.0,831.9444305647635,18.5,21.265,59.29833838575218,380.0,335,335,295,320,330,325,325.0,305,320,320,21.93,12.1,9.34,8.89,8.59,8.44,8.62,8.56,8.52,8.48,8.41,12.3125,10.625,7.4375,8.0,8.0625,9.9375,8.0,9.875,11.0,1103.5,682.5,425.0,249.5,212.5,180.5,118.0,77.0,69.5,1453.0,937.5,722.0,535.0,493.5,373.0,299.5,178.0,131.0,1.8,1.64,0.72,0.36,0.12,0.066,0.022,0.009,0.003,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.5955229992265,579.8384821875427,119.05514809590971,111.3741707993994,103.69319350288912,96.0122162063788,88.3312389098685,80.6502616133582,80.6502616133582,76.80977296510305,72.96928431684789,2549.6110920105625,11.505,11.525,11.435,11.36,11.275,11.265,11.205,11.29,11.23,11.27,11.24,1297.9753400973657,1182.599754310933,132.39348468993128,66.19674234496564,22.06558078165521,12.136069429910368,4.0453564766367895,1.654918558624141,0.5516395195413804,0.3677596796942536,0.1838798398471268,1070.8848878674626,1928.9795532098824,8152.660781250001,30.09423133297644,4674.766351179167,True,False,380.0,0.5108333333333334,0.4891666666666666,4991082.072451346,2441470.980440784,927.7589725674976,0.3638825448613376,21.93,21.27388888888889,1.811915171288744,0.5985901480005118,1.084594570546102,86.75994125919492,3792.6226965647634,82.01032858439332,2720.1705257291046,-1904.3966014004225,6551.979397371213,-1927.4122702416864,1647.7183548934458
2024-06-06,141.1457509504513,3387.498022810831,51.125,1.86,2.08,1.9719119804400984,3.6,5.26,4.43,375.0,325.0,0.0,0.3932151628052823,0.0,5036.223168230808,172.0,781.4053881154034,19.63,20.925,60.34523881728582,375.0,325,325,330,320,315,330,290.0,285,275,290,21.0,10.32,8.0,8.06,8.52,7.5,8.54,8.84,8.27,8.5,7.95,11.375,10.75,10.6875,9.6875,9.4375,8.3125,6.0625,5.25,11.625,1167.5,842.5,463.0,222.5,143.0,116.5,91.0,79.5,56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,1.53,1.04,0.92,0.64,0.32,0.072,0.015,0.008,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.9965180583054,490.0628114972348,138.42389567829588,134.57878746500987,119.1983546118659,111.50813818529387,92.28259711886392,99.97281354543593,80.74727247900593,76.90216426571993,67.28939373250493,2551.5033423941613,11.715,11.585,11.425,11.385000000000002,11.345,11.385,11.305,11.32,11.295,11.305,11.305,980.2362258482964,1102.7657540793334,191.1460640404178,169.09074895883114,117.62834710179555,58.814173550897785,13.233189048952,2.7569143851983338,1.4703543387724447,0.1837942923465556,0.1837942923465556,1615.6221296325923,1983.9627466375364,8513.127187500002,30.110718681796858,4676.017583237501,True,False,375.0,0.51125,0.48875,4990715.58414506,2439212.241750898,914.7045906565868,0.3584963325183374,21.0,21.27388888888889,1.9719119804400984,0.5980683447792565,1.1793381341921951,87.2800158264401,4254.817780115404,84.48429781577957,2637.5093599371885,-2398.713808293619,7018.4996243227215,-1982.276456091914,1020.2009397589728
2024-06-07,141.59034823633155,3398.168357671957,51.04166666666666,2.07,2.32,2.196438775510204,4.79,6.72,5.755,420.0,365.0,46.5594739765406,7.016680251567747,119.0,5613.813730314285,148.0,794.7714975428571,18.37,23.96,60.2290991672975,420.0,365,325,295,320,310,300,295.0,285,245,285,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3125,10.5625,11.25,10.0,8.125,6.25,7.0625,5.8125,11.625,881.5,477.0,294.5,142.0,122.0,91.0,69.5,56.0,41.5,1266.0,709.0,558.0,344.0,314.5,238.5,200.5,165.0,115.5,2.04,2.2,0.84,0.4,0.2,0.08,0.021,0.008,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.5252984650368,556.5776009096077,157.27077885162024,138.0914155770324,116.9941159749858,92.0609437180216,88.22507106310404,80.5533257532689,84.38919840818647,76.71745309835134,65.20983513359865,2554.1965788219327,10.895,11.285,11.33,11.34,11.335,11.325,11.32,11.305,11.27,11.32,11.27,1471.722569641842,1587.151790790222,154.5308698123934,73.58612848209211,36.79306424104605,14.71722569641842,3.863271745309836,1.471722569641842,0.3679306424104605,0.1839653212052302,0.1839653212052302,1473.7629623014132,2170.6150369528136,5988.3403125,30.01617026116944,4683.100767916666,True,False,420.0,0.5104166666666666,0.4895833333333333,5004140.236059298,2449943.657237365,1028.9763360396933,0.402857142857143,21.0,21.30526315789474,2.196438775510204,0.5872623653709163,1.2898858306985217,86.99086702986266,4819.042232771428,85.84257448281308,3344.5725042637864,-2269.2412260504984,7783.722001060871,-2169.908270746586,1870.102775756145
2024-06-08,139.90354837553176,3217.781612637231,51.16666666666666,2.49,1.89,2.191431596091205,5.65,8.43,7.04,265.0,305.0,0.0,6.174781131795393,0.0,5322.856189724512,156.0,779.5790221496744,15.565,20.06,63.78775766016713,265.0,305,305,315,305,290,285,290.0,275,260,255,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.1875,10.4375,8.125,8.0625,9.0625,8.25,8.5,10.75,987.5,593.0,331.5,222.0,177.0,120.5,74.5,49.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.32,1.64,0.74,0.42,0.27,0.075,0.022,0.004,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4279209543757,430.2640925234496,111.64220927055824,100.0930152080867,96.24328385392953,100.0930152080867,84.69408979145797,84.69408979145797,73.14489572898643,65.44543302067207,57.745970312357706,2427.353396742124,11.7,11.66,11.625,11.65,11.6,11.545,11.505,11.465,11.42,11.4,11.364999999999998,1296.7671432474276,1671.3887624077954,301.2822329478189,135.944422183772,77.15764502322193,49.6013432292141,13.778150897003917,4.041590929787815,0.7348347145068755,0.1837086786267188,0.1837086786267188,991.562298604718,1815.4880156634183,7197.231562500001,30.378071531052733,4445.365297858334,False,True,305.0,0.5116666666666666,0.4883333333333334,4744013.153241937,2316659.756499813,706.5812257324429,0.2910912052117265,19.205,21.3335,2.191431596091205,0.6416455911847793,1.4061224220149455,82.18274067938799,4543.277167574837,85.35412202842132,3551.0635429378026,-1771.7926467867092,7137.692879355614,-1814.836689631103,2558.849918300768
2024-06-09,140.40039058440578,3369.609374025739,51.083333333333336,1.69,1.77,1.731436378466558,4.74,5.43,5.085,410.0,350.0,1.1822937326018088,5.618699347480253,3.0,4393.416789894372,148.0,725.6003590962481,14.205,21.73,63.777801296720064,410.0,350,355,345,315,350,290,280.0,255,270,245,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3125,10.875,11.75,10.0625,10.75,10.8125,12.8125,13.125,15.0,1015.5,521.0,269.0,147.0,90.5,51.5,39.0,36.5,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.12,0.56,0.36,0.16,0.08,0.025,0.011,0.005,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.4903316802403,587.3688520860823,96.0122162063788,84.49075026161336,80.6502616133582,76.80977296510305,69.12879566859274,65.2883070203376,57.60732972382728,49.926352427316985,42.24537513080668,2535.335470361198,12.114999999999998,11.955,15.85,11.81,11.8,11.8,11.775,11.755,11.75,11.755,11.695,1009.5363756312844,807.6291005050275,102.972710314391,66.19674234496564,29.420774375540287,14.710387187770143,4.59699599617817,2.0226782383183948,0.919399199235634,0.1838798398471268,0.1838798398471268,1628.8285324746537,1827.0183447836573,6094.914375000001,30.270571059736398,4647.533729125001,True,False,410.0,0.5108333333333334,0.4891666666666666,4963136.320446065,2427800.8500848664,995.3983485347952,0.3926101141924958,19.205,21.35285714285714,1.731436378466558,0.6396149788925644,1.1074526426667055,81.42776011953323,3667.816430798124,83.4843723280419,2038.372923472405,-2355.043866421968,6219.820159826963,-1826.403369932591,408.92941614668587
2024-06-10,139.87124659503465,3356.909918280832,51.29166666666666,1.6,1.76,1.681424451665313,3.28,5.12,4.2,310.0,370.0,0.0,5.054458373263719,0.0,4276.037753155199,176.0,714.4842234367993,14.73,20.665,66.12255563938137,310.0,370,355,340,330,340,310,370.0,310,295,300,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1875,9.3125,7.75,9.3125,10.125,9.5,11.5,14.0,20.75,776.0,479.5,402.5,173.0,91.0,51.0,49.5,42.5,43.5,1196.5,872.5,808.0,348.5,219.5,189.0,161.5,162.0,138.5,1.44,1.56,0.52,0.28,0.16,0.08,0.022,0.009,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.6040161374877,492.4224466072528,119.77229047477948,112.04504592801948,104.31780138125954,96.59055683449957,92.72693456111958,84.99969001435962,81.13606774097963,73.40882319421966,69.54520092083969,2540.949859369848,11.68,11.675,11.695,11.675,11.675,11.675,11.65,11.585,11.575,11.6,11.605,1035.9610694504593,1122.291158571331,95.39474847856312,51.36640302691861,29.35223030109634,14.67611515054817,4.035931666400747,1.651062954436669,0.5503543181455565,0.1834514393818521,0.1834514393818521,1205.30328657978,1887.568873794817,5246.37796875,30.385087024389705,4648.900623079167,False,True,370.0,0.5129166666666667,0.4870833333333333,4953923.365140239,2412973.505770392,892.8001971350449,0.3513647441104793,19.205,21.37590909090909,1.681424451665313,0.6513410929067984,1.0951808399878993,80.85981020985793,3561.5535297184,83.29097485377447,2355.645976796663,-1920.3917763585364,6163.00236060806,-1886.96460745286,1149.738423874926
