Date,Leach_Feed_Throughput_M3Hr,Leach_Feed_Throughput_M3Day,Percentsolids,Leach_Feed_Grade_Au_Gt_Ds,Leach_Feed_Grade_Au_Gt_Ns,Au_Grade,Leach_Feed_Grade_Ag_Gt_Ds,Leach_Feed_Grade_Ag_Gt_Ns,Leach_Feed_Grade_Ag_Gt_Day,Cn_Added_Free_Cn_Ppm_Leach_Tank_1,Cn_Added_Free_Cn_Ppm_Leach_Tank_2,Daily_Nacn_Consumption_Kgt,Mtd_Nacn_Consumption_Kgt,Nacn_Used_T,Au_Feed_g,CN_Tailings_Concentration,Au_Tailings_g,Leach_Feed_Gt_150um_Day,Leach_Feed_Gt_75um_Day,Leach_Feed_Lt_75um_Day,Cyanide_Profile_Ppm_Leach_Tank_1,Cyanide_Profile_Ppm_Leach_Tank_2,Cyanide_Profile_Ppm_Cil_Tank_01,Cyanide_Profile_Ppm_Cil_Tank_02,Cyanide_Profile_Ppm_Cil_Tank_03,Cyanide_Profile_Ppm_Cil_Tank_04,Cyanide_Profile_Ppm_Cil_Tank_05,Cyanide_Profile_Ppm_Cil_Tank_06,Cyanide_Profile_Ppm_Cil_Tank_07,Cyanide_Profile_Ppm_Cil_Tank_08,Cyanide_Profile_Ppm_Cil_Tank_09,Dissolved_Oxygen_Profile_Ppm_Leach_Tank_01,Dissolved_Oxygen_Profile_Ppm_Leach_Tank_02,Dissolved_Oxygen_Profile_Ppm_Cil_Tank_01,Dissolved_Oxygen_Profile_Ppm_Cil_Tank_02,Dissolved_Oxygen_Profile_Ppm_Cil_Tank_03,Dissolved_Oxygen_Profile_Ppm_Cil_Tank_04,Dissolved_Oxygen_Profile_Ppm_Cil_Tank_05,Dissolved_Oxygen_Profile_Ppm_Cil_Tank_06,Dissolved_Oxygen_Profile_Ppm_Cil_Tank_07,Dissolved_Oxygen_Profile_Ppm_Cil_Tank_08,Dissolved_Oxygen_Profile_Ppm_Cil_Tank_09,Carbon_Concentration_Profile_Gl_Cil_Tank_01,Carbon_Concentration_Profile_Gl_Cil_Tank_02,Carbon_Concentration_Profile_Gl_Cil_Tank_03,Carbon_Concentration_Profile_Gl_Cil_Tank_04,Carbon_Concentration_Profile_Gl_Cil_Tank_05,Carbon_Concentration_Profile_Gl_Cil_Tank_06,Carbon_Concentration_Profile_Gl_Cil_Tank_07,Carbon_Concentration_Profile_Gl_Cil_Tank_08,Carbon_Concentration_Profile_Gl_Cil_Tank_09,Gold_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_01,Gold_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_02,Gold_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_03,Gold_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_04,Gold_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_05,Gold_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_06,Gold_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_07,Gold_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_08,Gold_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_09,Silver_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_01,Silver_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_02,Silver_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_03,Silver_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_04,Silver_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_05,Silver_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_06,Silver_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_07,Silver_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_08,Silver_Carbon_Loadings_Profile_Gt_Of_Carbon_Cil_Tank_09,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Leach_Tank_01,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Leach_Tank_02,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Cil_Tank_01,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Cil_Tank_02,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Cil_Tank_03,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Cil_Tank_04,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Cil_Tank_05,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Cil_Tank_06,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Cil_Tank_07,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Cil_Tank_08,Dissolved_Gold_Metal_Profile_G_Milled_Tons_Cil_Tank_09,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Leach_Tank_01,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Leach_Tank_02,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Cil_Tank_01,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Cil_Tank_02,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Cil_Tank_03,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Cil_Tank_04,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Cil_Tank_05,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Cil_Tank_06,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Cil_Tank_07,Dissolved_Silver_Metal_Profile_Gmilled_Tons_Cil_Tank_08,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Leach_Tank_01,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Leach_Tank_02,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Cil_Tank_01,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Cil_Tank_02,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Cil_Tank_03,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Cil_Tank_04,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Cil_Tank_05,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Cil_Tank_06,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Cil_Tank_07,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Cil_Tank_08,Undissolved_Gold_Profile_Au_Grams_Per_Day_Per_Tank_Cil_Tank_09,Leach_Feed_Dry_t,Ph_Leach_Tank_01,Ph_Leach_Tank_02,Ph_Cil_Tank_01,Ph_Cil_Tank_02,Ph_Cil_Tank_03,Ph_Cil_Tank_04,Ph_Cil_Tank_05,Ph_Cil_Tank_06,Ph_Cil_Tank_07,Ph_Cil_Tank_08,Ph_Cil_Tank_09,Dissolved_Au_Metal_Profile_G_Leach_Tank_01,Dissolved_Au_Metal_Profile_G_Leach_Tank_02,Dissolved_Au_Metal_Profile_G_Cil_Tank_01,Dissolved_Au_Metal_Profile_G_Cil_Tank_02,Dissolved_Au_Metal_Profile_G_Cil_Tank_03,Dissolved_Au_Metal_Profile_G_Cil_Tank_04,Dissolved_Au_Metal_Profile_G_Cil_Tank_05,Dissolved_Au_Metal_Profile_G_Cil_Tank_06,Dissolved_Au_Metal_Profile_G_Cil_Tank_07,Dissolved_Au_Metal_Profile_G_Cil_Tank_08,Dissolved_Au_Metal_Profile_G_Cil_Tank_09,Undissolved_Au_g,Gold_In_Carbon_Total_Au_Grams,Au_on_Carbon_g,Residence_Time,Tonnes_Processed,Leach_Cn_Adds_To_Tank_1,Leach_Cn_Adds_To_Tank_2,CN_Concentration_PL_01,Solids_Fraction,Liquid_Fraction,Slurry_Mass_Kg,Solution_Mass_Kg,NaCN_Used_Kg,CN_Kg_T,Dissolved_Oxygen_Profile_Ppm_Leach_Tank_01_Imputed,Dissolved_Oxygen_PL_01,Leach_Feed_Grade_Au_Gt,Fines_Fraction,Grade_x_Fines,Particle_Size,Au_Recovery_g,Au_Recovery_pct,Total_Au_in_Solution_g,Au_Residual_g,Au_Accounted_g,Au_Unaccounted_g,Au_Inventory_g
2025-05-01,118.9688276214816,2855.2518629155584,50.458333333333336,1.865,1.64,1.7525,1.82,1.7,1.76,55.0,100.0,0.0,0.0,0.0,3718.409554548101,210.0,425.4207418221512,7.656274965164886,15.153864375290295,77.18986065954483,55.0,100,845,310,205,170,205,240.0,310,275,295,8.13,7.12,7.71,13.45,8.81,8.3,8.31,8.59,8.52,8.29,7.83,13.875,10.9375,9.875,11.3125,10.8125,11.0,7.375,12.0,15.5,631.0,514.0,350.5,291.0,260.0,224.0,183.0,147.5,128.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.611,1.112,1.045,0.978,0.772,0.315,0.114,0.088,0.021,0.002,1.59,2.099,1.685,1.636,1.401,1.109,0.829,0.639,0.61,0.379,369.766810666546,421.5341641598624,84.86148304797233,71.66080790717663,67.88918643837786,62.23175423517971,54.68851129758216,52.80270056318279,49.03107909438401,45.25945762558524,35.83040395358832,2111.55475,10.9,11.135,11.145,11.105,11.1,10.975,10.925,10.92,10.91,10.84,10.845,1000.5639517788884,1169.744939271255,205.8925356795513,193.4871400945423,181.08174450953337,142.93978196458053,58.323874765340506,21.10768801031371,16.2936539026983,3.8882583176893672,0.3703103159704159,1315.5563589894375,8036.771249999999,300.5669903261256,35.72364362135312,3889.923756739585,False,True,100.0,0.5045833333333334,0.4954166666666666,4184749.298100744,2073194.548100744,207.31945481007432,0.0981833195706027,8.13,16.243750000000002,1.7525,0.7718986065954482,1.3527523080585229,69.04150894101254,3292.9888127259496,88.55906710701606,2993.693878610363,-724.7156759377381,5035.237969748077,-1316.8284151999765,2694.398944494776
2025-05-02,145.28881628061765,3099.494747319844,46.95,1.7000000000000002,1.755,1.7275,1.47,1.91,1.69,110.0,225.0,0.0,0.0,0.0,3494.9103634543126,150.0,417.8531566057508,7.837938931297709,11.210906488549616,80.95115458015268,110.0,225,175,210,210,190,215,175.0,205,175,175,19.89,10.72,8.0,8.03,8.09,7.65,8.16,8.17,8.29,8.23,7.31,12.25,9.3125,10.5625,10.9375,12.3125,13.4375,9.25,10.75,16.875,722.0,497.0,415.0,282.5,232.5,203.5,156.5,126.5,100.0,1437.0,1281.0,1013.0,826.0,558.0,410.0,391.0,329.0,308.0,1.378,2.049,1.451,1.286,1.143,0.926,0.792,0.164,0.047,0.009,0.001,1.984,1.863,1.474,1.351,1.295,0.993,0.733,0.567,0.365,0.179,486.5707074690433,339.93296001261933,108.7785472040382,98.5805584036596,76.48491600283936,67.98659200252386,62.88759760233457,56.08893840208219,49.2902792018298,45.89094960170361,35.69296080132503,2065.9224,11.605,11.58,11.52,11.57,11.465,11.4,11.37,11.41,11.335,11.375,11.335,1497.9857244262166,1543.1738307437497,278.6637546336462,246.9755950784762,219.5125234639956,177.83779241265083,152.10316586481582,31.496110103320447,9.026324236927202,1.728445066645634,0.1920494518495149,1428.1850067039989,7914.761718749999,-1080.056975063677,29.252079470393305,3929.07451644,False,True,225.0,0.4695,0.5305,4400260.702875399,2334338.302875399,525.2261181469648,0.2542332268370607,19.89,16.532386363636366,1.7275,0.8095115458015267,1.3984311953721376,66.80424021946564,3077.0572068485617,88.0439521146187,4158.695315482294,663.7849520279815,4924.676503728367,-1429.766140274054,5240.333424116026
2025-05-03,132.3897368105277,3177.353683452665,52.375,2.075,1.995,2.035,1.79,1.86,1.825,190.0,300.0,0.0,0.0,0.0,4534.73697652518,200.0,513.5164972002387,7.540118764845606,11.806199524940617,80.65368171021377,190.0,300,310,230,280,210,200,220.0,235,215,225,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.875,10.125,8.625,9.0625,4.875,8.375,4.8125,11.0,13.125,535.5,412.5,321.0,243.0,208.0,189.5,138.0,115.0,106.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.989,2.286,1.392,1.117,1.045,0.9,0.362,0.188,0.136,0.075,0.004,2.239,2.951,2.327,1.88,1.71,1.413,0.998,0.844,0.859,0.317,343.83643019962705,312.5785729087519,93.65635490778476,85.6856012986116,73.72947088485184,67.75140567797197,61.77334047109208,53.80258686191891,49.817210057332325,47.82452165503903,41.84645644815915,2482.9317,11.24,11.32,11.295,11.375,11.255,11.25,11.235,11.375,11.295,11.465,11.505,1310.301029218761,1624.375354009809,252.2258423706569,202.3967427643849,189.35057850383365,163.07705325689025,65.59321475443808,34.06498445810596,24.64275471437453,13.589754438074186,0.7247869033639567,1232.3019513711406,5602.334062499999,142.38738980770302,32.10218633550481,4493.1752776125,False,True,300.0,0.52375,0.4762499999999999,4740681.050119332,2257749.350119332,677.3248050357995,0.2727923627684964,19.89,16.817386363636363,2.035,0.8065368171021378,1.6413024228028503,66.80402315914489,4021.220479324941,88.6759364466221,3880.342095392692,-654.3948811324876,5768.547933771774,-1233.8109572465946,3739.463711460443
2025-05-04,137.10013322856096,2879.10279779978,50.5,2.175,2.215,2.195,2.11,2.07,2.09,310.0,240.0,0.0,0.0,0.0,4458.536144863366,200.0,483.8276358178218,7.625088289962824,11.860627323420074,80.51428438661709,310.0,240,300,315,270,270,275,255.0,245,235,245,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.125,13.0,9.125,7.25,8.0,10.125,10.4375,11.625,17.9375,663.0,432.5,288.0,273.5,213.0,191.0,166.0,149.5,136.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.844,2.393,1.914,1.508,1.335,0.678,0.28,0.065,0.044,0.018,0.004,1.91,2.311,1.888,1.356,1.233,1.077,0.8,0.571,0.458,0.345,392.4273689926691,362.810209068694,92.51660331251696,79.29994569644312,69.85947597067607,66.08328808036926,58.530912299755634,54.75472440944881,49.0904425739886,47.20234862883519,43.42616073852837,2131.7712,11.145,11.375,11.195,11.29,11.175,11.12,11.14,11.31,11.215,11.395,11.34,1394.1984795004073,1736.7605213141458,354.2251181102362,279.0864566929134,247.0692438229704,125.47786315503666,51.819766494705405,12.029588650556612,8.143106163453705,3.3312707032310613,0.7402823784957915,1316.001479771925,7096.434843750001,-236.7912175877101,30.99924048151568,3925.6566648,True,False,310.0,0.505,0.495,4221329.108910891,2089557.908910891,647.7629517623761,0.3038613861386138,19.205,17.099431818181817,2.195,0.8051428438661711,1.7672885422862454,66.94425243959108,3974.708509045544,89.1482849953962,4212.881696986153,-245.654447877213,5775.91959498819,-1317.383450124824,4451.054884926762
2025-05-05,101.3608141893992,2432.659540545581,50.23529411764706,2.26,2.335,2.2975,2.04,2.34,2.19,195.0,325.0,0.0,0.0,0.0,3917.0673534497073,300.0,376.41690967988296,7.164375347029429,10.66,82.17562465297057,195.0,325,315,295,290,325,305,300.0,280,300,300,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,7.375,5.0,7.1875,7.0,8.0,5.9375,2.5625,8.5,772.5,535.0,409.5,357.5,247.0,220.0,222.0,194.5,151.0,1536.0,1234.0,982.5,779.0,680.0,592.0,514.0,479.0,369.0,1.921,1.777,0.963,0.677,0.435,0.473,0.149,0.08,0.025,0.007,0.002,2.272,2.525,1.905,1.043,1.103,1.099,0.973,0.77,0.677,0.655,404.11382321075774,448.1989675610222,89.93369447453954,65.5766522210184,61.82941495124594,58.08217768147345,56.20855904658721,50.58770314192849,46.84046587215601,44.96684723726977,43.09322860238353,1787.40245,10.93,11.075,11.1,11.245,11.06,11.07,11.07,11.165,11.08,11.16,11.21,1135.4763877381938,1293.424064750494,178.73926868905744,125.65574756229688,80.73892199349947,87.79197724810402,27.655400866738898,14.848537378114845,4.64016793066089,1.299247020585049,0.3712134344528711,1369.4315340003825,5291.8396875,588.670427474138,41.92941852320367,3299.5449227000004,False,True,325.0,0.5023529411764706,0.4976470588235294,3558061.083138173,1770658.6331381735,575.4640557699064,0.3219555035128806,18.5,17.39943181818182,2.2975,0.8217562465297057,1.8879849764019987,65.61796918378678,3540.6504437698245,90.3903385948067,2950.640934612198,-966.4264188375092,5285.1598057666015,-1368.0924523168942,2360.631425454572
2025-05-06,136.086622020955,3203.7058934099828,51.54166666666666,2.085,2.04,2.0625,2.21,1.91,2.06,185.0,295.0,2.7857842371246453,0.5228753553066646,6.81,5039.22871328456,240.0,542.3985110460792,5.570875202593194,17.223679092382497,77.2054457050243,185.0,295,285,280,285,285,275,270.0,235,260,235,18.5,10.5,8.31,8.06,8.3,7.9,8.31,8.18,8.4,8.37,7.91,9.4375,6.625,7.4375,6.125,4.1875,3.3125,4.5,2.6875,4.875,768.5,493.0,377.5,281.0,284.0,209.5,171.0,153.5,101.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,1.936,1.47,0.959,0.765,0.656,0.275,0.175,0.086,0.014,0.007,3.562,3.149,2.676,1.911,1.541,1.237,1.131,1.011,1.026,0.717,473.0844623152315,434.9324895478741,124.5280391126545,103.124782390167,87.55877750108519,75.88427383427384,68.10127138973293,66.1555207785977,62.26401955632725,54.48101711178635,48.64376527838066,2444.554,11.545,11.405,11.545,11.805,11.59,11.495,11.4565,11.65,11.56,11.505,11.565,1675.1121747275592,1388.8724497955268,268.9146889493043,175.43482088597474,139.9453993511686,120.00546663315896,50.30716970140048,32.01365344634576,15.732423979347056,2.5610922757076606,1.2805461378538303,1598.758418816111,4744.9603125,628.167398995473,31.23010871226985,4458.357213916667,False,True,295.0,0.5154166666666666,0.4845833333333333,4742869.523039612,2298315.523039612,678.0030792966855,0.2773524656426839,18.5,17.690795454545455,2.0625,0.772054457050243,1.592362317666126,67.72839343598054,4496.8302022384805,89.23647760586472,3870.179885883348,-1169.0488274012114,6639.504214741011,-1600.2755014564518,3243.529569528216
2025-05-07,139.45305631619348,3346.873351588644,49.25,2.19,2.19,2.19,1.93,2.11,2.02,750.0,665.0,0.0,0.4418248218949644,0.0,4831.132401962435,250.0,544.9586624436548,5.430384307445957,16.74544835868695,77.8241673338671,750.0,665,495,475,480,485,470,495.0,445,430,455,22.0,12.86,8.26,8.37,8.53,8.14,8.59,8.61,8.72,8.5,8.22,13.6875,12.4375,8.5,6.625,6.3125,6.6875,6.85,9.0625,18.8125,660.5,498.5,381.5,323.5,252.5,191.0,155.0,136.5,110.5,1574.5,1331.0,945.5,843.5,645.0,495.0,401.5,345.0,314.0,2.335,2.101,1.698,1.173,0.795,0.63,0.561,0.203,0.117,0.02,0.009,2.09,2.572,2.369,2.038,1.599,1.372,1.099,0.957,0.803,0.605,414.0410683129781,342.65467722453366,96.47870755603276,87.37694269225607,78.2751778284794,69.17341296470272,60.071648100926055,54.61058918266004,49.149530264394045,43.68847134612803,41.8681183733727,2389.2121,11.62,11.615,11.925,11.9745,11.485,11.375,11.41,11.555,11.47,11.51,11.495,1360.8710240236212,1545.5081197154743,318.51002415783114,220.03077640585155,149.12571802442625,118.1750973023755,105.23211045497249,38.07864246409878,21.94680378472688,3.751590390551604,1.6882156757482214,1337.3883438464636,7108.22859375,406.2654989879645,30.476205486408432,4450.504839275,True,False,750.0,0.4925,0.5075000000000001,4851192.081218273,2461979.981218274,1846.4849859137053,0.7728426395939086,22.0,17.905795454545455,2.19,0.778241673338671,1.7043492646116896,67.25388560848678,4286.17373951878,88.71985660707023,3882.9181223996775,-948.2142795627578,6171.530627677761,-1340.3982257153257,3479.6625052805744
2025-05-08,135.5861771020855,3254.068250450052,52.29166666666666,2.26,2.55,2.405,2.42,2.23,2.325,230.0,275.0,0.0,0.3793830292678631,0.0,5905.11531714024,510.0,605.4172830203187,5.867649556155925,17.807499035121573,76.32485140872251,230.0,275,260,310,325,305,305,330.0,315,345,355,18.27,10.61,8.31,8.22,8.46,8.0,8.29,8.48,8.6,8.65,8.38,13.25,6.375,12.875,11.1875,9.125,7.625,12.875,10.375,15.0625,768.5,721.5,491.0,370.0,287.0,238.0,214.0,197.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,2.21,1.417,1.25,0.835,0.654,0.614,0.558,0.228,0.089,0.008,2.794,2.954,2.443,2.255,1.856,1.635,1.515,1.303,1.019,0.958,522.327159783734,428.7760266881399,109.33788680547568,95.42215575750603,77.53050155297366,67.59069366156679,61.62680892672265,57.650885770159896,55.66292419187853,53.67496261359715,49.6990394570344,2536.8481,11.38,11.62,11.53,11.805,11.5,11.475,11.88,11.71,11.495,11.75,11.78,1530.6356838835843,1571.8888761072126,257.0038312435293,226.7147417462326,151.44544748648337,118.6171528816289,111.36228114574944,101.20546071551824,41.35276889451283,16.14208961233176,1.4509743471758887,1579.2990452087886,9367.5046875,1174.8942102892838,31.345378200316777,4594.337611104167,False,True,275.0,0.5229166666666667,0.4770833333333333,4851342.980079682,2314494.880079681,636.4860920219124,0.2508964143426295,18.27,18.04102272727273,2.405,0.763248514087225,1.835612676379776,68.46424884214589,5299.698034119921,89.74757899709377,4127.81930806396,-1777.29600907628,7487.429846582352,-1582.314529442112,2955.940582007999
2025-05-09,137.78082176112753,3306.7397222670606,51.63,1.91,1.82,1.8625,1.77,1.85,1.81,480.0,530.0,1.346266453214572,0.4987935763024309,3.405,4581.437759027845,330.0,607.878627713075,5.92854961832061,13.223045801526716,80.84840458015267,480.0,530,590,525,510,530,530,465.0,430,405,330,19.02,10.45,8.6,8.27,8.57,8.0,8.34,8.55,8.41,8.4,8.17,13.8125,12.5,10.3125,11.9375,8.5,7.1875,6.875,4.9375,15.75,750.5,543.5,462.5,310.5,261.0,251.5,233.0,218.0,190.5,1387.5,1041.5,916.0,714.0,671.0,590.5,442.0,460.5,431.0,2.152,1.915,1.452,1.18,1.062,0.931,0.777,0.298,0.106,0.036,0.006,2.123,2.115,1.996,1.741,1.589,1.308,1.04,0.989,0.849,0.769,428.3256739145347,359.48761917827017,83.86769668701558,76.06605048357227,68.26440428012896,64.3635811784073,56.56193497496399,52.66111187324234,48.760288771520685,46.80987722065986,44.85946566979903,2529.217,11.32,11.28,11.44,11.4,11.24,11.275,11.37,11.355,11.295,11.405,11.44,1378.9612456272723,1372.5108032100968,265.37120104259554,215.6597914808972,194.0938123328075,170.15192022772482,142.0064898141162,54.46323547568421,19.372828726250088,6.579451265518897,1.0965752109198164,1330.027704232115,9011.9390625,156.12885846069082,30.846092697634525,4609.628240237505,False,True,530.0,0.5163,0.4837,4898735.23145458,2369518.231454581,1255.8446626709278,0.4965349602944026,19.02,18.171704545454546,1.8625,0.8084840458015267,1.505801535305343,65.67509064885496,3973.5591313147697,86.73170607817963,3820.267354413884,-761.1704046139607,5914.302544819765,-1332.8647857919204,3666.975577512998
2025-05-10,143.01174772429246,3333.3654865403832,50.958333333333336,2.285,2.315,2.3,2.08,2.25,2.165,300.0,285.0,0.0,0.4445069679382737,0.0,5420.906546438574,530.0,614.7070132525756,6.695577443028196,19.9554808806489,73.3489416763229,300.0,285,290,295,300,365,355,375.0,390,405,415,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,11.5625,11.125,10.0,7.0625,8.5625,8.8125,6.1875,14.0,758.5,518.0,469.0,359.5,334.0,338.0,290.5,278.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.924,1.958,1.958,1.749,1.288,1.051,0.956,0.387,0.167,0.039,0.01,3.01,2.821,2.645,2.4,1.89,1.44,1.248,1.135,1.062,1.054,0.0,0.0,95.66628416914722,80.35967870208366,74.61970165193483,63.13974755163717,57.39977050148833,53.57311913472245,51.6597934513395,47.83314208457361,45.919816401190666,2501.10345,11.605,11.54,11.865,11.88,11.455,11.435,11.67,11.575,11.43,11.74,11.77,1756.152786929946,1413.8762980299482,360.5384559976368,322.0540140653048,237.1672785112136,193.52702617646383,176.03409802540386,71.26066520484446,30.75072632870549,7.181307346224635,1.8413608580063163,570.1710536481174,9437.14359375,244.90645880811564,29.717838342857203,4586.294238793751,True,False,300.0,0.5095833333333334,0.4904166666666666,4908134.325429272,2407030.875429272,722.1092626287816,0.288716271463614,19.02,18.14965909090909,2.3,0.7334894167632291,1.6870256585554269,70.84164735419081,4806.199533185998,88.6604388401341,4570.384017473698,-850.5225289648761,6000.168543182507,-579.2619967439332,4334.568501761398
