pattern_id,pattern_type,point_id,x,y,floor_rl
A185-001-01,Ramp,1,363647.73071457713,6591663.582818911,185.0
A185-001-01,Ramp,2,363638.1760511453,6591663.050528723,185.0
A185-001-01,Ramp,3,363628.67317800736,6591662.323773338,185.0
A185-001-01,Ramp,4,363619.1364337584,6591661.817,185.0
A185-001-01,Ramp,5,363609.5694385221,6591661.393435727,185.0
A185-001-01,Ramp,6,363600.0151687979,6591661.175749153,185.0
A185-001-01,Ramp,7,363590.5148527073,6591661.555748723,185.0
A185-001-01,Ramp,8,363581.0881849686,6591662.595275213,185.0
A185-001-01,Ramp,9,363571.6517873303,6591663.733094441,185.0
A185-001-01,Ramp,10,363562.1332755748,6591664.187030917,185.0
A185-001-01,Ramp,11,363552.7283433929,6591664.936,185.0
A185-001-01,Ramp,12,363550.1926204184,6591665.074472099,185.0
A185-001-01,Ramp,13,363551.83334773045,6591695.029572063,185.0
A185-001-01,Ramp,14,363554.3690707042,6591694.890683195,185.0
A185-001-01,Ramp,15,363555.1085600895,6591694.841010304,185.0
A185-001-01,Ramp,16,363564.0384004105,6591694.130271248,185.0
A185-001-01,Ramp,17,363573.0808589155,6591693.699037683,185.0
A185-001-01,Ramp,18,363575.2431,6591693.517359273,185.0
A185-001-01,Ramp,19,363584.52809247415,6591692.397796833,185.0
A185-001-01,Ramp,20,363592.76125129074,6591691.49,185.0
A185-001-01,Ramp,21,363600.2732,6591691.189,185.0
A185-001-01,Ramp,22,363608.564249657,6591691.378319083,185.0
A185-001-01,Ramp,23,363617.6769902142,6591691.781739064,185.0
A185-001-01,Ramp,24,363626.7330782387,6591692.263003549,185.0
A185-001-01,Ramp,25,363635.8884082544,6591692.963179725,185.0
A185-001-01,Ramp,26,363636.50733900105,6591693.004082765,185.0
A185-001-01,Ramp,27,363645.56179724616,6591693.508506528,185.0
A185-001-01,Ramp,28,363647.2706011828,6591693.661075716,185.0
A185-001-01,Ramp,29,363649.93851434434,6591663.78,185.0
A185-001-01,Ramp,30,363647.73071457713,6591663.582818911,185.0
A185-001-02,Slot,1,363495.2287975972,6591702.485365343,185.0
A185-001-02,Slot,2,363501.6695481994,6591701.518287357,185.0
A185-001-02,Slot,3,363502.85524371866,6591701.315870891,185.0
A185-001-02,Slot,4,363511.4976604856,6591699.661520815,185.0
A185-001-02,Slot,5,363520.24241084926,6591698.208460768,185.0
A185-001-02,Slot,6,363520.2751975268,6591698.202994145,185.0
A185-001-02,Slot,7,363528.7571740432,6591696.783938483,185.0
A185-001-02,Slot,8,363536.2569875004,6591695.843041989,185.0
A185-001-02,Slot,9,363544.6842515699,6591695.420822691,185.0
A185-001-02,Slot,10,363544.8238141994,6591695.413504452,185.0
A185-001-02,Slot,11,363551.8333477296,6591695.029572063,185.0
A185-001-02,Slot,12,363550.1926204184,6591665.074472099,185.0
A185-001-02,Slot,13,363543.1830868881,6591665.458404488,185.0
A185-001-02,Slot,14,363533.6355425435,6591665.936751605,185.0
