pattern_id,blocks_inside,polygon_area,polygon_valid,n_polygon_points,x_min,y_min,x_max,y_max
27,18,1910.1085160944326,True,34,363779.7341756034,6591825.505994958,363835.645686221,6591901.745589098
26,25,2605.6267011462724,True,30,363697.1511126127,6591871.079037319,363785.0100534023,6591928.629160948
22,27,2650.497774638014,True,44,363327.6788772511,6591723.836568089,363387.3395519976,6591814.983285845
16,29,2778.170632201185,True,45,363357.7209239007,6591748.910565337,363398.4906025903,6591857.272811889
4,33,3375.0454243289823,True,9,363554.6538056631,6591691.81470136,363605.8887924315,6591775.071554858
21,34,3447.174069128731,True,36,363376.6823504636,6591674.202674658,363492.0853628713,6591749.188701209
19,34,3338.1568489362385,True,7,363700.10025148734,6591838.515753916,363783.1489628522,6591896.795551364
24,35,3381.915381062522,True,28,363450.27520650486,6591889.761836043,363569.86419236,6591937.514880618
7,36,3436.488811438986,True,8,363597.9801591387,6591692.087762824,363646.9199363151,6591772.222484317
6,36,3608.0221522591946,True,6,363392.6743199437,6591719.042169145,363453.8681072652,6591801.3623830415
18,37,4136.994001996251,True,18,363569.618260532,6591872.755134917,363700.10025148734,6591908.977216638
20,37,3761.466539253147,True,23,363781.80915249535,6591750.367560274,363842.1572577694,6591867.589248044
10,38,4288.001669500369,True,9,363562.414230014,6591772.950981786,363642.5489515064,6591829.773784298
25,38,3884.371024896591,True,32,363567.5901746783,6591899.956835106,363701.14944799984,6591938.977308095
5,38,3737.859240429043,True,11,363447.942738142,6591703.558971153,363503.3758729016,6591790.978667326
23,41,4277.986269598736,True,35,363329.3798261145,6591811.096154929,363459.3887521406,6591915.5551708285
9,42,4289.232123077682,True,13,363643.2774489745,6591695.749702192,363703.7427388279,6591780.235956467
14,43,4228.155105867198,True,8,363399.9592946248,6591791.8919159565,363458.2390920738,6591886.59658681
11,43,4257.871826896364,True,10,363695.0007692105,6591705.200717251,363763.4795312132,6591793.348910892
13,54,5117.91971066268,True,8,363641.8204540383,6591773.780659458,363744.5385970422,6591839.972748851
17,57,5655.398819096176,True,11,363732.1541400843,6591724.499708196,363807.917876768,6591847.986221001
8,57,5803.573333898919,True,12,363453.8681072652,6591775.136474189,363568.2422097589,6591841.429743788
15,59,5414.77924316666,True,7,363567.5137122908,6591829.04528683,363699.3717540192,6591873.483632385
12,71,7025.679592866394,True,16,363457.5105946057,6591829.773784298,363571.840333547,6591907.767044616
