x,y,block_id,x_m,y_m,z_top_m,z_bottom_m,bench_name,location,oxidation,density_tpm3,au_gpt,cu_pct,ag_gpt,Axb,BWi_kWht,DWi_kWhm3,UCS_MPa,RMR,digability,sulfides_pct,carbonate_pct,clays_pct,fault_dist_m,cn_demand_kgt,rec_au,rec_cu,rec_ag,pf_target_kgpm3,target_p80_mm,wet,latitude,longitude,lithology,alteration_domain,mineral_domain,structure_domain,pattern_id
363274.918068,6591391.589991,B_013_007,130.0,-380.0,200.0,185.0,RL185-200,waste,transition,2.61,0.003,0.0183,0.4,51.7,19.83,6.22,104.4,63.7,hard,0.54,0.46,2.59,59.0,0.0,0.73,0.74,0.74,1.0,140,True,-30.802687420907,121.570820162454,propylitic_volcanics,propylitic_halo,waste,background,
363284.918068,6591391.589991,B_014_007,140.0,-380.0,200.0,185.0,RL185-200,waste,transition,2.6,0.004,0.0191,0.43,52.5,18.08,6.11,93.7,57.6,medium,0.71,0.49,2.46,49.1,0.0,0.74,0.73,0.75,0.98,150,True,-30.80268857335,121.570924664469,propylitic_volcanics,propylitic_halo,waste,background,
363294.918068,6591391.589991,B_015_007,150.0,-380.0,200.0,185.0,RL185-200,waste,transition,2.59,0.004,0.0212,0.45,51.2,18.38,6.36,92.7,59.6,medium,0.61,0.4,2.65,39.2,0.0,0.73,0.72,0.74,0.94,145,False,-30.802689725708,121.57102916649,propylitic_volcanics,propylitic_halo,waste,background,
363304.918068,6591391.589991,B_016_007,160.0,-380.0,200.0,185.0,RL185-200,waste,transition,2.59,0.005,0.0231,0.5,52.8,18.4,5.26,101.9,52.6,medium,0.54,0.48,2.68,29.3,0.0,0.73,0.74,0.75,0.96,145,True,-30.802690877983,121.571133668516,propylitic_volcanics,propylitic_halo,waste,cross_fault,
363314.918068,6591391.589991,B_017_007,170.0,-380.0,200.0,185.0,RL185-200,waste,transition,2.58,0.005,0.0233,0.48,53.8,17.07,6.32,77.6,39.7,medium,0.65,0.64,3.34,19.3,0.0,0.72,0.73,0.72,0.85,155,True,-30.802692030173,121.571238170549,propylitic_volcanics,propylitic_halo,waste,cross_fault,
363324.918068,6591391.589991,B_018_007,180.0,-380.0,200.0,185.0,RL185-200,waste,transition,2.54,0.005,0.0227,0.46,54.5,15.99,5.03,68.3,27.6,soft,0.68,0.47,4.27,9.4,0.0,0.7,0.71,0.69,0.72,160,True,-30.802693182279,121.571342672588,propylitic_volcanics,propylitic_halo,waste,cross_fault,
363214.918068,6591401.589991,B_007_008,70.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.63,0.003,0.0152,0.33,52.7,17.59,6.18,87.1,54.2,medium,0.65,0.55,2.69,118.4,0.0,0.74,0.73,0.75,0.9,150,True,-30.80259029767,121.570194486196,propylitic_volcanics,propylitic_halo,waste,background,
363224.918068,6591401.589991,B_008_008,80.0,-370.0,200.0,185.0,RL185-200,waste,fresh,2.7,0.003,0.0169,0.36,48.0,19.37,7.06,114.3,59.7,hard,0.63,0.29,1.42,108.5,0.0,0.75,0.87,0.77,1.01,140,False,-30.802591450615,121.570298988077,propylitic_volcanics,propylitic_halo,waste,background,
363234.918068,6591401.589991,B_009_008,90.0,-370.0,200.0,185.0,RL185-200,waste,fresh,2.75,0.003,0.0163,0.37,45.8,19.16,6.66,122.9,60.2,hard,0.64,0.62,1.48,98.6,0.0,0.74,0.87,0.75,1.05,135,False,-30.802592603474,121.570403489964,propylitic_volcanics,propylitic_halo,waste,background,
363244.918068,6591401.589991,B_010_008,100.0,-370.0,200.0,185.0,RL185-200,waste,fresh,2.66,0.003,0.0172,0.37,48.3,19.67,6.58,116.5,64.3,hard,0.5,0.41,1.52,88.6,0.0,0.75,0.85,0.77,1.02,140,False,-30.80259375625,121.570507991857,propylitic_volcanics,propylitic_halo,waste,background,
