pattern_id,pattern_type,point_id,x,y
4,Production,1,363597.88332574896,6591691.81470136
4,Production,2,363575.46801903774,6591695.016888033
4,Production,3,363554.6538056631,6591697.418528037
4,Production,4,363555.5855299663,6591706.456253777
4,Production,5,363564.4077124879,6591774.152110308
4,Production,6,363562.58891998086,6591774.38913692
4,Production,7,363562.65927234566,6591775.071554858
4,Production,8,363605.8887924315,6591771.869368185
4,Production,9,363597.88332574896,6591691.81470136
5,Production,1,363471.6218488556,6591708.391040434
5,Production,2,363471.4038244576,6591708.463023411
5,Production,3,363464.4686733692,6591710.647104735
5,Production,4,363458.4106345431,6591713.138381535
5,Production,5,363451.2302278874,6591716.216612219
5,Production,6,363450.1391336324,6591716.659222567
5,Production,7,363447.942738142,6591717.500398036
5,Production,8,363454.6225808048,6591790.978667326
5,Production,9,363503.3758729016,6591782.012544642
5,Production,10,363493.84936754935,6591703.558971153
5,Production,11,363471.6218488556,6591708.391040434
6,Production,1,363422.54271613626,6591728.51263623
6,Production,2,363392.6743199437,6591747.453570401
6,Production,3,363400.6877920929,6591801.3623830415
6,Production,4,363453.8681072652,6591791.163418488
6,Production,5,363446.583132584,6591719.042169145
6,Production,6,363422.54271613626,6591728.51263623
7,Production,1,363644.0059464426,6591772.222484317
7,Production,2,363646.9199363151,6591695.001752697
7,Production,3,363610.49506290944,6591692.087762824
7,Production,4,363597.9801591387,6591692.783035257
7,Production,5,363605.8887924315,6591771.869368185
7,Production,6,363605.3638690538,6591771.908251398
7,Production,7,363605.3955806327,6591772.222484317
7,Production,8,363644.0059464426,6591772.222484317
8,Production,1,363568.2422097589,6591829.04528683
8,Production,2,363561.68573254585,6591775.136474189
8,Production,3,363519.5310313601,6591780.000478173
8,Production,4,363504.9893271667,6591781.895565629
8,Production,5,363504.96144099406,6591781.681584753
8,Production,6,363504.86293003306,6591781.692951403
8,Production,7,363503.3757618736,6591782.011630294
8,Production,8,363503.3758729016,6591782.012544642
8,Production,9,363503.3449903477,6591782.018224193
8,Production,10,363453.8681072652,6591792.620413424
8,Production,11,363458.9675895419,6591841.429743788
8,Production,12,363568.2422097589,6591829.04528683
9,Production,1,363695.7292666786,6591780.235956467
9,Production,2,363703.7427388279,6591704.472219783
9,Production,3,363689.2762732244,6591700.771496024
9,Production,4,363686.25580494094,6591700.060583529
9,Production,5,363685.5940206974,6591699.896864985
9,Production,6,363677.7790864924,6591697.869030148
9,Production,7,363670.75426121306,6591696.438905455
9,Production,8,363670.49835449393,6591696.405442267
9,Production,9,363646.8917118059,6591695.749702192
9,Production,10,363644.0059464426,6591772.222484317
9,Production,11,363643.304939445,6591772.222484317
9,Production,12,363643.2774489745,6591772.950981786
9,Production,13,363695.7292666786,6591780.235956467
10,Production,1,363642.5489515064,6591828.316789362
10,Production,2,363642.5489515064,6591772.950981786
10,Production,3,363604.6670831645,6591772.950981786
10,Production,4,363562.414230014,6591775.864971657
10,Production,5,363564.6538675003,6591799.54113937
10,Production,6,363568.2422097589,6591829.04528683
10,Production,7,363567.4532584942,6591829.134701306
10,Production,8,363567.5137122908,6591829.773784298
10,Production,9,363642.5489515064,6591828.316789362
11,Production,1,363745.2670945103,6591793.348910892
11,Production,2,363763.4795312132,6591724.141651422
11,Production,3,363745.9955919784,6591715.399681805
11,Production,4,363722.68367299886,6591709.571702059
11,Production,5,363703.7427388279,6591705.200717251
11,Production,6,363702.9065504299,6591712.378001001
11,Production,7,363695.7292666786,6591780.235956467
11,Production,8,363695.0123694887,6591780.136387412
11,Production,9,363695.0007692105,6591780.235956467
11,Production,10,363745.2670945103,6591793.348910892
12,Production,1,363457.5105946057,6591842.158241256
12,Production,2,363458.9675895419,6591886.59658681
12,Production,3,363491.5771103986,6591895.428332043
12,Production,4,363494.47715859866,6591895.955504877
12,Production,5,363495.8120036435,6591896.229610235
12,Production,6,363504.3135295856,6591898.177586816
12,Production,7,363512.89817383385,6591900.000258401
12,Production,8,363513.17484447535,6591900.060366239
12,Production,9,363520.8805283104,6591901.772574693
12,Production,10,363527.02311485406,6591902.683593136
12,Production,11,363552.810170185,6591905.999071679
12,Production,12,363555.5508192602,6591906.303075088
12,Production,13,363564.48862350825,6591907.185402615
12,Production,14,363571.840333547,6591907.767044616
12,Production,15,363566.7852148227,6591829.773784298
12,Production,16,363457.5105946057,6591842.158241256
13,Production,1,363732.8826375524,6591839.972748851
13,Production,2,363744.5385970422,6591794.07740836
13,Production,3,363694.2722717424,6591780.964453935
13,Production,4,363642.5489515064,6591773.780659458
13,Production,5,363642.5489515064,6591828.316789362
13,Production,6,363641.8204540383,6591828.330934944
13,Production,7,363641.8204540383,6591829.04528683
13,Production,8,363732.8826375524,6591839.972748851
14,Production,1,363400.6877920929,6591858.185185554
14,Production,2,363408.7012642421,6591864.0131653
14,Production,3,363424.7282085407,6591872.026637449
14,Production,4,363458.2390920738,6591886.59658681
14,Production,5,363456.7820971376,6591842.886738724
14,Production,6,363452.4111123289,6591791.8919159565
14,Production,7,363399.9592946248,6591802.819377977
14,Production,8,363400.6877920929,6591858.185185554
15,Production,1,363699.3717540192,6591873.483632385
15,Production,2,363699.3717540192,6591838.515753916
15,Production,3,363641.8204540383,6591829.04528683
15,Production,4,363567.5137122908,6591832.68777417
15,Production,5,363568.1759827164,6591851.231346087
15,Production,6,363569.618260532,6591873.483632385
15,Production,7,363699.3717540192,6591873.483632385
16,Production,1,363390.4888275393,6591748.910565337
16,Production,2,363368.86923452106,6591771.971464557
16,Production,3,363368.8083974326,6591772.086254208
16,Production,4,363367.4961818153,6591774.254130175
16,Production,5,363364.8865418478,6591778.9142015455
16,Production,6,363364.3531042138,6591780.1091885865
16,Production,7,363363.0027068264,6591782.933498045
16,Production,8,363362.0995496928,6591785.733114896
16,Production,9,363361.5160201311,6591787.376799389
16,Production,10,363359.7472533305,6591791.934275593
16,Production,11,363359.2777789833,6591793.205397866
16,Production,12,363359.08490305,6591794.61662612
16,Production,13,363359.0258751775,6591795.0273296805
16,Production,14,363358.2880706815,6591799.920282047
16,Production,15,363358.0541023053,6591801.263971235
16,Production,16,363357.7258034184,6591802.925032615
16,Production,17,363357.74447127903,6591804.523402616
16,Production,18,363357.7434417982,6591805.30330725
16,Production,19,363357.7209239007,6591806.875810903
16,Production,20,363357.842450005,6591807.49109064
16,Production,21,363358.8637572379,6591811.374853309
16,Production,22,363358.883370924,6591811.44983263
16,Production,23,363359.390639933,6591813.399305386
16,Production,24,363360.37107986433,6591815.470046767
16,Production,25,363360.7508131866,6591816.3048200365
16,Production,26,363362.22303993226,6591819.67706561
16,Production,27,363363.1681024342,6591821.372262286
16,Production,28,363363.7757987043,6591822.418850307
16,Production,29,363366.0595264609,6591825.964681347
16,Production,30,363366.9927944285,6591827.5144577725
16,Production,31,363368.4352928298,6591830.081983404
16,Production,32,363370.5122140313,6591832.711838084
16,Production,33,363372.0049579592,6591834.776552446
16,Production,34,363373.44909410446,6591836.964006654
16,Production,35,363375.0003256519,6591838.554471606
16,Production,36,363378.6337762911,6591841.889390646
16,Production,37,363382.6454828052,6591845.341659465
16,Production,38,363387.3558138001,6591849.076956576
16,Production,39,363388.58290878695,6591850.104533719
16,Production,40,363389.73293890303,6591851.120978255
16,Production,41,363392.7075087562,6591853.517159525
16,Production,42,363395.553019873,6591855.3813282205
16,Production,43,363398.4906025903,6591857.272811889
16,Production,44,363397.7738022205,6591801.3623830415
16,Production,45,363390.4888275393,6591748.910565337
17,Production,1,363785.3344552565,6591847.986221001
17,Production,2,363807.917876768,6591749.639062806
17,Production,3,363763.3853057461,6591724.499708196
17,Production,4,363745.2670945103,6591793.348910892
17,Production,5,363744.6278991224,6591793.1821642695
17,Production,6,363744.4022353595,6591794.041835748
17,Production,7,363744.5385970422,6591794.07740836
17,Production,8,363732.8826375524,6591839.972748851
17,Production,9,363732.3617777533,6591839.910245676
17,Production,10,363732.1541400843,6591840.701246319
17,Production,11,363785.3344552565,6591847.986221001
18,Production,1,363571.88469709945,6591907.723013386
18,Production,2,363574.1394491401,6591907.901020126
18,Production,3,363581.970084983,6591908.186596216
18,Production,4,363583.0715938139,6591908.2470636815
18,Production,5,363591.6990405224,6591908.87995944
18,Production,6,363600.1738152047,6591908.977216638
18,Production,7,363608.55070337007,6591908.972765949
18,Production,8,363634.5354793572,6591906.26601845
18,Production,9,363672.4681530952,6591902.938590929
18,Production,10,363680.3313846221,6591901.766307962
18,Production,11,363680.7467767216,6591901.707345805
18,Production,12,363682.1087383136,6591901.523730515
18,Production,13,363700.10025148734,6591898.252546301
18,Production,14,363699.3717540192,6591872.755134917
18,Production,15,363699.3717540192,6591873.483632385
18,Production,16,363569.618260532,6591873.483632385
18,Production,17,363571.7638562872,6591906.587109751
18,Production,18,363571.88469709945,6591907.723013386
19,Production,1,363761.2940388089,6591878.583114661
19,Production,2,363781.691967916,6591869.112647576
