x,y,block_id,x_m,y_m,z_top_m,z_bottom_m,bench_name,location,oxidation,density_tpm3,au_gpt,cu_pct,ag_gpt,Axb,BWi_kWht,DWi_kWhm3,UCS_MPa,RMR,digability,sulfides_pct,carbonate_pct,clays_pct,fault_dist_m,cn_demand_kgt,rec_au,rec_cu,rec_ag,pf_target_kgpm3,target_p80_mm,wet,latitude,longitude,lithology,alteration_domain,mineral_domain,structure_domain
443836.6912489614,6812280.128649618,B_013_007,130.0,-380.0,200.0,185.0,RL185-200,waste,transition,2.61,0.056,0.0073,0.39,51.7,19.83,6.22,104.4,63.7,hard,0.54,0.46,2.59,59.0,0.284,0.86,0.72,0.69,1.00,140,True,-28.693943582464964,122.42261124777502,propylitic_volcanics,propylitic_halo,waste,background
443846.6912489614,6812280.128649618,B_014_007,140.0,-380.0,200.0,185.0,RL185-200,waste,transition,2.60,0.070,0.0077,0.42,52.5,18.08,6.11,93.7,57.6,medium,0.71,0.49,2.46,49.1,0.248,0.87,0.71,0.70,0.98,150,True,-28.693943582464964,122.42271365145002,propylitic_volcanics,propylitic_halo,waste,background
443856.6912489614,6812280.128649618,B_015_007,150.0,-380.0,200.0,185.0,RL185-200,waste,transition,2.59,0.072,0.0087,0.43,51.2,18.38,6.36,92.7,59.6,medium,0.61,0.40,2.65,39.2,0.274,0.86,0.70,0.69,0.94,145,False,-28.693943582464964,122.42281605512504,propylitic_volcanics,propylitic_halo,waste,background
443866.6912489614,6812280.128649618,B_016_007,160.0,-380.0,200.0,185.0,RL185-200,waste,transition,2.59,0.085,0.0096,0.48,52.8,18.40,5.26,101.9,52.6,medium,0.54,0.48,2.68,29.3,0.269,0.86,0.72,0.70,0.96,145,True,-28.693943582464964,122.42291845880004,propylitic_volcanics,propylitic_halo,waste,cross_fault
443876.6912489614,6812280.128649618,B_017_007,170.0,-380.0,200.0,185.0,RL185-200,waste,transition,2.58,0.090,0.0097,0.46,53.8,17.07,6.32,77.6,39.7,medium,0.65,0.64,3.34,19.3,0.302,0.85,0.71,0.67,0.85,155,True,-28.693943582464964,122.42302086247504,propylitic_volcanics,propylitic_halo,waste,cross_fault
443886.6912489614,6812280.128649618,B_018_007,180.0,-380.0,200.0,185.0,RL185-200,waste,transition,2.54,0.082,0.0094,0.44,54.5,15.99,5.03,68.3,27.6,soft,0.68,0.47,4.27,9.4,0.305,0.83,0.69,0.64,0.72,160,True,-28.693943582464964,122.42312326615004,propylitic_volcanics,propylitic_halo,waste,cross_fault
443776.6912489614,6812290.128649618,B_007_008,70.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.63,0.035,0.0058,0.32,52.7,17.59,6.18,87.1,54.2,medium,0.65,0.55,2.69,118.4,0.271,0.87,0.71,0.70,0.90,150,True,-28.693853751347465,122.421996825725,propylitic_volcanics,propylitic_halo,waste,background
443786.6912489614,6812290.128649618,B_008_008,80.0,-370.0,200.0,185.0,RL185-200,waste,fresh,2.70,0.036,0.0071,0.34,48.0,19.37,7.06,114.3,59.7,hard,0.63,0.29,1.42,108.5,0.245,0.89,0.84,0.72,1.01,140,False,-28.693853751347465,122.42209922940002,propylitic_volcanics,propylitic_halo,waste,background
443796.6912489614,6812290.128649618,B_009_008,90.0,-370.0,200.0,185.0,RL185-200,waste,fresh,2.75,0.041,0.0068,0.36,45.8,19.16,6.66,122.9,60.2,hard,0.64,0.62,1.48,98.6,0.256,0.87,0.84,0.70,1.05,135,False,-28.693853751347465,122.42220163307502,propylitic_volcanics,propylitic_halo,waste,background
443806.6912489614,6812290.128649618,B_010_008,100.0,-370.0,200.0,185.0,RL185-200,waste,fresh,2.66,0.046,0.0073,0.35,48.3,19.67,6.58,116.5,64.3,hard,0.50,0.41,1.52,88.6,0.238,0.89,0.82,0.72,1.02,140,False,-28.693853751347465,122.42230403675002,propylitic_volcanics,propylitic_halo,waste,background
443816.6912489614,6812290.128649618,B_011_008,110.0,-370.0,200.0,185.0,RL185-200,waste,fresh,2.69,0.046,0.0079,0.39,45.4,19.26,6.78,116.9,53.5,medium,0.56,0.50,1.54,78.7,0.223,0.88,0.83,0.71,1.03,135,False,-28.693853751347465,122.42240644042502,propylitic_volcanics,propylitic_halo,waste,background
443826.6912489614,6812290.128649618,B_012_008,120.0,-370.0,200.0,185.0,RL185-200,waste,transition,2.60,0.057,0.0067,0.39,54.2,19.18,6.01,81.4,47.6,medium,0.50,0.62,2.59,68.8,0.289,0.87,0.70,0.69,0.83,150,True,-28.693853751347465,122.42250884410002,propylitic_volcanics,propylitic_halo,waste,background
