particle_id,column_id,layer,pre_x,pre_y,pre_z,pre_volume_m3,pre_cell_area_m2,z_fraction_from_floor,depth_fraction_from_top,pre_floor_z_m,pre_top_z_m,nearest_hole_id,nearest_hole_distance_m,lithology,mineral_domain,structure_domain,digability,coarse_risk,dx_m,dy_m,horizontal_displacement_m,throw_model_m,direction_x,direction_y,nearest_hole_index,nearest_hole_id_model,model_burden_m,model_spacing_m,model_energy_density_mj_m3,model_firing_time_ms,model_front_relief_norm,model_depth_fraction_from_top,model_back_relief_norm,model_row_throw_factor,model_face_factor,model_toe_factor,model_face_row_throw_multiplier,model_face_row_vertical_damping,model_lateral_spread_multiplier,model_depth_factor,model_vertical_heave_m,post_x,post_y,post_volume_m3,topo_i,topo_j,post_z,post_floor_z_m,post_surface_z_m,post_muckpile_height_m
1,1,1,363448.942738142,6591716.558971153,185.9375,1.6555316583643387,0.8829502177943139,0.0625,0.9375,185.0,200.0,5-H-006,3.941657989279955,propylitic_volcanics,waste,background,hard,bad,2.4498668582373675,0.5719416475720969,2.5157434033138824,2.467859568437978,0.9801748594145622,0.19813441137683133,5,5-H-006,7.0,8.0,1.7899999999999998,498.6954923359684,0.0,0.9375,1.0,0.44999999999999996,0.0,0.9848687366886018,1.0,1.0,1.0,0.83125,2.648881911573785,363451.39260500023,6591717.1309128,2.019748623204493,0,7,186.01418526372345,185.0,189.96072350072387,4.960723500723869
2,1,2,363448.942738142,6591716.558971153,187.8125,1.6555316583643387,0.8829502177943139,0.1875,0.8125,185.0,200.0,5-H-006,3.941657989279955,propylitic_volcanics,waste,background,hard,bad,2.5543757670339753,0.24741427782353598,2.5663299445085683,2.5346587748017124,0.9801748594145622,0.19813441137683133,5,5-H-006,7.0,8.0,1.7899999999999998,498.6954923359684,0.0,0.8125,1.0,0.44999999999999996,0.0,0.8774689157719662,1.0,1.0,1.0,0.85375,2.683507818914619,363451.497113909,6591716.8063854305,2.019748623204493,0,7,186.09086396223745,185.0,189.96072350072387,4.960723500723869
3,1,3,363448.942738142,6591716.558971153,189.6875,1.6555316583643387,0.8829502177943139,0.3125,0.6875,185.0,200.0,5-H-006,3.941657989279955,propylitic_volcanics,waste,background,hard,bad,2.586417604772216,0.7219987823391926,2.6853004055365806,2.601457981165447,0.9801748594145622,0.19813441137683133,5,5-H-006,7.0,8.0,1.7899999999999998,498.6954923359684,0.0,0.6875,1.0,0.44999999999999996,0.0,0.700306794437507,1.0,1.0,1.0,0.87625,2.7181337262554526,363451.52915574674,6591717.280969935,2.019748623204493,0,7,186.86723436188547,185.0,189.96072350072387,4.960723500723869
4,1,4,363448.942738142,6591716.558971153,191.5625,1.6555316583643387,0.8829502177943139,0.4375,0.5625,185.0,200.0,5-H-006,3.941657989279955,propylitic_volcanics,waste,background,hard,bad,2.4166828249254677,0.7445558090744309,2.528778208763319,2.668257187529182,0.9801748594145622,0.19813441137683133,5,5-H-006,7.0,8.0,1.7899999999999998,498.6954923359684,0.0,0.5625,1.0,0.44999999999999996,0.0,0.4941770125291821,1.0,1.0,1.0,0.89875,2.7527596335962863,363451.3594209669,6591717.303526962,2.019748623204493,0,7,187.06258435994576,185.0,189.96072350072387,4.960723500723869
5,1,5,363448.942738142,6591716.558971153,193.4375,1.6555316583643387,0.8829502177943139,0.5625,0.4375,185.0,200.0,5-H-006,3.941657989279955,propylitic_volcanics,waste,background,hard,bad,2.774244546337895,0.016378897403935944,2.774292895706169,2.7350563938929167,0.9801748594145622,0.19813441137683133,5,5-H-006,7.0,8.0,1.7899999999999998,498.6954923359684,0.0,0.4375,1.0,0.44999999999999996,0.0,0.29687615478759505,1.0,1.0,1.0,0.92125,2.7873855409371204,363451.71698268835,6591716.57535005,2.019748623204493,0,7,188.41014532879706,185.0,189.96072350072387,4.960723500723869
6,1,6,363448.942738142,6591716.558971153,195.3125,1.6555316583643387,0.8829502177943139,0.6875,0.3125,185.0,200.0,5-H-006,3.941657989279955,propylitic_volcanics,waste,background,hard,bad,2.685581709728237,0.17063716261517153,2.6909972428250826,2.8018556002566513,0.9801748594145622,0.19813441137683133,5,5-H-006,7.0,8.0,1.7899999999999998,498.6954923359684,0.0,0.3125,1.0,0.44999999999999996,0.0,0.13907239614434003,1.0,1.0,1.0,0.94375,2.822011448277954,363451.6283198517,6591716.729608315,2.019748623204493,0,7,188.43992081779953,185.0,189.96072350072387,4.960723500723869
7,1,7,363448.942738142,6591716.558971153,197.1875,1.6555316583643387,0.8829502177943139,0.8125,0.1875,185.0,200.0,5-H-006,3.941657989279955,propylitic_volcanics,waste,background,hard,bad,2.831748052913908,0.6098296917054319,2.89666865348235,2.8686548066203863,0.9801748594145622,0.19813441137683133,5,5-H-006,7.0,8.0,1.7899999999999998,498.6954923359684,0.0,0.1875,1.0,0.44999999999999996,0.0,0.0400800265017407,1.0,1.0,1.0,0.96625,2.8566373556187874,363451.7744861949,6591717.168800845,2.019748623204493,0,7,188.68421832739276,185.0,189.96072350072387,4.960723500723869
8,1,8,363448.942738142,6591716.558971153,199.0625,1.6555316583643387,0.8829502177943139,0.9375,0.0625,185.0,200.0,5-H-006,3.941657989279955,propylitic_volcanics,waste,background,hard,bad,3.061000349318547,0.5240472542482424,3.105535165348058,2.935454012984121,0.9801748594145622,0.19813441137683133,5,5-H-006,7.0,8.0,1.7899999999999998,498.6954923359684,0.0,0.0625,1.0,0.44999999999999996,0.0,0.002333657639698224,1.0,1.0,1.0,0.98875,2.891263262959621,363452.0037384913,6591717.083018407,2.019748623204493,1,7,191.32903409291214,185.0,191.57694888157965,6.576948881579647
9,2,1,363448.942738142,6591718.558971153,185.9375,7.139122801127087,3.807532160601113,0.0625,0.9375,185.0,200.0,5-H-006,3.479159713717912,propylitic_volcanics,waste,background,hard,bad,2.3643714011286496,0.6025953968345658,2.4399535517630784,2.4811191194267064,0.9685997660161926,0.2486252064320451,5,5-H-006,6.999999999999999,8.0,1.79,510.51865843502736,0.0,0.9375,1.0,0.44999999999999996,0.0,0.9848687366886018,1.0,1.0,1.0,0.83125,2.6488819115737847,363451.3071095431,6591719.16156655,8.709729817375045,0,8,186.48935231273794,185.0,193.49503621773678,8.495036217736791
10,2,2,363448.942738142,6591718.558971153,187.8125,7.139122801127087,3.807532160601113,0.1875,0.8125,185.0,200.0,5-H-006,3.479159713717912,propylitic_volcanics,waste,background,hard,bad,2.533299880100425,0.42583425926149127,2.5688408083954153,2.548277230929985,0.9685997660161926,0.2486252064320451,5,5-H-006,6.999999999999999,8.0,1.79,510.51865843502736,0.0,0.8125,1.0,0.44999999999999996,0.0,0.8774689157719662,1.0,1.0,1.0,0.85375,2.6835078189146184,363451.4760380221,6591718.984805412,8.709729817375045,0,8,186.9387932683888,185.0,193.49503621773678,8.495036217736791
