particle_id,column_id,layer,pre_x,pre_y,pre_z,pre_volume_m3,pre_cell_area_m2,z_fraction_from_floor,depth_fraction_from_top,pre_floor_z_m,pre_top_z_m,nearest_hole_id,nearest_hole_distance_m,lithology,mineral_domain,structure_domain,digability,coarse_risk
1,1,1,363448.942738142,6591716.558971153,185.9375,1.6555316583643387,0.8829502177943139,0.0625,0.9375,185.0,200.0,5-H-006,3.941657989279955,propylitic_volcanics,waste,background,hard,bad
2,1,2,363448.942738142,6591716.558971153,187.8125,1.6555316583643387,0.8829502177943139,0.1875,0.8125,185.0,200.0,5-H-006,3.941657989279955,propylitic_volcanics,waste,background,hard,bad
3,1,3,363448.942738142,6591716.558971153,189.6875,1.6555316583643387,0.8829502177943139,0.3125,0.6875,185.0,200.0,5-H-006,3.941657989279955,propylitic_volcanics,waste,background,hard,bad
4,1,4,363448.942738142,6591716.558971153,191.5625,1.6555316583643387,0.8829502177943139,0.4375,0.5625,185.0,200.0,5-H-006,3.941657989279955,propylitic_volcanics,waste,background,hard,bad
5,1,5,363448.942738142,6591716.558971153,193.4375,1.6555316583643387,0.8829502177943139,0.5625,0.4375,185.0,200.0,5-H-006,3.941657989279955,propylitic_volcanics,waste,background,hard,bad
6,1,6,363448.942738142,6591716.558971153,195.3125,1.6555316583643387,0.8829502177943139,0.6875,0.3125,185.0,200.0,5-H-006,3.941657989279955,propylitic_volcanics,waste,background,hard,bad
7,1,7,363448.942738142,6591716.558971153,197.1875,1.6555316583643387,0.8829502177943139,0.8125,0.1875,185.0,200.0,5-H-006,3.941657989279955,propylitic_volcanics,waste,background,hard,bad
8,1,8,363448.942738142,6591716.558971153,199.0625,1.6555316583643387,0.8829502177943139,0.9375,0.0625,185.0,200.0,5-H-006,3.941657989279955,propylitic_volcanics,waste,background,hard,bad
9,2,1,363448.942738142,6591718.558971153,185.9375,7.139122801127087,3.807532160601113,0.0625,0.9375,185.0,200.0,5-H-006,3.479159713717912,propylitic_volcanics,waste,background,hard,bad
10,2,2,363448.942738142,6591718.558971153,187.8125,7.139122801127087,3.807532160601113,0.1875,0.8125,185.0,200.0,5-H-006,3.479159713717912,propylitic_volcanics,waste,background,hard,bad
