pattern_id,pattern_type,point_id,x,y
5,Production,1,363471.6218488556,6591708.391040434
5,Production,2,363471.4038244576,6591708.463023411
5,Production,3,363464.4686733692,6591710.647104735
5,Production,4,363458.4106345431,6591713.138381535
5,Production,5,363451.2302278874,6591716.216612219
5,Production,6,363450.1391336324,6591716.659222567
5,Production,7,363447.942738142,6591717.500398036
5,Production,8,363454.6225808048,6591790.978667326
5,Production,9,363503.3758729016,6591782.012544642
5,Production,10,363493.84936754935,6591703.558971153
5,Production,11,363471.6218488556,6591708.391040434
