pattern_id,pattern_type,pattern_source,surface,vertex_id,x,y,z_rl
1,Ramp,fixed_access,bottom_toe_floor,1,444444.1709315107,6812393.121272809,185.0
1,Ramp,fixed_access,bottom_toe_floor,2,444294.171687407,6812392.645070834,185.0
1,Ramp,fixed_access,bottom_toe_floor,3,444294.0605736129,6812427.644894458,185.0
1,Ramp,fixed_access,bottom_toe_floor,4,444444.0598177166,6812428.121096433,185.0
1,Ramp,fixed_access,bottom_toe_floor,5,444444.1709315107,6812393.121272809,185.0
1,Ramp,fixed_access,top_crest,1,444449.6477898467,6812387.6790791415,200.0
1,Ramp,fixed_access,top_crest,2,444288.72949373984,6812387.168212499,200.0
1,Ramp,fixed_access,top_crest,3,444288.5837152769,6812433.087088126,200.0
1,Ramp,fixed_access,top_crest,4,444449.50201138377,6812433.597954769,200.0
1,Ramp,fixed_access,top_crest,5,444449.6477898467,6812387.6790791415,200.0
2,Slot,fixed_slot,bottom_toe_floor,1,444294.171687407,6812392.645070834,185.0
2,Slot,fixed_slot,bottom_toe_floor,2,444184.1722417309,6812392.295856052,185.0
2,Slot,fixed_slot,bottom_toe_floor,3,444184.06112793664,6812427.295679676,185.0
2,Slot,fixed_slot,bottom_toe_floor,4,444294.06057361275,6812427.644894458,185.0
2,Slot,fixed_slot,bottom_toe_floor,5,444294.171687407,6812392.645070834,185.0
2,Slot,fixed_slot,top_crest,1,444299.6485457431,6812387.202877167,200.0
2,Slot,fixed_slot,top_crest,2,444178.7300480638,6812386.8189977165,200.0
2,Slot,fixed_slot,top_crest,3,444178.5842696006,6812432.737873344,200.0
2,Slot,fixed_slot,top_crest,4,444299.50276727986,6812433.121752794,200.0
2,Slot,fixed_slot,top_crest,5,444299.6485457431,6812387.202877167,200.0
3,Production,legacy_bounds_fit,bottom_toe_floor,1,444131.6975907733,6812485.576862451,185.0
3,Production,legacy_bounds_fit,bottom_toe_floor,2,444098.2618852142,6812489.434828477,185.0
3,Production,legacy_bounds_fit,bottom_toe_floor,3,444099.7585960868,6812503.9529239405,185.0
3,Production,legacy_bounds_fit,bottom_toe_floor,4,444113.93044548,6812612.698745163,185.0
3,Production,legacy_bounds_fit,bottom_toe_floor,5,444111.008758763,6812613.079501901,185.0
3,Production,legacy_bounds_fit,bottom_toe_floor,6,444111.1217719677,6812614.175729986,185.0
3,Production,legacy_bounds_fit,bottom_toe_floor,7,444180.5651604365,6812609.031775285,185.0
3,Production,legacy_bounds_fit,bottom_toe_floor,8,444167.7052736831,6812480.432907749,185.0
3,Production,legacy_bounds_fit,bottom_toe_floor,9,444131.6975907733,6812485.576862451,185.0
3,Production,legacy_bounds_fit,top_crest,1,444107.8111431268,6812607.990498371,200.0
3,Production,legacy_bounds_fit,top_crest,2,444105.0329553332,6812608.352554205,200.0
3,Production,legacy_bounds_fit,top_crest,3,444106.234983307,6812620.012225555,200.0
3,Production,legacy_bounds_fit,top_crest,4,444186.5550255638,6812614.062592795,200.0
3,Production,legacy_bounds_fit,top_crest,5,444172.571047813,6812474.2228152845,200.0
3,Production,legacy_bounds_fit,top_crest,6,444130.9985162439,6812480.161748366,200.0
3,Production,legacy_bounds_fit,top_crest,7,444092.27800130064,6812484.629500091,200.0
3,Production,legacy_bounds_fit,top_crest,8,444094.3353454751,6812504.585738583,200.0
3,Production,legacy_bounds_fit,top_crest,9,444107.8111431268,6812607.990498371,200.0
4,Production,legacy_bounds_fit,bottom_toe_floor,1,443964.53010254813,6812507.176574884,185.0
4,Production,legacy_bounds_fit,bottom_toe_floor,2,443953.3895580738,6812510.685057225,185.0
4,Production,legacy_bounds_fit,bottom_toe_floor,3,443943.6579963371,6812514.687014736,185.0
4,Production,legacy_bounds_fit,bottom_toe_floor,4,443932.12347622757,6812519.631848006,185.0
4,Production,legacy_bounds_fit,bottom_toe_floor,5,443930.3707553541,6812520.3428520225,185.0
4,Production,legacy_bounds_fit,bottom_toe_floor,6,443926.8424916822,6812521.69410632,185.0
4,Production,legacy_bounds_fit,bottom_toe_floor,7,443937.57291172905,6812639.728726834,185.0
4,Production,legacy_bounds_fit,bottom_toe_floor,8,444015.88962205773,6812625.32565367,185.0
4,Production,legacy_bounds_fit,bottom_toe_floor,9,444000.5863568212,6812499.298763486,185.0
4,Production,legacy_bounds_fit,bottom_toe_floor,10,443964.8803343558,6812507.060942283,185.0
4,Production,legacy_bounds_fit,bottom_toe_floor,11,443964.53010254813,6812507.176574884,185.0
4,Production,legacy_bounds_fit,top_crest,1,443962.8542135815,6812501.980466823,200.0
4,Production,legacy_bounds_fit,top_crest,2,443951.5279906747,6812505.547424717,200.0
4,Production,legacy_bounds_fit,top_crest,3,443941.54408031853,6812509.65315678,200.0
4,Production,legacy_bounds_fit,top_crest,4,443930.02155412675,6812514.592848272,200.0
4,Production,legacy_bounds_fit,top_crest,5,443928.3681243124,6812515.263574147,200.0
4,Production,legacy_bounds_fit,top_crest,6,443921.0312730733,6812518.073441177,200.0
4,Production,legacy_bounds_fit,top_crest,7,443932.67733975285,6812646.180174651,200.0
