pattern_id,pattern_type,pattern_source,surface,vertex_id,x,y,z_rl
1,Ramp,fixed_access,bottom_toe_floor,1,444529.1753965446,6812432.607107994,185.0
1,Ramp,fixed_access,bottom_toe_floor,2,444530.55196891783,6812434.992590914,185.0
1,Ramp,fixed_access,bottom_toe_floor,3,444530.7895968564,6812439.284810105,185.0
1,Ramp,fixed_access,bottom_toe_floor,4,444531.1067014894,6812451.900926201,185.0
1,Ramp,fixed_access,bottom_toe_floor,5,444531.28000445943,6812467.703872807,185.0
1,Ramp,fixed_access,bottom_toe_floor,6,444531.61468438874,6812472.718758426,185.0
1,Ramp,fixed_access,bottom_toe_floor,7,444564.7908852722,6812470.504668332,185.0
1,Ramp,fixed_access,bottom_toe_floor,8,444561.3040229665,6812418.257090582,185.0
1,Ramp,fixed_access,bottom_toe_floor,9,444558.9154934274,6812414.117971908,185.0
1,Ramp,fixed_access,bottom_toe_floor,10,444555.34411295445,6812408.773028028,185.0
1,Ramp,fixed_access,bottom_toe_floor,11,444551.9864184463,6812404.377849359,185.0
1,Ramp,fixed_access,bottom_toe_floor,12,444548.914040291,6812400.988002301,185.0
1,Ramp,fixed_access,bottom_toe_floor,13,444546.2077908833,6812398.614891889,185.0
1,Ramp,fixed_access,bottom_toe_floor,14,444543.64135424455,6812397.007320598,185.0
1,Ramp,fixed_access,bottom_toe_floor,15,444540.7865694573,6812395.495725907,185.0
1,Ramp,fixed_access,bottom_toe_floor,16,444537.84613010753,6812394.206164764,185.0
1,Ramp,fixed_access,bottom_toe_floor,17,444534.81418427173,6812393.135745457,185.0
1,Ramp,fixed_access,bottom_toe_floor,18,444532.0658518061,6812392.386870773,185.0
1,Ramp,fixed_access,bottom_toe_floor,19,444526.2340856051,6812392.095198146,185.0
1,Ramp,fixed_access,bottom_toe_floor,20,444528.9113703513,6812432.21196522,185.0
1,Ramp,fixed_access,bottom_toe_floor,21,444529.1753965446,6812432.607107994,185.0
1,Ramp,fixed_access,top_crest,1,444524.5363208179,6812435.491177362,200.0
1,Ramp,fixed_access,top_crest,2,444525.17271246447,6812436.593989995,200.0
1,Ramp,fixed_access,top_crest,3,444525.3338370841,6812439.504347207,200.0
1,Ramp,fixed_access,top_crest,4,444525.6479002224,6812451.999456396,200.0
1,Ramp,fixed_access,top_crest,5,444525.822446155,6812467.915744809,200.0
1,Ramp,fixed_access,top_crest,6,444526.5307956439,6812478.529741508,200.0
1,Ramp,fixed_access,top_crest,7,444570.6018683539,6812475.588557077,200.0
1,Ramp,fixed_access,top_crest,8,444566.6669607263,6812416.62741259,200.0
1,Ramp,fixed_access,top_crest,9,444563.5545691535,6812411.233902539,200.0
1,Ramp,fixed_access,top_crest,10,444559.7875021729,6812405.596093362,200.0
1,Ramp,fixed_access,top_crest,11,444556.1856534841,6812400.8813200295,200.0
1,Ramp,fixed_access,top_crest,12,444552.7490230798,6812397.08958253,200.0
1,Ramp,fixed_access,top_crest,13,444549.47761098575,6812394.220880893,200.0
1,Ramp,fixed_access,top_crest,14,444546.37141717057,6812392.275215091,200.0
1,Ramp,fixed_access,top_crest,15,444543.1635499081,6812390.576664944,200.0
1,Ramp,fixed_access,top_crest,16,444539.85400919686,6812389.125230449,200.0
1,Ramp,fixed_access,top_crest,17,444536.4427950171,6812387.9209116,200.0
1,Ramp,fixed_access,top_crest,18,444532.92990738933,6812386.963708406,200.0
1,Ramp,fixed_access,top_crest,19,444520.37802972854,6812386.335933046,200.0
1,Ramp,fixed_access,top_crest,20,444523.5611151488,6812434.031680224,200.0
1,Ramp,fixed_access,top_crest,21,444524.5363208179,6812435.491177362,200.0
2,Slot,fixed_slot,bottom_toe_floor,1,444532.7060980373,6812517.981515506,185.0
2,Slot,fixed_slot,bottom_toe_floor,2,444535.3707565066,6812540.613428568,185.0
2,Slot,fixed_slot,bottom_toe_floor,3,444539.4510579291,6812561.985036728,185.0
2,Slot,fixed_slot,bottom_toe_floor,4,444544.4151126154,6812579.79357124,185.0
2,Slot,fixed_slot,bottom_toe_floor,5,444544.99389957637,6812582.070556268,185.0
2,Slot,fixed_slot,bottom_toe_floor,6,444580.5045216971,6812579.700673202,185.0
2,Slot,fixed_slot,bottom_toe_floor,7,444578.23754598445,6812570.782245344,185.0
2,Slot,fixed_slot,bottom_toe_floor,8,444573.5569020692,6812553.990446307,185.0
2,Slot,fixed_slot,bottom_toe_floor,9,444569.9843827088,6812535.27847481,185.0
2,Slot,fixed_slot,bottom_toe_floor,10,444567.591760326,6812514.9570631245,185.0
2,Slot,fixed_slot,bottom_toe_floor,11,444566.3672784948,6812493.02012491,185.0
2,Slot,fixed_slot,bottom_toe_floor,12,444566.30518330913,6812470.4036081685,185.0
2,Slot,fixed_slot,bottom_toe_floor,13,444564.7908852722,6812470.504668332,185.0
2,Slot,fixed_slot,bottom_toe_floor,14,444548.2027848305,6812471.611713379,185.0
2,Slot,fixed_slot,bottom_toe_floor,15,444531.61468438874,6812472.718758426,185.0
2,Slot,fixed_slot,bottom_toe_floor,16,444531.31146335416,6812472.738994579,185.0
2,Slot,fixed_slot,bottom_toe_floor,17,444531.3699582262,6812494.044193013,185.0
2,Slot,fixed_slot,bottom_toe_floor,18,444532.7060980373,6812517.981515506,185.0
2,Slot,fixed_slot,top_crest,1,444527.26437974774,6812518.453291496,200.0
2,Slot,fixed_slot,top_crest,2,444529.9714723762,6812541.445613298,200.0
2,Slot,fixed_slot,top_crest,3,444534.13098132255,6812563.2320908485,200.0
2,Slot,fixed_slot,top_crest,4,444539.13924447296,6812581.199223122,200.0
2,Slot,fixed_slot,top_crest,5,444540.8223460202,6812587.820652562,200.0
2,Slot,fixed_slot,top_crest,6,444587.4113762427,6812584.711426443,200.0
2,Slot,fixed_slot,top_crest,7,444583.5134141255,6812569.376593458,200.0
2,Slot,fixed_slot,top_crest,8,444578.87697867583,6812552.743392187,200.0
2,Slot,fixed_slot,top_crest,9,444575.3836668392,6812534.4462900795,200.0
2,Slot,fixed_slot,top_crest,10,444573.0334786156,6812514.485287135,200.0
2,Slot,fixed_slot,top_crest,11,444571.8264140049,6812492.860383351,200.0
2,Slot,fixed_slot,top_crest,12,444571.74873704906,6812464.568622016,200.0
2,Slot,fixed_slot,top_crest,13,444564.42733810435,6812465.057232418,200.0
2,Slot,fixed_slot,top_crest,14,444531.25113722024,6812467.271322512,200.0
2,Slot,fixed_slot,top_crest,15,444525.83786927984,6812467.632589399,200.0
2,Slot,fixed_slot,top_crest,16,444525.91082271613,6812494.203934572,200.0
2,Slot,fixed_slot,top_crest,17,444527.26437974774,6812518.453291496,200.0
3,First production blast,fixed_first_production,bottom_toe_floor,1,444418.49132272985,6812480.268306226,185.0
3,First production blast,fixed_first_production,bottom_toe_floor,2,444425.8161320619,6812590.024158772,185.0
3,First production blast,fixed_first_production,bottom_toe_floor,3,444520.60527744313,6812583.6981870765,185.0
3,First production blast,fixed_first_production,bottom_toe_floor,4,444513.2804681111,6812473.94233453,185.0
3,First production blast,fixed_first_production,bottom_toe_floor,5,444418.49132272985,6812480.268306226,185.0
3,First production blast,fixed_first_production,top_crest,1,444412.68033964816,6812475.184417481,200.0
3,First production blast,fixed_first_production,top_crest,2,444420.7322433171,6812595.835141854,200.0
3,First production blast,fixed_first_production,top_crest,3,444526.4162605248,6812588.782075821,200.0
3,First production blast,fixed_first_production,top_crest,4,444518.36435685586,6812468.131351448,200.0
3,First production blast,fixed_first_production,top_crest,5,444412.68033964816,6812475.184417481,200.0
4,Production,auto_grid,bottom_toe_floor,1,444016.4344865814,6812426.0754833,185.0
4,Production,auto_grid,bottom_toe_floor,2,444003.7855981709,6812430.398620428,185.0
4,Production,auto_grid,bottom_toe_floor,3,443990.74899706064,6812433.609504946,185.0
4,Production,auto_grid,bottom_toe_floor,4,443977.3972267892,6812435.734052336,185.0
4,Production,auto_grid,bottom_toe_floor,5,443966.37827135524,6812436.606880418,185.0
4,Production,auto_grid,bottom_toe_floor,6,443958.6144541876,6812437.655691955,185.0
4,Production,auto_grid,bottom_toe_floor,7,443951.4839157677,6812439.056811555,185.0
4,Production,auto_grid,bottom_toe_floor,8,443944.97160460026,6812440.777965251,185.0
4,Production,auto_grid,bottom_toe_floor,9,443938.1741725858,6812443.085911773,185.0
4,Production,auto_grid,bottom_toe_floor,10,443932.1788767883,6812445.307323275,185.0
4,Production,auto_grid,bottom_toe_floor,11,443928.1685697622,6812446.975839179,185.0
4,Production,auto_grid,bottom_toe_floor,12,443926.91571438167,6812447.589096142,185.0
4,Production,auto_grid,bottom_toe_floor,13,443926.30089252087,6812448.0689665405,185.0
4,Production,auto_grid,bottom_toe_floor,14,443924.1021702544,6812450.046932475,185.0
4,Production,auto_grid,bottom_toe_floor,15,443920.91852457944,6812453.214893372,185.0
4,Production,auto_grid,bottom_toe_floor,16,443917.79262220085,6812456.569993011,185.0
4,Production,auto_grid,bottom_toe_floor,17,443915.43274662975,6812459.610183839,185.0
