pattern_id,pattern_type,pattern_source,point_id,x,y,floor_rl,crest_rl
1,Ramp,fixed_access,1,444529.1753965446,6812432.607107994,185.0,200.0
1,Ramp,fixed_access,2,444530.55196891783,6812434.992590914,185.0,200.0
1,Ramp,fixed_access,3,444530.7895968564,6812439.284810105,185.0,200.0
1,Ramp,fixed_access,4,444531.1067014894,6812451.900926201,185.0,200.0
1,Ramp,fixed_access,5,444531.28000445943,6812467.703872807,185.0,200.0
1,Ramp,fixed_access,6,444531.61468438874,6812472.718758426,185.0,200.0
1,Ramp,fixed_access,7,444564.7908852722,6812470.504668332,185.0,200.0
1,Ramp,fixed_access,8,444561.3040229665,6812418.257090582,185.0,200.0
1,Ramp,fixed_access,9,444558.9154934274,6812414.117971908,185.0,200.0
1,Ramp,fixed_access,10,444555.34411295445,6812408.773028028,185.0,200.0
1,Ramp,fixed_access,11,444551.9864184463,6812404.377849359,185.0,200.0
1,Ramp,fixed_access,12,444548.914040291,6812400.988002301,185.0,200.0
1,Ramp,fixed_access,13,444546.2077908833,6812398.614891889,185.0,200.0
1,Ramp,fixed_access,14,444543.64135424455,6812397.007320598,185.0,200.0
1,Ramp,fixed_access,15,444540.7865694573,6812395.495725907,185.0,200.0
1,Ramp,fixed_access,16,444537.84613010753,6812394.206164764,185.0,200.0
1,Ramp,fixed_access,17,444534.81418427173,6812393.135745457,185.0,200.0
1,Ramp,fixed_access,18,444532.0658518061,6812392.386870773,185.0,200.0
1,Ramp,fixed_access,19,444526.2340856051,6812392.095198146,185.0,200.0
1,Ramp,fixed_access,20,444528.9113703513,6812432.21196522,185.0,200.0
1,Ramp,fixed_access,21,444529.1753965446,6812432.607107994,185.0,200.0
2,Slot,fixed_slot,1,444532.7060980373,6812517.981515506,185.0,200.0
2,Slot,fixed_slot,2,444535.3707565066,6812540.613428568,185.0,200.0
2,Slot,fixed_slot,3,444539.4510579291,6812561.985036728,185.0,200.0
2,Slot,fixed_slot,4,444544.4151126154,6812579.79357124,185.0,200.0
2,Slot,fixed_slot,5,444544.99389957637,6812582.070556268,185.0,200.0
2,Slot,fixed_slot,6,444580.5045216971,6812579.700673202,185.0,200.0
2,Slot,fixed_slot,7,444578.23754598445,6812570.782245344,185.0,200.0
2,Slot,fixed_slot,8,444573.5569020692,6812553.990446307,185.0,200.0
2,Slot,fixed_slot,9,444569.9843827088,6812535.27847481,185.0,200.0
2,Slot,fixed_slot,10,444567.591760326,6812514.9570631245,185.0,200.0
2,Slot,fixed_slot,11,444566.3672784948,6812493.02012491,185.0,200.0
2,Slot,fixed_slot,12,444566.30518330913,6812470.4036081685,185.0,200.0
2,Slot,fixed_slot,13,444564.7908852722,6812470.504668332,185.0,200.0
2,Slot,fixed_slot,14,444548.2027848305,6812471.611713379,185.0,200.0
2,Slot,fixed_slot,15,444531.61468438874,6812472.718758426,185.0,200.0
