pattern_id,pattern_type,area_m2
4,Production,3375.0454243309596
5,Production,3737.8592404317897
6,Production,3608.022152258919
7,Production,3436.4888114389955
8,Production,5803.573333900648
9,Production,4289.232123077783
10,Production,4288.001669501143
11,Production,4257.871826896364
12,Production,7025.679592862787
13,Production,5117.91971066268
14,Production,4228.155105869021
15,Production,5414.7792431957705
16,Production,2778.1706322012164
17,Production,5655.398819099771
18,Production,4136.994001995886
19,Production,3338.1568489500196
20,Production,3761.466539253406
