pattern_id,pattern_type,area_m2
4,Production,3375.0454243289823
5,Production,3737.859240429043
6,Production,3608.0221522591946
7,Production,3436.488811438986
8,Production,5803.573333898919
9,Production,4289.232123077682
10,Production,4288.001669500369
11,Production,4257.871826896364
12,Production,7025.679592866394
13,Production,5117.91971066268
14,Production,4228.155105867198
15,Production,5414.77924316666
16,Production,2778.170632201185
17,Production,5655.398819096176
18,Production,27.09179679482124
19,Production,4136.994001996251
20,Production,3338.1568489362385
21,Production,3761.466539253147
