hole_id,row,column,x,y,u_m,v_m,burden_m,spacing_m
H001,1,2,363644.44009781873,6591691.213869147,2.207549817785358,1.2846377382316665,6.0,7.0
H002,1,3,363644.94610797905,6591684.232182122,9.207549817785358,1.2846377382316665,6.0,7.0
H003,1,4,363645.45211813936,6591677.250495097,16.207549817785356,1.2846377382316665,6.0,7.0
H004,1,5,363645.9581282997,6591670.2688080715,23.207549817785356,1.2846377382316665,6.0,7.0
H005,2,2,363638.7087997344,6591687.28930264,5.707549817785358,7.284637738231666,6.0,7.0
H006,2,3,363639.21480989474,6591680.3076156145,12.707549817785358,7.284637738231666,6.0,7.0
H007,2,4,363639.72082005505,6591673.325928589,19.707549817785356,7.284637738231666,6.0,7.0
H008,2,5,363640.22683021537,6591666.344241564,26.707549817785356,7.284637738231666,6.0,7.0
H009,3,2,363632.47149148985,6591690.346423158,2.207549817785358,13.284637738231666,6.0,7.0
H010,3,3,363632.97750165017,6591683.364736133,9.207549817785358,13.284637738231666,6.0,7.0
H011,3,4,363633.4835118105,6591676.383049108,16.207549817785356,13.284637738231666,6.0,7.0
H012,3,5,363633.9895219708,6591669.401362083,23.207549817785356,13.284637738231666,6.0,7.0
H013,4,2,363626.74019340554,6591686.42185665,5.707549817785358,19.284637738231666,6.0,7.0
H014,4,3,363627.24620356585,6591679.440169625,12.707549817785358,19.284637738231666,6.0,7.0
H015,4,4,363627.75221372617,6591672.4584826,19.707549817785356,19.284637738231666,6.0,7.0
H016,4,5,363628.2582238865,6591665.476795575,26.707549817785356,19.284637738231666,6.0,7.0
H017,5,2,363620.50288516097,6591689.478977169,2.207549817785358,25.284637738231666,6.0,7.0
H018,5,3,363621.0088953213,6591682.497290144,9.207549817785358,25.284637738231666,6.0,7.0
H019,5,4,363621.5149054816,6591675.515603119,16.207549817785356,25.284637738231666,6.0,7.0
H020,5,5,363622.0209156419,6591668.533916093,23.207549817785356,25.284637738231666,6.0,7.0
H021,6,2,363614.77158707666,6591685.554410662,5.707549817785358,31.284637738231666,6.0,7.0
H022,6,3,363615.277597237,6591678.572723636,12.707549817785358,31.284637738231666,6.0,7.0
H023,6,4,363615.7836073973,6591671.591036611,19.707549817785356,31.284637738231666,6.0,7.0
H024,6,5,363616.2896175576,6591664.609349586,26.707549817785356,31.284637738231666,6.0,7.0
H025,7,2,363608.534278832,6591688.611531179,2.207549817785358,37.284637738231666,6.0,7.0
H026,7,3,363609.04028899234,6591681.629844154,9.207549817785358,37.284637738231666,6.0,7.0
H027,7,4,363609.54629915266,6591674.648157129,16.207549817785356,37.284637738231666,6.0,7.0
H028,7,5,363610.052309313,6591667.666470104,23.207549817785356,37.284637738231666,6.0,7.0
H029,8,2,363602.8029807478,6591684.686964672,5.707549817785358,43.284637738231666,6.0,7.0
H030,8,3,363603.3089909081,6591677.705277647,12.707549817785358,43.284637738231666,6.0,7.0
H031,8,4,363603.8150010684,6591670.723590622,19.707549817785356,43.284637738231666,6.0,7.0
H032,8,5,363604.3210112287,6591663.741903597,26.707549817785356,43.284637738231666,6.0,7.0
H033,9,2,363596.56567250314,6591687.744085191,2.207549817785358,49.284637738231666,6.0,7.0
H034,9,3,363597.07168266346,6591680.762398166,9.207549817785358,49.284637738231666,6.0,7.0
H035,9,4,363597.5776928238,6591673.7807111405,16.207549817785356,49.284637738231666,6.0,7.0
H036,9,5,363598.0837029841,6591666.799024115,23.207549817785356,49.284637738231666,6.0,7.0
H037,10,1,363590.3283642586,6591690.801205709,-1.2924501822146421,55.284637738231666,6.0,7.0
H038,10,2,363590.8343744189,6591683.8195186835,5.707549817785358,55.284637738231666,6.0,7.0
H039,10,3,363591.3403845792,6591676.837831658,12.707549817785358,55.284637738231666,6.0,7.0
H040,10,4,363591.8463947395,6591669.856144633,19.707549817785356,55.284637738231666,6.0,7.0
H041,10,5,363592.35240489984,6591662.874457608,26.707549817785356,55.284637738231666,6.0,7.0
H042,11,2,363584.59706617426,6591686.876639201,2.207549817785358,61.284637738231666,6.0,7.0
H043,11,3,363585.1030763346,6591679.894952176,9.207549817785358,61.284637738231666,6.0,7.0
H044,11,4,363585.6090864949,6591672.913265151,16.207549817785356,61.284637738231666,6.0,7.0
H045,11,5,363586.1150966552,6591665.931578126,23.207549817785356,61.284637738231666,6.0,7.0
H046,12,1,363578.3597579297,6591689.933759719,-1.2924501822146421,67.28463773823167,6.0,7.0
H047,12,2,363578.86576809,6591682.952072694,5.707549817785358,67.28463773823167,6.0,7.0
H048,12,3,363579.3717782503,6591675.970385669,12.707549817785358,67.28463773823167,6.0,7.0
H049,12,4,363579.87778841064,6591668.988698644,19.707549817785356,67.28463773823167,6.0,7.0
H050,13,1,363572.12244968506,6591692.990880238,-4.792450182214642,73.28463773823167,6.0,7.0
H051,13,2,363572.6284598454,6591686.009193213,2.207549817785358,73.28463773823167,6.0,7.0
H052,13,3,363573.1344700057,6591679.027506188,9.207549817785358,73.28463773823167,6.0,7.0
H053,13,4,363573.640480166,6591672.045819162,16.207549817785356,73.28463773823167,6.0,7.0
H054,13,5,363574.1464903263,6591665.064132137,23.207549817785356,73.28463773823167,6.0,7.0
H055,14,1,363566.39115160075,6591689.06631373,-1.2924501822146421,79.28463773823167,6.0,7.0
H056,14,2,363566.89716176107,6591682.084626704,5.707549817785358,79.28463773823167,6.0,7.0
H057,14,3,363567.4031719214,6591675.102939679,12.707549817785358,79.28463773823167,6.0,7.0
H058,14,4,363567.9091820817,6591668.121252654,19.707549817785356,79.28463773823167,6.0,7.0
H059,15,1,363560.1538433562,6591692.123434248,-4.792450182214642,85.28463773823167,6.0,7.0
H060,15,2,363560.6598535165,6591685.141747223,2.207549817785358,85.28463773823167,6.0,7.0
H061,15,3,363561.1658636768,6591678.160060198,9.207549817785358,85.28463773823167,6.0,7.0
H062,15,4,363561.6718738371,6591671.178373173,16.207549817785356,85.28463773823167,6.0,7.0
H063,15,5,363562.17788399744,6591664.196686148,23.207549817785356,85.28463773823167,6.0,7.0
H064,16,1,363554.42254527187,6591688.198867741,-1.2924501822146421,91.28463773823167,6.0,7.0
H065,16,2,363554.9285554322,6591681.217180716,5.707549817785358,91.28463773823167,6.0,7.0
H066,16,3,363555.4345655925,6591674.235493691,12.707549817785358,91.28463773823167,6.0,7.0
H067,16,4,363555.9405757528,6591667.253806666,19.707549817785356,91.28463773823167,6.0,7.0
