x,y,block_id,x_m,y_m,z_top_m,z_bottom_m,bench_name,location,oxidation,density_tpm3,au_gpt,cu_pct,ag_gpt,Axb,BWi_kWht,DWi_kWhm3,UCS_MPa,RMR,digability,sulfides_pct,carbonate_pct,clays_pct,fault_dist_m,cn_demand_kgt,rec_au,rec_cu,rec_ag,pf_target_kgpm3,target_p80_mm,wet,latitude,longitude,lithology,alteration_domain,mineral_domain,structure_domain
363594.918068,6591661.589991,B_045_034,450.0,-110.0,200.0,185.0,RL185-200,ore,fresh,2.97,0.526,1.2431,11.86,41.5,20.85,8.0,160.1,61.2,hard,6.84,2.38,0.36,76.8,0.0,0.68,0.91,0.6,1.17,125,False,-30.800288668748,121.574200191692,mineralised_porphyry,potassic_core,high_grade_core,background
363604.918068,6591661.589991,B_046_034,460.0,-110.0,200.0,185.0,RL185-200,ore,fresh,2.98,0.544,1.2647,12.23,42.7,22.58,8.03,177.1,64.5,hard,6.96,2.45,0.51,79.6,0.0,0.68,0.91,0.59,1.18,120,False,-30.800289818386,121.574304691265,mineralised_porphyry,potassic_core,high_grade_core,background
363554.918068,6591671.589991,B_041_035,410.0,-100.0,200.0,185.0,RL185-200,ore,transition,2.8,0.514,1.0858,10.6,47.3,20.5,7.22,131.1,55.6,hard,5.97,1.68,1.86,55.7,0.0,0.69,0.77,0.62,1.1,130,True,-30.800193862371,121.573783525682,mineralised_porphyry,potassic_core,high_grade_core,background
363564.918068,6591671.589991,B_042_035,420.0,-100.0,200.0,185.0,RL185-200,ore,transition,2.83,0.519,1.093,10.82,49.9,20.77,7.57,131.8,58.1,hard,6.01,1.57,1.65,58.7,0.0,0.68,0.77,0.61,1.11,130,True,-30.800195012341,121.573888025134,mineralised_porphyry,potassic_core,high_grade_core,background
363574.918068,6591671.589991,B_043_035,430.0,-100.0,200.0,185.0,RL185-200,ore,fresh,2.9,0.571,1.3103,12.61,41.7,20.93,8.17,162.2,71.0,hard,7.21,1.66,0.46,61.6,0.0,0.7,0.9,0.61,1.18,120,False,-30.800196162227,121.573992524592,mineralised_porphyry,potassic_core,high_grade_core,background
363584.918068,6591671.589991,B_044_035,440.0,-100.0,200.0,185.0,RL185-200,ore,fresh,2.95,0.574,1.3103,12.67,41.1,21.66,7.87,168.8,51.8,medium,7.21,1.84,0.26,64.5,0.0,0.68,0.92,0.59,1.18,115,False,-30.800197312029,121.574097024056,mineralised_porphyry,potassic_core,high_grade_core,background
363594.918068,6591671.589991,B_045_035,450.0,-100.0,200.0,185.0,RL185-200,ore,fresh,2.95,0.582,1.3294,13.0,40.0,22.49,7.89,175.1,63.1,hard,7.31,2.01,0.62,67.4,0.0,0.67,0.92,0.58,1.18,110,False,-30.800198461746,121.574201523526,mineralised_porphyry,potassic_core,high_grade_core,background
363604.918068,6591671.589991,B_046_035,460.0,-100.0,200.0,185.0,RL185-200,ore,fresh,2.96,0.581,1.3598,12.94,41.5,20.86,7.5,177.8,56.8,hard,7.48,1.96,0.16,70.2,0.0,0.68,0.9,0.57,1.18,120,False,-30.80019961138,121.574306023001,mineralised_porphyry,potassic_core,high_grade_core,background
363614.918068,6591671.589991,B_047_035,470.0,-100.0,200.0,185.0,RL185-200,ore,fresh,2.98,0.539,1.3617,13.02,41.2,21.37,7.66,176.3,56.8,hard,7.49,2.14,0.3,72.9,0.0,0.69,0.91,0.57,1.18,115,False,-30.800200760929,121.574410522483,mineralised_porphyry,potassic_core,high_grade_core,background
363624.918068,6591671.589991,B_048_035,480.0,-100.0,200.0,185.0,RL185-200,ore,fresh,2.95,0.556,1.3294,12.9,42.1,21.46,7.67,171.2,60.1,hard,7.31,2.25,0.19,75.6,0.0,0.68,0.88,0.58,1.18,120,False,-30.800201910394,121.574515021971,mineralised_porphyry,potassic_core,high_grade_core,background
363634.918068,6591671.589991,B_049_035,490.0,-100.0,200.0,185.0,RL185-200,ore,fresh,2.96,0.538,1.349,12.63,42.2,22.65,7.93,180.0,60.4,hard,7.42,2.27,0.3,78.2,0.0,0.69,0.9,0.58,1.18,120,False,-30.800203059775,121.574619521465,mineralised_porphyry,potassic_core,high_grade_core,background
363644.918068,6591671.589991,B_050_035,500.0,-100.0,200.0,185.0,RL185-200,ore,fresh,2.91,0.556,1.2578,12.46,42.4,20.93,7.99,173.7,64.3,hard,6.92,2.32,0.18,80.8,0.0,0.68,0.92,0.61,1.18,115,False,-30.800204209071,121.574724020965,mineralised_porphyry,potassic_core,high_grade_core,background
