geometry,rl,vertex_id,x,y
pit_shell_crest_from_block_model,200.0,0,443702.6721141584,6812713.7243677685
pit_shell_crest_from_block_model,200.0,1,443705.93786165834,6812723.590778604
pit_shell_crest_from_block_model,200.0,2,443708.6576671577,6812733.527149865
pit_shell_crest_from_block_model,200.0,3,443710.8315306564,6812743.53348155
pit_shell_crest_from_block_model,200.0,4,443712.4594521546,6812753.60977366
pit_shell_crest_from_block_model,200.0,5,443713.54143165227,6812763.756026194
pit_shell_crest_from_block_model,200.0,6,443714.0691775079,6812773.488825995
pit_shell_crest_from_block_model,200.0,7,443714.0426897215,6812782.808173062
pit_shell_crest_from_block_model,200.0,8,443713.4619682932,6812791.714067396
pit_shell_crest_from_block_model,200.0,9,443712.32701322285,6812800.206508996
pit_shell_crest_from_block_model,200.0,10,443710.9424167694,6812808.2142260885
pit_shell_crest_from_block_model,200.0,11,443709.3081789329,6812815.737218672
pit_shell_crest_from_block_model,200.0,12,443707.42429971317,6812822.775486749
pit_shell_crest_from_block_model,200.0,13,443705.29077911034,6812829.329030315
pit_shell_crest_from_block_model,200.0,14,443703.740790662,6812835.911427641
pit_shell_crest_from_block_model,200.0,15,443702.77433436824,6812842.522678727
pit_shell_crest_from_block_model,200.0,16,443702.3914102289,6812849.162783571
pit_shell_crest_from_block_model,200.0,17,443702.5920182441,6812855.831742173
pit_shell_crest_from_block_model,200.0,18,443703.42204656935,6812862.196801148
pit_shell_crest_from_block_model,200.0,19,443704.8814952046,6812868.2579604965
pit_shell_crest_from_block_model,200.0,20,443706.97036414995,6812874.015220217
pit_shell_crest_from_block_model,200.0,21,443709.6886534054,6812879.468580309
pit_shell_crest_from_block_model,200.0,22,443712.78960112366,6812884.603200503
pit_shell_crest_from_block_model,200.0,23,443716.2732073048,6812889.4190807985
pit_shell_crest_from_block_model,200.0,24,443720.13947194885,6812893.916221194
pit_shell_crest_from_block_model,200.0,25,443724.3883950558,6812898.09462169
pit_shell_crest_from_block_model,200.0,26,443728.37013289286,6812901.683982838
pit_shell_crest_from_block_model,200.0,27,443732.0846854601,6812904.68430464
pit_shell_crest_from_block_model,200.0,28,443735.53205275757,6812907.095587092
pit_shell_crest_from_block_model,200.0,29,443738.7122347852,6812908.917830198
pit_shell_crest_from_block_model,200.0,30,443743.43527677684,6812911.050404555
pit_shell_crest_from_block_model,200.0,31,443749.7011787327,6812913.493310163
pit_shell_crest_from_block_model,200.0,32,443757.5099406525,6812916.246547023
pit_shell_crest_from_block_model,200.0,33,443766.8615625364,6812919.310115133
pit_shell_crest_from_block_model,200.0,34,443775.5461716563,6812921.727799054
pit_shell_crest_from_block_model,200.0,35,443783.5637680122,6812923.4995987825
pit_shell_crest_from_block_model,200.0,36,443790.914351604,6812924.625514323
pit_shell_crest_from_block_model,200.0,37,443797.5979224317,6812925.105545675
pit_shell_crest_from_block_model,200.0,38,443804.0647078456,6812925.97056135
pit_shell_crest_from_block_model,200.0,39,443810.3147078456,6812927.22056135
pit_shell_crest_from_block_model,200.0,40,443816.3479224317,6812928.855545675
pit_shell_crest_from_block_model,200.0,41,443822.164351604,6812930.875514323
pit_shell_crest_from_block_model,200.0,42,443828.1975661901,6812932.5104986485
pit_shell_crest_from_block_model,200.0,43,443834.4475661901,6812933.7604986485
pit_shell_crest_from_block_model,200.0,44,443840.914351604,6812934.625514323
pit_shell_crest_from_block_model,200.0,45,443847.5979224317,6812935.105545675
pit_shell_crest_from_block_model,200.0,46,443854.1969670736,6812935.996869379
pit_shell_crest_from_block_model,200.0,47,443860.7114855295,6812937.299485436
pit_shell_crest_from_block_model,200.0,48,443867.1414777995,6812939.013393847
pit_shell_crest_from_block_model,200.0,49,443873.4869438836,6812941.138594613
pit_shell_crest_from_block_model,200.0,50,443883.9072892933,6812942.792446066
pit_shell_crest_from_block_model,200.0,51,443898.4025140286,6812943.974948205
pit_shell_crest_from_block_model,200.0,52,443916.97261808946,6812944.6861010315
pit_shell_crest_from_block_model,200.0,53,443939.61760147597,6812944.925904544
pit_shell_crest_from_block_model,200.0,54,443958.94926682295,6812945.719291247
pit_shell_crest_from_block_model,200.0,55,443974.96761413035,6812947.066261142
pit_shell_crest_from_block_model,200.0,56,443987.6726433983,6812948.966814226
pit_shell_crest_from_block_model,200.0,57,443997.0643546267,6812951.420950497
pit_shell_crest_from_block_model,200.0,58,444006.2334997541,6812953.145050637
pit_shell_crest_from_block_model,200.0,59,444015.1800787806,6812954.139114644
pit_shell_crest_from_block_model,200.0,60,444023.9040917061,6812954.403142517
pit_shell_crest_from_block_model,200.0,61,444032.4055385306,6812953.937134257
pit_shell_crest_from_block_model,200.0,62,444040.4998516635,6812952.660853228
pit_shell_crest_from_block_model,200.0,63,444048.1870311047,6812950.5742994305
pit_shell_crest_from_block_model,200.0,64,444055.46707685426,6812947.677472866
pit_shell_crest_from_block_model,200.0,65,444062.33998891216,6812943.970373533
pit_shell_crest_from_block_model,200.0,66,444068.2652911129,6812940.997019321
pit_shell_crest_from_block_model,200.0,67,444073.2429834563,6812938.757410232
