period_id,period_label,start,end,pattern_ids,pattern_count,ore_tonnes,waste_tonnes,total_tonnes,average_grade,contained_cu_t,recovered_cu_t,drill_metres_m,explosive_kg,truck_hours,loader_hours,strip_ratio,warnings
D01,Day 1,2026-06-01T06:00:00Z,2026-06-02T00:00:00Z,"1,2",2,199003.877,0.0,199003.877,1.112,2212.918,1807.529,1069.871,22475.876,124.377,142.146,0.0,coarse_fragmentation_risk;development_or_boundary_control;hard_digability;wet_material_risk
D02,Day 2,2026-06-02T06:00:00Z,2026-06-03T00:00:00Z,"4,7",2,280987.342,0.0,280987.342,1.1438,3213.908,2401.037,1960.2,45057.392,175.617,200.705,0.0,coarse_fragmentation_risk;wet_material_risk
D03,Day 3,2026-06-03T06:00:00Z,2026-06-04T00:00:00Z,"3,9",2,370293.299,0.0,370293.299,1.1083,4103.79,2953.116,2689.2,62284.578,231.433,264.495,0.0,coarse_fragmentation_risk;wet_material_risk
D04,Day 4,2026-06-04T06:00:00Z,2026-06-05T00:00:00Z,"5,11",2,299146.708,31822.511,330969.219,1.1239,3362.029,2640.086,2284.2,52350.67,206.856,236.407,0.106,coarse_fragmentation_risk;hard_digability;wet_material_risk
D05,Day 5,2026-06-05T06:00:00Z,2026-06-06T00:00:00Z,"6,10",2,327397.719,0.0,327397.719,1.1212,3670.812,2878.749,2251.8,52036.592,204.624,233.856,0.0,coarse_fragmentation_risk;hard_digability;wet_material_risk
D06,Day 6,2026-06-06T06:00:00Z,2026-06-07T00:00:00Z,"8,13",2,440929.263,25517.906,466447.169,1.227,5410.058,4632.307,3094.2,71599.9,291.529,333.177,0.058,coarse_fragmentation_risk;hard_digability;wet_material_risk
D07,Day 7,2026-06-07T06:00:00Z,2026-06-08T00:00:00Z,"16,20",2,191823.447,71667.342,263490.789,0.7453,1429.599,917.576,1895.4,43435.713,164.682,188.208,0.374,coarse_fragmentation_risk;domain:late_barren_intrusion;wet_material_risk
D08,Day 8,2026-06-08T06:00:00Z,2026-06-09T00:00:00Z,"14,17",2,375195.203,33704.871,408900.074,0.9611,3605.872,2704.756,2802.6,65058.442,255.563,292.071,0.09,coarse_fragmentation_risk;hard_digability;wet_material_risk
D09,Day 9,2026-06-09T06:00:00Z,2026-06-10T00:00:00Z,"12,15",2,508360.203,28847.944,537208.147,1.2665,6438.392,5789.839,3564.0,81778.704,335.755,383.72,0.057,coarse_fragmentation_risk;hard_digability
D10,Day 10,2026-06-10T06:00:00Z,2026-06-11T00:00:00Z,"18,19",2,320902.286,0.0,320902.286,1.1383,3652.898,3251.945,2187.0,50331.992,200.564,229.216,0.0,coarse_fragmentation_risk;hard_digability
D11,Day 11,2026-06-11T06:00:00Z,2026-06-12T00:00:00Z,"21,22",2,209481.904,22685.924,232167.828,0.6247,1308.544,700.105,1749.6,40475.137,145.105,165.834,0.108,coarse_fragmentation_risk;development_or_boundary_control;wet_material_risk
D12,Day 12,2026-06-12T06:00:00Z,2026-06-13T00:00:00Z,"23,24",2,276935.846,31957.682,308893.528,0.7649,2118.363,1379.795,2187.0,50649.712,193.058,220.638,0.115,coarse_fragmentation_risk;development_or_boundary_control;hard_digability;wet_material_risk
D13,Day 13,2026-06-13T06:00:00Z,2026-06-14T00:00:00Z,"25,26",2,257177.086,8347.104,265524.19,0.7667,1971.667,1543.408,1215.0,27802.71,165.953,189.66,0.032,coarse_fragmentation_risk;development_or_boundary_control;wet_material_risk
D14,Day 14,2026-06-14T06:00:00Z,2026-06-14T18:00:00Z,27,1,30181.146,47923.519,78104.664,0.5036,152.007,116.23,291.6,6743.781,48.815,55.789,1.588,coarse_fragmentation_risk;development_or_boundary_control;domain:late_barren_intrusion;wet_material_risk
