,n,mean,p10,p50,p90
P20_SWB_mm,133.0,84.70676691729324,60.2,74.0,128.6
P50_SWB_mm,133.0,187.26315789473685,151.0,187.0,216.0
P80_SWB_mm,133.0,354.69172932330827,273.2,371.0,419.8
SWB_b,133.0,5.954411528407682,4.214595146029539,5.195487468698015,9.999999995502353
SWB_x50_mm,133.0,187.26219384721185,151.2508103355804,186.7471459549432,216.1403839319849
SWB_xMax_mm,133.0,3320.9612480110836,2307.679127156057,3243.7217769163485,4499.999870661284
lt10_SWB_pct,133.0,2.526315789473684,0.0,3.0,4.0
lt25_SWB_pct,133.0,5.684210526315789,0.0,7.0,9.0
P80_RR_mm,133.0,378.7368421052632,305.8,388.0,430.6
RR_n,133.0,1.2221424728257004,1.0616236533502565,1.1658741054379171,1.4151731598485167
RR_Xc_mm,133.0,254.645109219055,210.87238298407684,254.83514822498023,289.22560947783967
